,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,VT,Addison,2.52,2.47,2.47,2.46,2.44,2.42,2.43,2.4,2.39,2.41
1,Avg household size of renter-occupied unit,VT,Addison,2.12,2.17,2.2,2.22,2.25,2.25,2.17,2.06,2.06,2.03
2,FIPS Code,VT,Addison,50001,50001,50001,50001,50001,50001,50001,50001,50001,50001
3,House Heating Fuel: Electric,VT,Addison,306,370,357,388,380,358,374,425,482,489
4,House Heating Fuel: Fuel Oil,VT,Addison,8587,8193,7907,7818,7754,7474,7467,7472,7305,7091
5,House Heating Fuel: Gas,VT,Addison,236,225,264,238,253,185,218,182,280,468
6,House Heating Fuel: Propane,VT,Addison,2474,2643,2670,2738,2860,3214,3294,3542,3571,3506
7,House Heating Fuel: Wood,VT,Addison,2211,2441,2559,2636,2740,2878,2831,2880,2819,2701
26,Median Number of Rooms,VT,Addison,5.8,5.7,5.8,5.7,5.7,5.7,5.7,5.6,5.7,5.7
27,Number of Rooms: 1,VT,Addison,242,248,266,277,214,281,324,391,364,397
28,Number of Rooms: 2,VT,Addison,633,665,660,725,718,797,776,812,756,648
29,Number of Rooms: 3,VT,Addison,1121,1180,1255,1373,1574,1618,1710,1683,1568,1461
30,Number of Rooms: 4,VT,Addison,2349,2360,2460,2555,2462,2351,2362,2474,2440,2548
31,Number of Rooms: 5,VT,Addison,3159,3142,2846,2810,2887,2850,2859,3049,3076,3065
32,Number of Rooms: 6,VT,Addison,3200,3092,3136,3079,2973,2876,2908,2924,3014,2984
33,Number of Rooms: 7,VT,Addison,2158,2162,2281,2260,2256,2354,2222,2141,2189,2283
34,Number of Rooms: 8,VT,Addison,1820,1859,1774,1627,1610,1561,1578,1539,1630,1768
35,Number of Rooms: 9+,VT,Addison,1937,1995,2082,2061,2149,2203,2232,2200,2299,2277
36,Owner-Occupied,VT,Addison,26860,26179,25828,25820,25825,25753,25717,25570,26112,26754
37,Renter-Occupied,VT,Addison,7283,7746,8092,8136,8193,8295,8376,8361,7854,7098
38,Total Housing Units,VT,Addison,16619,16703,16760,16767,16843,16891,16971,17213,17336,17431
39,Total Population,VT,Addison,36841,36835,36814,36811,36883,36943,36926,36825,36939,36882
40,Units in Structure: 1 ATTACHED,VT,Addison,424,464,501,496,442,500,477,449,441,447
41,Units in Structure: 1 DETACHED,VT,Addison,12500,12550,12443,12364,12458,12450,12499,12713,12905,13231
42,Units in Structure: 10-19,VT,Addison,104,124,135,161,180,226,166,153,127,85
43,Units in Structure: 2,VT,Addison,631,656,720,764,796,739,791,872,960,979
44,Units in Structure: 20-49,VT,Addison,103,124,116,183,202,212,246,272,201,198
45,Units in Structure: 3-4,VT,Addison,611,606,641,547,547,655,722,749,817,724
46,Units in Structure: 5-9,VT,Addison,586,549,564,575,510,415,462,396,339,363
47,Units in Structure: 50+,VT,Addison,105,94,111,145,183,186,204,199,155,102
48,"Units in Structure: Boat,RV,Van,Etc.",VT,Addison,0,0,0,3,4,3,3,12,9,10
49,Units in Structure: Mobile Home,VT,Addison,1555,1536,1529,1529,1521,1505,1401,1398,1382,1292
50,Year Built: 1940-1949,VT,Addison,614,620,535,506,412,810,738,795,862,829
51,Year Built: 1950-1959,VT,Addison,888,793,725,772,856,1406,1372,1306,1280,1302
52,Year Built: 1960-1969,VT,Addison,1773,1713,1629,1506,1462,2547,2515,2439,2419,2350
53,Year Built: 1970-1979,VT,Addison,2365,2461,2660,2621,2604,2442,2427,2550,2461,2436
54,Year Built: 1980-1989,VT,Addison,2526,2541,2316,2426,2424,1945,2070,2186,2171,2261
55,Year Built: 1990-1999,VT,Addison,2500,2379,2320,2191,2018,2171,2300,2446,2380,2310
56,Year Built: 2000-2009,VT,Addison,820,897,1458,1797,1946,131,223,288,401,476
57,Year Built: 2010-2013,VT,Addison,354,459,18,48,87,40,53,110,188,319
58,Year Built: before 1940,VT,Addison,4779,4840,5099,4900,5034,422,396,424,425,401
0,Avg household size of owner-occupied unit,VT,Bennington,2.38,2.36,2.36,2.37,2.36,2.29,2.32,2.31,2.39,2.45
1,Avg household size of renter-occupied unit,VT,Bennington,2.08,2.15,2.06,2.12,2.09,2.14,2.14,2.13,2.08,2.06
2,FIPS Code,VT,Bennington,50003,50003,50003,50003,50003,50003,50003,50003,50003,50003
3,House Heating Fuel: Electric,VT,Bennington,437,392,456,407,429,351,520,544,647,787
4,House Heating Fuel: Fuel Oil,VT,Bennington,10694,10526,10339,10182,10043,10099,9573,9772,9420,9086
5,House Heating Fuel: Gas,VT,Bennington,228,268,329,330,399,392,384,340,302,320
6,House Heating Fuel: Propane,VT,Bennington,2082,2011,2007,2101,2085,2193,2342,2208,2139,2103
7,House Heating Fuel: Wood,VT,Bennington,1834,1949,2100,2134,2195,2238,2220,2010,1921,1762
26,Median Number of Rooms,VT,Bennington,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.9
27,Number of Rooms: 1,VT,Bennington,329,413,408,353,320,333,334,314,397,510
28,Number of Rooms: 2,VT,Bennington,637,637,526,430,503,549,539,583,670,625
29,Number of Rooms: 3,VT,Bennington,1574,1623,1698,1642,1665,1594,1508,1354,1287,1140
30,Number of Rooms: 4,VT,Bennington,2912,2844,2744,2810,2597,2526,2768,2564,2718,2790
31,Number of Rooms: 5,VT,Bennington,3695,3770,3770,4206,4277,4354,4262,4480,4052,4085
32,Number of Rooms: 6,VT,Bennington,3708,3768,3905,3678,3842,3898,3933,4081,4175,4000
33,Number of Rooms: 7,VT,Bennington,3145,2961,2828,2755,2722,2754,2678,2796,2723,2609
34,Number of Rooms: 8,VT,Bennington,2040,2037,2097,2095,2169,2066,2102,2135,2251,2353
35,Number of Rooms: 9+,VT,Bennington,2762,2827,2898,2911,2834,2845,2798,2801,2866,3041
36,Owner-Occupied,VT,Bennington,26928,26424,26541,25811,25631,25723,26098,25763,26175,26489
37,Renter-Occupied,VT,Bennington,8886,9237,9019,9596,9643,9387,8938,8821,8275,7791
38,Total Housing Units,VT,Bennington,20802,20880,20874,20880,20929,20919,20922,21108,21139,21153
39,Total Population,VT,Bennington,37122,37093,36990,36871,36739,36589,36503,36054,35920,35746
40,Units in Structure: 1 ATTACHED,VT,Bennington,772,701,722,639,481,355,419,385,424,492
41,Units in Structure: 1 DETACHED,VT,Bennington,14440,14590,14689,14572,14938,15154,15074,15164,15161,15292
42,Units in Structure: 10-19,VT,Bennington,140,114,124,153,152,97,141,142,222,212
43,Units in Structure: 2,VT,Bennington,1221,1266,1365,1340,1214,1288,1368,1356,1344,1178
44,Units in Structure: 20-49,VT,Bennington,100,121,136,144,158,152,191,213,262,371
45,Units in Structure: 3-4,VT,Bennington,1660,1626,1548,1584,1667,1563,1481,1531,1444,1303
46,Units in Structure: 5-9,VT,Bennington,751,760,720,798,761,754,713,759,659,693
47,Units in Structure: 50+,VT,Bennington,208,191,230,203,217,236,317,265,346,388
48,"Units in Structure: Boat,RV,Van,Etc.",VT,Bennington,26,18,18,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,VT,Bennington,1484,1493,1322,1447,1341,1320,1218,1293,1277,1224
50,Year Built: 1940-1949,VT,Bennington,966,1051,1019,991,1152,1681,1750,1887,1792,1924
51,Year Built: 1950-1959,VT,Bennington,1486,1427,1455,1551,1501,2155,2194,2282,2244,2199
52,Year Built: 1960-1969,VT,Bennington,2500,2296,2312,2278,2206,3403,3392,3402,3537,3432
53,Year Built: 1970-1979,VT,Bennington,3516,3481,3489,3400,3476,3707,3450,3271,3221,2975
54,Year Built: 1980-1989,VT,Bennington,3499,3716,3643,3668,3737,1914,1980,1942,2031,2006
55,Year Built: 1990-1999,VT,Bennington,1731,1804,1881,1913,1863,1892,1865,1784,1663,1780
56,Year Built: 2000-2009,VT,Bennington,877,1011,1421,1628,1823,80,122,178,200,187
57,Year Built: 2010-2013,VT,Bennington,292,425,0,34,54,2,77,100,124,175
58,Year Built: before 1940,VT,Bennington,5935,5669,5654,5417,5117,1063,1016,1040,1184,1043
0,Avg household size of owner-occupied unit,VT,Caledonia,2.5,2.51,2.52,2.52,2.53,2.54,2.55,2.54,2.5,2.44
1,Avg household size of renter-occupied unit,VT,Caledonia,2.06,2.06,2.09,2.08,2.11,2.12,2.2,2.13,2.11,2.05
2,FIPS Code,VT,Caledonia,50005,50005,50005,50005,50005,50005,50005,50005,50005,50005
3,House Heating Fuel: Electric,VT,Caledonia,352,372,309,325,373,247,266,202,176,298
4,House Heating Fuel: Fuel Oil,VT,Caledonia,7560,7544,7383,6941,6639,6581,6443,6415,6514,6409
5,House Heating Fuel: Gas,VT,Caledonia,67,104,121,129,136,162,167,140,167,181
6,House Heating Fuel: Propane,VT,Caledonia,1715,1779,1721,1871,1855,1879,1757,1969,2183,2427
7,House Heating Fuel: Wood,VT,Caledonia,2485,2596,2734,3012,3171,3201,3179,3076,2836,2763
26,Median Number of Rooms,VT,Caledonia,5.6,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5
27,Number of Rooms: 1,VT,Caledonia,492,636,699,718,675,667,630,673,583,472
28,Number of Rooms: 2,VT,Caledonia,746,630,602,626,631,648,681,768,721,735
29,Number of Rooms: 3,VT,Caledonia,1241,1237,1302,1292,1468,1379,1261,1178,1285,1348
30,Number of Rooms: 4,VT,Caledonia,2175,2282,2337,2460,2503,2594,2529,2445,2293,2443
31,Number of Rooms: 5,VT,Caledonia,2964,2788,2631,2747,2785,2827,2827,3172,3195,3252
32,Number of Rooms: 6,VT,Caledonia,2701,2651,2800,2749,2801,2821,2876,2782,2782,2734
33,Number of Rooms: 7,VT,Caledonia,2102,2186,2087,2003,1739,1760,1842,1813,1906,1892
34,Number of Rooms: 8,VT,Caledonia,1502,1527,1537,1416,1410,1360,1367,1343,1444,1459
35,Number of Rooms: 9+,VT,Caledonia,1833,1930,1911,1932,1999,1966,2064,2100,2119,2045
36,Owner-Occupied,VT,Caledonia,22497,22842,22720,23129,23027,23022,22952,22517,22070,22163
37,Renter-Occupied,VT,Caledonia,7412,7257,7325,6903,6952,6875,6778,6917,7165,6857
38,Total Housing Units,VT,Caledonia,15756,15867,15906,15943,16011,16022,16077,16274,16328,16380
39,Total Population,VT,Caledonia,31214,31198,31170,31157,31109,31012,30859,30576,30425,30234
40,Units in Structure: 1 ATTACHED,VT,Caledonia,333,318,203,185,202,174,182,165,135,110
41,Units in Structure: 1 DETACHED,VT,Caledonia,11064,11067,10960,11073,11129,11132,11363,11467,11579,11605
42,Units in Structure: 10-19,VT,Caledonia,143,167,158,165,158,122,153,190,227,298
43,Units in Structure: 2,VT,Caledonia,787,774,792,677,620,691,645,757,818,910
44,Units in Structure: 20-49,VT,Caledonia,366,369,368,353,325,227,256,236,221,176
45,Units in Structure: 3-4,VT,Caledonia,1014,999,1075,964,1038,1085,979,915,1023,1027
46,Units in Structure: 5-9,VT,Caledonia,707,687,760,807,735,749,741,778,634,605
47,Units in Structure: 50+,VT,Caledonia,74,66,68,58,48,50,75,46,53,47
48,"Units in Structure: Boat,RV,Van,Etc.",VT,Caledonia,0,0,0,0,0,0,0,7,10,13
49,Units in Structure: Mobile Home,VT,Caledonia,1268,1420,1522,1661,1756,1792,1683,1713,1628,1589
50,Year Built: 1940-1949,VT,Caledonia,518,430,447,415,417,762,736,721,894,740
51,Year Built: 1950-1959,VT,Caledonia,842,824,847,752,812,1194,1112,1101,1145,1104
52,Year Built: 1960-1969,VT,Caledonia,929,1044,987,1033,1124,2403,2386,2530,2568,2654
53,Year Built: 1970-1979,VT,Caledonia,2392,2464,2394,2443,2428,2187,2257,2210,2129,2113
54,Year Built: 1980-1989,VT,Caledonia,2167,2171,2257,2295,2289,1940,1871,1813,1856,1764
55,Year Built: 1990-1999,VT,Caledonia,1414,1551,1706,1803,1820,1765,1822,1930,1884,1912
56,Year Built: 2000-2009,VT,Caledonia,588,710,1211,1459,1615,61,125,157,199,301
57,Year Built: 2010-2013,VT,Caledonia,218,306,10,30,31,12,14,52,140,190
58,Year Built: before 1940,VT,Caledonia,6688,6367,6047,5713,5475,442,459,399,510,540
0,Avg household size of owner-occupied unit,VT,Chittenden,2.55,2.53,2.53,2.53,2.51,2.49,2.49,2.48,2.47,2.47
