,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,House Heating Fuel: Electric,VT,Addison,306,370,357,388,380,358,374,425,482,489
4,House Heating Fuel: Fuel Oil,VT,Addison,8587,8193,7907,7818,7754,7474,7467,7472,7305,7091
5,House Heating Fuel: Gas,VT,Addison,236,225,264,238,253,185,218,182,280,468
6,House Heating Fuel: Propane,VT,Addison,2474,2643,2670,2738,2860,3214,3294,3542,3571,3506
7,House Heating Fuel: Wood,VT,Addison,2211,2441,2559,2636,2740,2878,2831,2880,2819,2701
3,House Heating Fuel: Electric,VT,Bennington,437,392,456,407,429,351,520,544,647,787
4,House Heating Fuel: Fuel Oil,VT,Bennington,10694,10526,10339,10182,10043,10099,9573,9772,9420,9086
5,House Heating Fuel: Gas,VT,Bennington,228,268,329,330,399,392,384,340,302,320
6,House Heating Fuel: Propane,VT,Bennington,2082,2011,2007,2101,2085,2193,2342,2208,2139,2103
7,House Heating Fuel: Wood,VT,Bennington,1834,1949,2100,2134,2195,2238,2220,2010,1921,1762
3,House Heating Fuel: Electric,VT,Caledonia,352,372,309,325,373,247,266,202,176,298
4,House Heating Fuel: Fuel Oil,VT,Caledonia,7560,7544,7383,6941,6639,6581,6443,6415,6514,6409
5,House Heating Fuel: Gas,VT,Caledonia,67,104,121,129,136,162,167,140,167,181
6,House Heating Fuel: Propane,VT,Caledonia,1715,1779,1721,1871,1855,1879,1757,1969,2183,2427
7,House Heating Fuel: Wood,VT,Caledonia,2485,2596,2734,3012,3171,3201,3179,3076,2836,2763
3,House Heating Fuel: Electric,VT,Chittenden,3968,4260,4624,4858,5075,5394,5707,5764,6028,6831
4,House Heating Fuel: Fuel Oil,VT,Chittenden,16346,15669,14771,13509,12992,12557,11637,11169,10626,10127
5,House Heating Fuel: Gas,VT,Chittenden,31303,32129,32849,33966,34686,35277,36077,37084,37854,38100
6,House Heating Fuel: Propane,VT,Chittenden,6729,6289,6156,5828,5742,5652,5846,6231,6294,6583
7,House Heating Fuel: Wood,VT,Chittenden,2793,3150,3235,3744,3807,3833,3790,3602,3526,3464
3,House Heating Fuel: Electric,VT,Essex,10,7,12,10,12,12,17,23,39,35
4,House Heating Fuel: Fuel Oil,VT,Essex,1862,1755,1743,1619,1574,1466,1450,1485,1521,1492
5,House Heating Fuel: Gas,VT,Essex,2,3,9,16,20,18,28,25,27,27
6,House Heating Fuel: Propane,VT,Essex,194,225,205,206,260,274,261,265,270,298
7,House Heating Fuel: Wood,VT,Essex,719,761,809,849,815,865,871,865,833,822
3,House Heating Fuel: Electric,VT,Franklin,446,424,463,416,361,364,345,395,421,535
4,House Heating Fuel: Fuel Oil,VT,Franklin,8676,8361,8197,7933,8121,7804,7552,7550,7529,7185
5,House Heating Fuel: Gas,VT,Franklin,4050,4169,3924,4046,4042,4364,4609,5036,4979,5268
6,House Heating Fuel: Propane,VT,Franklin,2415,2496,2551,2487,2358,2325,2232,2102,2170,2456
7,House Heating Fuel: Wood,VT,Franklin,2528,2723,3143,3372,3482,3504,3436,3266,3154,2827
3,House Heating Fuel: Electric,VT,Grand Isle,82,80,63,82,89,106,109,84,71,69
4,House Heating Fuel: Fuel Oil,VT,Grand Isle,1794,1783,1700,1619,1552,1524,1467,1498,1541,1518
5,House Heating Fuel: Gas,VT,Grand Isle,45,67,71,65,57,50,49,39,31,28
6,House Heating Fuel: Propane,VT,Grand Isle,788,830,788,692,690,726,679,634,654,729
7,House Heating Fuel: Wood,VT,Grand Isle,351,412,484,528,547,504,545,632,589,530
3,House Heating Fuel: Electric,VT,Lamoille,680,713,610,570,429,337,275,321,314,358
4,House Heating Fuel: Fuel Oil,VT,Lamoille,5424,4984,4746,4593,4690,4710,4816,4873,4923,4780
5,House Heating Fuel: Gas,VT,Lamoille,153,140,110,137,150,129,225,234,259,240
6,House Heating Fuel: Propane,VT,Lamoille,2097,2239,2218,2426,2476,2551,2574,2678,2690,2803
7,House Heating Fuel: Wood,VT,Lamoille,1759,1759,2005,2096,2143,2259,2243,2083,2230,2124
3,House Heating Fuel: Electric,VT,Orange,176,187,198,201,206,234,254,262,253,249
4,House Heating Fuel: Fuel Oil,VT,Orange,6260,5886,5591,5501,5465,5383,5314,5199,5246,5284
5,House Heating Fuel: Gas,VT,Orange,144,115,136,193,176,174,194,150,141,104
