,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Year Built: 1940-1949,VT,Addison,614,620,535,506,412,810,738,795,862,829
51,Year Built: 1950-1959,VT,Addison,888,793,725,772,856,1406,1372,1306,1280,1302
52,Year Built: 1960-1969,VT,Addison,1773,1713,1629,1506,1462,2547,2515,2439,2419,2350
53,Year Built: 1970-1979,VT,Addison,2365,2461,2660,2621,2604,2442,2427,2550,2461,2436
54,Year Built: 1980-1989,VT,Addison,2526,2541,2316,2426,2424,1945,2070,2186,2171,2261
55,Year Built: 1990-1999,VT,Addison,2500,2379,2320,2191,2018,2171,2300,2446,2380,2310
56,Year Built: 2000-2009,VT,Addison,820,897,1458,1797,1946,131,223,288,401,476
57,Year Built: 2010-2013,VT,Addison,354,459,18,48,87,40,53,110,188,319
58,Year Built: before 1940,VT,Addison,4779,4840,5099,4900,5034,422,396,424,425,401
50,Year Built: 1940-1949,VT,Bennington,966,1051,1019,991,1152,1681,1750,1887,1792,1924
51,Year Built: 1950-1959,VT,Bennington,1486,1427,1455,1551,1501,2155,2194,2282,2244,2199
52,Year Built: 1960-1969,VT,Bennington,2500,2296,2312,2278,2206,3403,3392,3402,3537,3432
53,Year Built: 1970-1979,VT,Bennington,3516,3481,3489,3400,3476,3707,3450,3271,3221,2975
54,Year Built: 1980-1989,VT,Bennington,3499,3716,3643,3668,3737,1914,1980,1942,2031,2006
55,Year Built: 1990-1999,VT,Bennington,1731,1804,1881,1913,1863,1892,1865,1784,1663,1780
56,Year Built: 2000-2009,VT,Bennington,877,1011,1421,1628,1823,80,122,178,200,187
57,Year Built: 2010-2013,VT,Bennington,292,425,0,34,54,2,77,100,124,175
58,Year Built: before 1940,VT,Bennington,5935,5669,5654,5417,5117,1063,1016,1040,1184,1043
50,Year Built: 1940-1949,VT,Caledonia,518,430,447,415,417,762,736,721,894,740
51,Year Built: 1950-1959,VT,Caledonia,842,824,847,752,812,1194,1112,1101,1145,1104
52,Year Built: 1960-1969,VT,Caledonia,929,1044,987,1033,1124,2403,2386,2530,2568,2654
53,Year Built: 1970-1979,VT,Caledonia,2392,2464,2394,2443,2428,2187,2257,2210,2129,2113
54,Year Built: 1980-1989,VT,Caledonia,2167,2171,2257,2295,2289,1940,1871,1813,1856,1764
55,Year Built: 1990-1999,VT,Caledonia,1414,1551,1706,1803,1820,1765,1822,1930,1884,1912
56,Year Built: 2000-2009,VT,Caledonia,588,710,1211,1459,1615,61,125,157,199,301
57,Year Built: 2010-2013,VT,Caledonia,218,306,10,30,31,12,14,52,140,190
58,Year Built: before 1940,VT,Caledonia,6688,6367,6047,5713,5475,442,459,399,510,540
50,Year Built: 1940-1949,VT,Chittenden,2681,2430,2311,2124,2140,5636,5387,5157,4968,5158
51,Year Built: 1950-1959,VT,Chittenden,5588,5782,5704,5669,5561,6689,6437,6594,6329,5970
52,Year Built: 1960-1969,VT,Chittenden,6987,6395,6126,6579,6570,10371,10385,10316,10304,10458
53,Year Built: 1970-1979,VT,Chittenden,10532,10302,10268,10188,10172,11425,11445,11390,11759,11692
54,Year Built: 1980-1989,VT,Chittenden,11483,11561,11807,11487,11537,8746,8773,8988,8464,8532
55,Year Built: 1990-1999,VT,Chittenden,8797,8840,8874,8723,8563,7821,8280,8761,9098,9379
56,Year Built: 2000-2009,VT,Chittenden,4185,4367,7128,7408,7725,1100,1634,2021,2326,2382
57,Year Built: 2010-2013,VT,Chittenden,2011,2715,120,393,749,53,269,688,1333,2087
58,Year Built: before 1940,VT,Chittenden,12589,12977,13375,13431,13465,2078,2076,2046,2035,1720
50,Year Built: 1940-1949,VT,Essex,222,237,204,239,253,374,350,381,391,398
51,Year Built: 1950-1959,VT,Essex,399,411,392,373,370,467,458,434,399,411
52,Year Built: 1960-1969,VT,Essex,476,479,479,514,480,754,757,742,740,729
53,Year Built: 1970-1979,VT,Essex,856,778,732,701,736,612,630,567,618,605
54,Year Built: 1980-1989,VT,Essex,771,788,772,744,696,611,636,622,610,546
55,Year Built: 1990-1999,VT,Essex,555,508,551,561,582,698,691,762,712,765
56,Year Built: 2000-2009,VT,Essex,271,318,487,611,687,36,39,67,104,91
57,Year Built: 2010-2013,VT,Essex,80,128,4,9,26,2,3,25,24,60
58,Year Built: before 1940,VT,Essex,1357,1368,1399,1268,1192,226,210,208,182,155
50,Year Built: 1940-1949,VT,Franklin,651,614,566,641,574,890,965,1131,1251,1211
51,Year Built: 1950-1959,VT,Franklin,1077,1065,890,895,950,1531,1700,1703,1698,1646
52,Year Built: 1960-1969,VT,Franklin,1257,1120,1239,1402,1310,2916,2904,2856,2919,2993
53,Year Built: 1970-1979,VT,Franklin,2869,2854,2851,2965,2885,3091,3154,3272,3023,3005
54,Year Built: 1980-1989,VT,Franklin,3486,3513,3436,3191,3167,3341,3094,3113,2924,2917
55,Year Built: 1990-1999,VT,Franklin,2924,3083,3028,3118,3278,3037,2896,2622,2884,2793
56,Year Built: 2000-2009,VT,Franklin,1488,1675,2825,2917,3175,418,444,684,759,783
57,Year Built: 2010-2013,VT,Franklin,593,872,143,214,328,0,0,85,356,465
58,Year Built: before 1940,VT,Franklin,6990,6694,6613,6344,6119,683,647,672,565,619
50,Year Built: 1940-1949,VT,Grand Isle,138,105,102,128,154,326,344,310,310,311
