,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,VT,2.48,2.43,2.41,2.47,2.41,2.44,2.48,2.45,2.39,2.41
1,Avg household size of renter-occupied unit,VT,1.99,2.11,2.11,2.14,2.16,2.16,2.05,2.06,2.05,1.95
2,House Heating Fuel: Electric,VT,13667,10855,12532,11779,11250,12610,14097,14035,14122,16723
3,House Heating Fuel: Fuel Oil,VT,122832,122786,114708,111011,115387,108532,106498,107395,108961,108658
4,House Heating Fuel: Gas,VT,41357,39163,41601,42192,43091,45256,46388,47036,47328,48826
5,House Heating Fuel: Propane,VT,35529,39551,38497,38339,38116,40280,42621,43339,44423,48270
6,House Heating Fuel: Wood,VT,38777,41261,46051,44411,43828,42271,39455,38840,40731,34473
25,Median Number of Rooms,VT,5.5,5.6,5.7,5.5,5.5,5.6,5.5,5.5,5.6,5.5
26,Number of Rooms: 1,VT,6740,7057,6451,8076,11545,13372,13447,14061,12695,13799
27,Number of Rooms: 2,VT,11389,12414,11813,11491,13405,11499,10820,13713,11470,11331
28,Number of Rooms: 3,VT,29213,30378,25802,35272,27771,27169,28847,27852,30306,34536
29,Number of Rooms: 4,VT,49748,48201,47994,47817,48545,50012,51988,49253,47660,51267
30,Number of Rooms: 5,VT,64430,59352,60023,58735,60069,58150,57486,61555,60184,56641
31,Number of Rooms: 6,VT,50983,56055,59419,53729,57390,57670,59837,56610,59106,57795
32,Number of Rooms: 7,VT,38951,42186,45057,39857,40843,38478,39295,41389,43474,40381
33,Number of Rooms: 8,VT,31789,30428,30294,27886,29330,30211,30199,30921,29564,31957
34,Number of Rooms: 9+,VT,39455,38314,37199,41073,36876,40313,37620,39894,42674,41705
35,Owner-Occupied,VT,448956,445488,442283,443927,434627,439571,441532,437812,451455,449180
36,Renter-Occupied,VT,151675,155614,158399,157370,166579,161032,157822,160792,149135,149108
37,Total Housing Units,VT,322698,324385,324052,323936,325774,326874,329539,335248,337133,339412
38,Total Population,VT,625960,626431,626011,626630,626562,626042,624594,623657,626299,623989
39,Units in Structure: 1 ATTACHED,VT,12223,10479,13060,13015,12444,12565,13669,12895,14799,13535
40,Units in Structure: 1 DETACHED,VT,212758,216849,216124,216056,215109,217678,219066,219954,225886,225306
41,Units in Structure: 10-19,VT,5638,6497,5559,4992,6151,5089,7212,6538,6388,6373
42,Units in Structure: 2,VT,19157,21530,19602,18629,18825,21190,17388,21447,18553,17565
43,Units in Structure: 20-49,VT,7114,7007,5225,6136,8002,7517,7361,8059,8760,9613
44,Units in Structure: 3-4,VT,21323,20237,21305,22589,20953,19712,22110,19952,21053,22261
45,Units in Structure: 5-9,VT,17433,14659,16775,15543,14307,15264,17118,17496,14817,16413
46,Units in Structure: 50+,VT,4619,4775,5603,4681,5509,5461,4963,5922,5414,6692
47,"Units in Structure: Boat,RV,Van,Etc.",VT,78,34,180,32,204,54,58,321,17,14
48,Units in Structure: Mobile Home,VT,22355,22318,20619,22263,24270,22344,20594,22664,21446,21640
49,Year Built: 1940-1949,VT,10545,10647,9795,10273,12675,9758,10022,9401,11777,9948
50,Year Built: 1950-1959,VT,20927,20323,19783,20593,19366,21009,21000,19595,22208,18840
51,Year Built: 1960-1969,VT,28258,27235,27070,31343,30925,29060,28296,26846,27418,28294
52,Year Built: 1970-1979,VT,52694,50439,52513,49672,49545,49771,50917,52299,53737,52957
53,Year Built: 1980-1989,VT,54109,53105,52807,50601,52276,52641,54173,50256,51439,52683
54,Year Built: 1990-1999,VT,34190,35946,36594,38645,36808,35906,35446,37028,34720,36185
55,Year Built: 2000-2009,VT,22502,22484,35932,33124,36547,35040,39499,37528,35138,37503
56,Year Built: 2010-2013,VT,10675,15233,1711,3419,4931,4639,7545,7472,7114,7746
57,Year Built: 2014 or later,VT,,,,,,654.0,2872.0,5229.0,7547.0,9909.0
58,Year Built: before 1940,VT,88798,88973,87847,86266,82701,88396,79769,89594,86035,85347
