,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,VT,10545,10647,9795,10273,12675,9758,10022,9401,11777,9948
50,Year Built: 1950-1959,VT,20927,20323,19783,20593,19366,21009,21000,19595,22208,18840
51,Year Built: 1960-1969,VT,28258,27235,27070,31343,30925,29060,28296,26846,27418,28294
52,Year Built: 1970-1979,VT,52694,50439,52513,49672,49545,49771,50917,52299,53737,52957
53,Year Built: 1980-1989,VT,54109,53105,52807,50601,52276,52641,54173,50256,51439,52683
54,Year Built: 1990-1999,VT,34190,35946,36594,38645,36808,35906,35446,37028,34720,36185
55,Year Built: 2000-2009,VT,22502,22484,35932,33124,36547,35040,39499,37528,35138,37503
56,Year Built: 2010-2013,VT,10675,15233,1711,3419,4931,4639,7545,7472,7114,7746
57,Year Built: 2014 or later,VT,,,,,,654.0,2872.0,5229.0,7547.0,9909.0
58,Year Built: before 1940,VT,88798,88973,87847,86266,82701,88396,79769,89594,86035,85347
