,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Vermont (Million cubic feet)",1049,1118,1207,1205,1235,1116,1222,1149,1177,1118,1301,1290,1278,1252,1352,1456,1595,1663,1868,2126,2150,2203,2520,2530,2438,2299,2523,2631,2454,2565,2843,2719,2761,3118,3112,3088,2874,3207,3075,3183,3078,3214,3012,3415,3826,3833,3518,3509,4081,4139,
"Natural gas consumed by (delivered to) the commercial sector, Vermont (Million cubic feet)",547,613,625,565,585,770,752,759,886,996,828,831,853,856,1467,1575,1688,1833,1941,2081,2049,2058,2319,2382,2669,2672,2825,3051,2979,2309,2595,2473,2470,2757,2724,2610,2374,2631,2495,2483,2384,2479,2314,4748,4830,5918,6251,6205,7356,7341,
"Natural gas consumed by the industrial sector, Vermont (Million cubic feet)",1067,1295,1361,1812,1661,1532,1633,1645,1677,1706,1623,2069,2128,2026,1771,1867,1728,1684,1741,1901,1878,1717,1958,2045,2023,2159,1953,2334,2105,2901,3949,2597,3085,2479,2784,2628,2762,2987,3000,2890,2909,2812,2711,1303,1858,2040,2172,2191,2284,2370,
"Natural gas consumed by the electric power sector, Vermont (Million cubic feet)",0,22,602,605,1266,555,64,440,39,534,239,193,107,220,272,95,3,0,0,37,685,1091,801,268,166,138,24,36,188,250,1023,116,37,30,51,32,31,26,38,64,55,49,38,44,36,19,14,12,11,12,
"Residential carbon dioxide emissions, natural gas, Vermont (million metric tons CO2)",,,,,,,,,,,0.068284,0.067966,0.067329,0.065843,0.071149,0.076614,0.083511,0.087066,0.098102,0.111154,0.112056,0.115504,0.133172,0.133968,0.128822,0.1215,0.135878,0.141237,0.131793,0.137682,0.152644,0.146012,0.147073,0.166439,0.165749,0.164582,0.152644,0.170312,0.163945,0.169728,0.164476,0.171904,0.161717,0.183894,0.206443,0.20846,0.19111,0.191747,0.223899,,
"Commercial carbon dioxide emissions, natural gas, Vermont (million metric tons CO2)",,,,,,,,,,,0.043453,0.043772,0.044939,0.045045,0.077197,0.082875,0.088392,0.09598,0.101975,0.108872,0.106803,0.107864,0.122508,0.126116,0.141025,0.141184,0.152113,0.163839,0.159966,0.123993,0.13938,0.132801,0.131581,0.147179,0.145057,0.139062,0.126063,0.139698,0.133066,0.132376,0.127389,0.132589,0.124259,0.25568,0.260614,0.321842,0.339616,0.339085,0.403549,,
"Industrial carbon dioxide emissions, natural gas, Vermont (million metric tons CO2)",,,,,,,,,,,0.085209,0.108978,0.112109,0.106591,0.093168,0.098261,0.090515,0.08818,0.09147,0.099428,0.09789,0.089984,0.103461,0.108289,0.106909,0.114072,0.105158,0.12532,0.113011,0.155721,0.212014,0.139433,0.164316,0.132323,0.14824,0.140017,0.146702,0.158639,0.159966,0.154077,0.155403,0.150363,0.145534,0.070194,0.100277,0.110941,0.117998,0.119749,0.12532,,
"Natural Gas Citygate Price in Vermont, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.99,3.95,2.81,2.72,2.59,2.59,2.88,2.87,2.93,2.96,3.11,2.61,2.74,2.33,2.58,2.85,4.26,4.83,4.85,5.17,5.26,6.85,8.61,10.03,10.66,9.33,8.29,7.98,6.63,6.16,7.08,6.33,5.13,5.03,4.64,3.86,3.33
"Vermont Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,6.22,7,7.24,6.79,6.3,6.28,6.28,6.23,5.65,5.62,5.79,6.23,6.7,6.19,6.94,6.82,6.4,6.41,6.54,7.18,8.13,10.07,10.39,10.05,11.03,12.2,14.18,15.99,18.31,17.29,16.14,16.17,16.73,15.87,14.68,14.56,14.15,14.12,13.65,13.14,13.29
"Vermont Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,6.15,6.85,7.06,6.51,5.68,5.72,5.12,4.88,4.67,4.74,5.05,5.24,5.67,5.25,5.6,5.43,5.24,5.18,5.08,5.69,6.49,7.95,8.2,8,8.7,9.69,11.13,12.79,14.31,12.96,11.82,11.9,12.09,7.57,9.13,7.89,6.63,7.04,6.77,6.01,5.46
