,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,VA,Accomack,5.3,5.3,5.3,5.4,5.4,5.5,5.6,5.6,5.5,5.5
27,Number of Rooms: 1,VA,Accomack,305,366,342,402,286,268,227,201,146,153
28,Number of Rooms: 2,VA,Accomack,313,369,331,359,315,205,274,250,295,434
29,Number of Rooms: 3,VA,Accomack,1234,982,990,1023,1141,1042,1089,1161,1176,1121
30,Number of Rooms: 4,VA,Accomack,3462,3526,3875,3423,3386,3159,3426,3197,3531,3196
31,Number of Rooms: 5,VA,Accomack,6657,6513,6073,5665,5688,5677,5169,5322,5366,5749
32,Number of Rooms: 6,VA,Accomack,3822,3972,4312,4429,4338,4314,4488,4232,4326,4522
33,Number of Rooms: 7,VA,Accomack,2270,2319,2222,2492,2599,2710,2748,2981,2629,2499
34,Number of Rooms: 8,VA,Accomack,1430,1529,1550,1662,1691,1875,1993,2125,2110,1914
35,Number of Rooms: 9+,VA,Accomack,1435,1389,1322,1497,1610,1781,1626,1774,1672,1685
26,Median Number of Rooms,VA,Albemarle,6.0,6.0,6.0,5.9,5.9,6.0,6.0,6.1,6.1,6.2
27,Number of Rooms: 1,VA,Albemarle,213,283,396,394,534,478,434,440,508,530
28,Number of Rooms: 2,VA,Albemarle,1116,864,763,706,670,636,711,752,773,807
29,Number of Rooms: 3,VA,Albemarle,2857,2602,2519,2652,2860,2735,2782,2749,2681,2619
30,Number of Rooms: 4,VA,Albemarle,5999,6587,7109,7382,7411,7695,7199,7105,6883,6775
31,Number of Rooms: 5,VA,Albemarle,7600,7633,7422,7396,7509,7125,7437,7448,7420,7131
32,Number of Rooms: 6,VA,Albemarle,6211,6150,6205,6692,6280,6747,6635,6717,6671,6915
33,Number of Rooms: 7,VA,Albemarle,4588,4698,4817,4678,4764,4865,4893,4829,4744,4796
34,Number of Rooms: 8,VA,Albemarle,4342,4293,4161,4025,4300,4325,4897,4852,5135,5505
35,Number of Rooms: 9+,VA,Albemarle,8431,8714,8940,8788,8800,8973,8963,9499,10071,10442
26,Median Number of Rooms,VA,Alleghany,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.9,5.7,5.6
27,Number of Rooms: 1,VA,Alleghany,64,125,142,169,168,151,162,159,174,169
28,Number of Rooms: 2,VA,Alleghany,93,55,60,68,87,80,59,93,176,275
29,Number of Rooms: 3,VA,Alleghany,339,332,328,356,352,330,326,365,317,403
30,Number of Rooms: 4,VA,Alleghany,956,850,810,835,766,655,730,834,871,1005
31,Number of Rooms: 5,VA,Alleghany,1616,1638,1652,1734,1882,2003,2033,1927,2057,1945
32,Number of Rooms: 6,VA,Alleghany,2004,2051,2004,1978,1934,1892,1709,1717,1706,1632
33,Number of Rooms: 7,VA,Alleghany,1516,1479,1404,1130,1240,1179,1128,1158,1099,942
34,Number of Rooms: 8,VA,Alleghany,775,758,835,905,843,956,1001,880,872,909
35,Number of Rooms: 9+,VA,Alleghany,711,778,829,875,794,817,895,914,762,747
26,Median Number of Rooms,VA,Amelia,5.9,6.0,6.1,6.0,6.1,6.1,6.2,6.1,6.3,6.1
27,Number of Rooms: 1,VA,Amelia,13,8,17,0,0,0,0,0,0,0
28,Number of Rooms: 2,VA,Amelia,0,0,22,74,78,80,119,117,43,50
29,Number of Rooms: 3,VA,Amelia,121,110,83,66,57,135,120,249,270,216
30,Number of Rooms: 4,VA,Amelia,787,724,656,569,504,560,459,477,501,497
31,Number of Rooms: 5,VA,Amelia,1222,1222,1135,1175,1304,1255,1294,1293,1172,1307
32,Number of Rooms: 6,VA,Amelia,1359,1341,1375,1502,1301,1168,1030,968,1029,1146
33,Number of Rooms: 7,VA,Amelia,770,918,862,668,742,814,721,852,922,839
34,Number of Rooms: 8,VA,Amelia,493,475,582,678,777,734,911,878,837,695
35,Number of Rooms: 9+,VA,Amelia,524,540,637,638,637,668,781,671,769,841
26,Median Number of Rooms,VA,Amherst,5.5,5.6,5.7,5.7,5.7,5.8,5.8,5.7,5.7,5.7
27,Number of Rooms: 1,VA,Amherst,21,51,57,42,36,53,73,80,75,73
28,Number of Rooms: 2,VA,Amherst,292,237,258,178,161,101,100,30,35,50
29,Number of Rooms: 3,VA,Amherst,772,640,610,606,620,613,690,857,785,773
30,Number of Rooms: 4,VA,Amherst,2170,2062,2008,1984,1958,1880,1802,1883,2171,1979
31,Number of Rooms: 5,VA,Amherst,3564,3794,3505,3444,3497,3462,3337,3499,3379,3601
32,Number of Rooms: 6,VA,Amherst,2753,2823,2877,3296,3301,3486,3471,3236,2879,2845
33,Number of Rooms: 7,VA,Amherst,1803,1923,2144,2217,2020,1968,1900,1706,1828,1911
34,Number of Rooms: 8,VA,Amherst,1293,1128,1058,1026,1144,1158,1355,1424,1417,1354
35,Number of Rooms: 9+,VA,Amherst,1216,1277,1455,1186,1307,1337,1339,1423,1598,1604
26,Median Number of Rooms,VA,Appomattox,5.4,5.4,5.7,5.6,5.6,5.6,5.6,5.5,5.5,5.5
27,Number of Rooms: 1,VA,Appomattox,30,37,35,36,8,7,44,50,53,49
28,Number of Rooms: 2,VA,Appomattox,0,0,0,3,31,29,28,59,76,53
29,Number of Rooms: 3,VA,Appomattox,279,264,236,180,153,190,246,233,223,243
30,Number of Rooms: 4,VA,Appomattox,1031,1108,976,865,924,997,901,1073,1153,1085
31,Number of Rooms: 5,VA,Appomattox,2180,2151,1990,2193,2298,2135,2201,2180,2208,2216
32,Number of Rooms: 6,VA,Appomattox,1531,1373,1417,1351,1391,1395,1332,1450,1429,1392
33,Number of Rooms: 7,VA,Appomattox,769,923,1068,982,1022,1060,1018,944,1111,1065
34,Number of Rooms: 8,VA,Appomattox,539,515,627,551,435,480,552,508,527,567
