,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Year Built: 1940-1949,VA,Accomack,899,795,874,746,877,1629,1518,1659,1791,1711
51,Year Built: 1950-1959,VA,Accomack,2025,2058,1949,1789,1578,1262,1268,1569,1827,1895
52,Year Built: 1960-1969,VA,Accomack,2148,1817,1525,1330,1273,3581,3290,2963,2710,2689
53,Year Built: 1970-1979,VA,Accomack,3261,3247,3477,3503,3507,2973,3084,3152,3084,3302
54,Year Built: 1980-1989,VA,Accomack,3026,3305,3197,3020,3343,3754,3597,3352,3472,3063
55,Year Built: 1990-1999,VA,Accomack,3212,3451,3716,3744,3995,3374,3537,3663,3132,3211
56,Year Built: 2000-2009,VA,Accomack,991,1336,2249,2937,3080,197,207,428,469,539
57,Year Built: 2010-2013,VA,Accomack,401,481,11,50,75,6,20,76,109,264
58,Year Built: before 1940,VA,Accomack,4965,4475,4019,3833,3326,968,1118,951,1081,757
50,Year Built: 1940-1949,VA,Albemarle,816,653,563,511,638,1611,1700,1925,1787,1826
51,Year Built: 1950-1959,VA,Albemarle,2070,1839,1794,1934,1852,3566,3487,4009,4263,4342
52,Year Built: 1960-1969,VA,Albemarle,3092,3042,3280,3168,3467,7140,7143,6879,7045,6861
53,Year Built: 1970-1979,VA,Albemarle,6827,6843,7144,6819,7196,7654,8065,8020,7916,8310
54,Year Built: 1980-1989,VA,Albemarle,7375,7836,7791,7936,7298,10735,10158,9549,9025,9061
55,Year Built: 1990-1999,VA,Albemarle,10158,10821,11248,11675,11489,7913,7659,7668,7895,7629
56,Year Built: 2000-2009,VA,Albemarle,5830,5019,7396,7622,7789,1513,2040,2483,2486,2511
57,Year Built: 2010-2013,VA,Albemarle,2136,2648,161,366,758,57,148,441,1062,1496
58,Year Built: before 1940,VA,Albemarle,3053,3123,2955,2682,2641,674,678,694,587,575
50,Year Built: 1940-1949,VA,Alleghany,687,733,761,676,697,864,889,856,944,909
51,Year Built: 1950-1959,VA,Alleghany,844,765,767,780,792,1091,1143,1099,1190,1217
52,Year Built: 1960-1969,VA,Alleghany,1182,1120,1184,1138,1051,1375,1297,1289,1182,1233
53,Year Built: 1970-1979,VA,Alleghany,1478,1621,1633,1638,1472,956,933,1085,932,941
54,Year Built: 1980-1989,VA,Alleghany,736,704,741,859,978,825,834,873,815,868
55,Year Built: 1990-1999,VA,Alleghany,944,959,795,813,792,490,478,493,444,372
56,Year Built: 2000-2009,VA,Alleghany,196,221,423,496,544,75,92,90,95,69
57,Year Built: 2010-2013,VA,Alleghany,158,187,6,13,33,0,3,4,32,36
58,Year Built: before 1940,VA,Alleghany,1849,1756,1754,1637,1707,670,616,648,835,965
50,Year Built: 1940-1949,VA,Amelia,301,219,171,192,190,419,448,395,397,315
51,Year Built: 1950-1959,VA,Amelia,317,252,253,266,374,356,306,305,253,403
52,Year Built: 1960-1969,VA,Amelia,483,530,550,534,398,857,841,1006,950,968
53,Year Built: 1970-1979,VA,Amelia,1010,1023,909,896,835,478,636,596,793,928
54,Year Built: 1980-1989,VA,Amelia,839,724,752,578,464,1126,1279,1260,1348,1315
55,Year Built: 1990-1999,VA,Amelia,1173,1118,1217,1203,1056,1362,1157,1080,961,857
56,Year Built: 2000-2009,VA,Amelia,739,829,1103,1282,1447,198,183,213,232,212
57,Year Built: 2010-2013,VA,Amelia,105,302,79,85,154,0,0,28,46,105
58,Year Built: before 1940,VA,Amelia,322,341,335,334,482,148,163,187,174,137
50,Year Built: 1940-1949,VA,Amherst,592,686,640,648,664,1063,1193,1323,1271,1227
51,Year Built: 1950-1959,VA,Amherst,1460,1215,1223,1108,1142,1779,1830,1843,1779,1702
52,Year Built: 1960-1969,VA,Amherst,1599,1627,1716,1832,1801,2691,2802,2619,2571,2715
53,Year Built: 1970-1979,VA,Amherst,2847,2879,2832,2819,2785,1901,2069,2243,2229,2332
54,Year Built: 1980-1989,VA,Amherst,2409,2219,2091,1908,1928,2302,2103,2282,2396,2304
55,Year Built: 1990-1999,VA,Amherst,2476,2663,2380,2353,2406,2019,1958,1613,1507,1447
56,Year Built: 2000-2009,VA,Amherst,704,748,1630,1769,1814,159,176,239,273,282
57,Year Built: 2010-2013,VA,Amherst,343,592,53,69,124,0,0,11,128,189
58,Year Built: before 1940,VA,Amherst,1454,1306,1407,1473,1380,751,653,549,618,549
50,Year Built: 1940-1949,VA,Appomattox,467,488,371,268,273,755,875,871,748,740
51,Year Built: 1950-1959,VA,Appomattox,541,553,564,708,767,748,648,534,571,486
52,Year Built: 1960-1969,VA,Appomattox,972,946,987,889,786,1379,1395,1341,1428,1563
53,Year Built: 1970-1979,VA,Appomattox,1364,1361,1461,1396,1399,728,683,637,693,699
54,Year Built: 1980-1989,VA,Appomattox,880,929,908,891,810,1089,1171,1115,1096,1147
55,Year Built: 1990-1999,VA,Appomattox,1521,1371,1226,1066,1083,1456,1341,1584,1475,1495
56,Year Built: 2000-2009,VA,Appomattox,300,384,859,1128,1302,140,215,313,354,329
57,Year Built: 2010-2013,VA,Appomattox,86,328,53,120,103,5,21,39,73,126
58,Year Built: before 1940,VA,Appomattox,614,481,474,481,483,244,206,223,274,258
50,Year Built: 1940-1949,VA,Arlington,17118,16745,16710,16609,16315,16702,16604,16275,16082,16249
51,Year Built: 1950-1959,VA,Arlington,18042,17898,17830,16769,16578,12350,12277,12717,13387,13341
52,Year Built: 1960-1969,VA,Arlington,13979,13418,12837,12425,12297,11877,11495,11039,10682,10196
53,Year Built: 1970-1979,VA,Arlington,10302,10702,11041,11388,11441,12055,12354,12244,12160,12021
54,Year Built: 1980-1989,VA,Arlington,12652,12164,11993,12016,12421,10262,10467,10529,10829,10981
55,Year Built: 1990-1999,VA,Arlington,9335,9637,9348,9770,9936,17070,17022,17051,17085,17232
56,Year Built: 2000-2009,VA,Arlington,8213,8842,15782,16900,17179,2884,3733,4544,5128,5448
57,Year Built: 2010-2013,VA,Arlington,4130,5861,467,1259,2000,70,603,1305,2150,3580
58,Year Built: before 1940,VA,Arlington,8385,8833,9387,9604,9854,15894,15730,15806,15793,15934
50,Year Built: 1940-1949,VA,Augusta,1563,1632,1447,1387,1545,2426,2527,2428,2537,2621
51,Year Built: 1950-1959,VA,Augusta,2653,2576,2564,2343,2230,2898,2610,2810,2862,2645
52,Year Built: 1960-1969,VA,Augusta,3185,3173,3097,2956,3067,4356,4294,4219,3769,3835
53,Year Built: 1970-1979,VA,Augusta,4603,4413,3990,4281,4033,4585,4453,4705,4740,4737
54,Year Built: 1980-1989,VA,Augusta,5088,5252,5179,4966,4639,6473,6354,6405,6453,6411
55,Year Built: 1990-1999,VA,Augusta,7238,7249,7214,6759,6672,4900,5366,5246,5127,5246
56,Year Built: 2000-2009,VA,Augusta,1811,2124,3556,4631,4944,563,820,990,1100,1198
57,Year Built: 2010-2013,VA,Augusta,582,842,47,157,337,0,94,211,497,714
58,Year Built: before 1940,VA,Augusta,4045,3749,4155,3882,4083,1549,1449,1329,1281,1286
