,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,VA,5.9,5.9,5.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0
26,Number of Rooms: 1,VA,46403,47202,43009,46173,45922,54230,57285,53458,53258,49687
27,Number of Rooms: 2,VA,60384,59936,58722,60026,60006,62929,66003,70595,73232,79298
28,Number of Rooms: 3,VA,238141,234981,238164,229964,239633,231730,241604,239794,252211,262872
29,Number of Rooms: 4,VA,491248,487548,505592,491490,500101,502867,492783,493956,502918,498200
30,Number of Rooms: 5,VA,602801,608779,612747,601113,614491,609576,601444,597766,614876,603335
31,Number of Rooms: 6,VA,559782,581709,573326,575052,572355,576462,577456,585654,579110,586905
32,Number of Rooms: 7,VA,437959,445835,433516,458700,444068,443243,445949,457342,458349,447920
33,Number of Rooms: 8,VA,374298,372108,371277,367362,367304,375032,387811,377083,370022,385033
34,Number of Rooms: 9+,VA,557658,549703,562036,582697,602705,612883,620850,637269,635009,649008
