,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Virginia (Million cubic feet)",54825,50997,48253,47318,51439,48752,51517,55421,58539,61712,51438,54199,62431,65472,65176,68712,76214,73905,63186,69189,79701,70249,75476,85330,82755,85355,71693,80957,79725,84445,88157,79301,70438,85702,92817,85464,77170,76904,89036,81831,
"Natural gas consumed by (delivered to) the commercial sector, Virginia (Million cubic feet)",38467,35255,38157,38457,34825,33975,35453,39401,42013,44181,41038,44077,50757,52880,52944,56948,59262,61895,58283,61516,66098,59809,62699,64004,64518,65838,62352,66444,67006,67709,68911,64282,60217,68126,72165,69107,67553,68162,74282,71245,
"Natural gas consumed by the industrial sector, Virginia (Million cubic feet)",54643,52592,50591,46630,47612,50777,48345,56003,53643,58186,75150,60289,69461,74069,86865,98795,85540,86594,94044,96660,78083,66872,76973,71198,75557,76490,74229,74879,67048,63184,68364,73353,79894,84406,87938,94514,95329,100604,103271,106788,
"Natural gas consumed by the electric power sector, Virginia (Million cubic feet)",2285,2180,3020,3330,3152,1528,847,1724,1096,3796,9773,15912,23799,40268,40647,44957,31519,19038,37808,41230,36700,33118,34936,35256,48784,66951,60321,90573,76983,94829,139755,142284,189848,171588,159155,243176,294524,311435,357021,409423,
"Total energy consumption per capita in the residential sector, Virginia (Million Btu)",67.4,63.6,63.7,64.3,67.8,68.3,72,73.3,75.8,77.6,70.5,72.4,73.2,78.6,76.5,78.5,81.5,77.7,75.9,78,82.4,78,82.1,83.1,85.1,88.3,81,85,82.5,80.6,85.2,78.1,70.8,75.8,77.4,73.1,68.8,65.4,71.7,66.8,
"Electricity consumed by (i.e., sold to) the residential sector, Virginia (Million kilowatthours)",19731,20579,20343,21588,21711,22568,25235,26875,28192,29223,28130,29607,29780,32472,32343,33472,34651,33923,34703,35779,37541,37325,40358,40877,42503,44662,42906,45481,44597,44763,48439,45771,43535,45416,46444,45928,45186,43982,47963,46666,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Virginia (Kilowatthours)",3675,3780,3704,3879,3847,3949,4342,4530,4670,4775,4525,4699,4643,4988,4906,5018,5133,4967,5029,5111,5283,5185,5539,5549,5686,5894,5591,5868,5693,5648,6037,5649,5317,5501,5585,5489,5368,5192,5635,5454,
"Distillate fuel oil consumed by the residential sector, Virginia (Billion Btu)",42988,32455,29330,31431,36967,33425,42172,44172,46489,40701,35350,30968,32382,30805,31813,30040,33582,30346,29215,28811,33047,30182,28419,30843,32589,31358,26254,25208,23079,17502,18566,16283,12079,13569,14042,12958,9854,8912,11330,9431,
"Propane consumed by the residential sector, Virginia (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13270,12632,10149,12139,11732,12295,10505,9852,12123,12726,
"Distillate fuel oil consumed by the commercial sector, Virginia (Billion Btu)",9515,8130,8636,15964,18776,16002,18375,17300,17334,15228,16400,14378,13240,15048,15952,15461,19776,17306,18024,16666,19329,17220,14296,18884,17611,17338,15620,12080,8953,7701,8519,6656,9858,7936,9208,9224,8599,8999,10485,10824,
"Electricity consumed by (i.e., sold to) the commercial sector, Virginia (Million kilowatthours)",16969,18201,18492,19179,20631,21491,23504,24983,26143,27754,28082,29387,29863,31419,31624,33051,33839,34165,35793,36893,38459,39329,40642,41179,43025,44670,44654,46971,46878,46828,48037,47051,46757,47751,47752,48347,49264,50201,52268,53981,
"Total energy consumption per capita in the commercial sector, Virginia (Million Btu)",47.8,48.1,49.6,52,53.4,53.7,57.1,59.3,60.1,64.3,64.7,65.7,66.7,69.8,68.7,71.7,73.9,72.7,73.8,75.5,78.4,76.4,77.4,77.7,79.8,81.5,79,81.6,80.4,78,78.8,75,72.2,74.1,74.2,73.5,72.8,72.3,74.8,73.8,
