Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,VA,2980,2985,3105,4009,5213,2206,2563,2762,2759,2774,2652
,Statewide Total,Cooperative,VA,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Privately Owned,VA,902,929,874,1168,1586,1455,1741,1970,2058,2027,1921
,Statewide Total,Investor Owned,VA,1562,1593,1801,2402,3205,314,455,398,341,367,411
,Statewide Total,Municipal Owned,VA,516,463,430,439,422,437,367,394,360,380,320
22182,WASHINGTON GAS LIGHT CO,Privately Owned,VA,890,921,862,1150,1579,1447,1734,1960,2054,2020,1914
21349,VIRGINIA NATURAL GAS,Investor Owned,VA,685,864,1081,1592,2400,0,0,0,0,0,0
20211,ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),Investor Owned,VA,93,85,62,63,68,74,96,56,66,86,76
18560,SOUTHWESTERN VIRGINIA GAS CO,Privately Owned,VA,12,8,12,18,7,8,7,10,4,7,7
17540,ROANOKE GAS CO,Investor Owned,VA,208,205,225,257,161,239,356,340,273,277,331
17360,"RICHMOND, CITY OF",Municipal Owned,VA,434,366,347,334,311,338,275,283,251,290,248
3110,"DANVILLE, CITY OF",Municipal Owned,VA,44,45,40,49,67,43,34,52,50,29,27
2604,COLUMBIA GAS OF VIRGINIA INC,Investor Owned,VA,576,438,433,489,573,1,2,1,1,1,0
2268,"CHARLOTTESVILLE, CITY OF",Municipal Owned,VA,38,52,43,56,44,56,58,59,59,61,45
980,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,Investor Owned,VA,0,1,0,1,3,0,1,1,1,3,4
