,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,WA,Adams,3.06,3.16,3.23,3.27,3.19,3.24,3.24,3.23,3.21,3.16
1,Avg household size of renter-occupied unit,WA,Adams,3.31,3.19,3.13,3.14,3.23,3.25,3.38,3.32,3.36,3.36
2,FIPS Code,WA,Adams,53001,53001,53001,53001,53001,53001,53001,53001,53001,53001
3,House Heating Fuel: Electric,WA,Adams,3398,3635,3818,3889,3876,4006,3958,4008,3862,3961
4,House Heating Fuel: Fuel Oil,WA,Adams,229,171,158,170,174,155,160,154,135,96
5,House Heating Fuel: Gas,WA,Adams,1623,1549,1432,1343,1386,1311,1278,1299,1486,1521
6,House Heating Fuel: Propane,WA,Adams,146,111,141,133,138,92,85,98,96,105
7,House Heating Fuel: Wood,WA,Adams,124,112,95,129,171,165,162,175,193,187
26,Median Number of Rooms,WA,Adams,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.4
27,Number of Rooms: 1,WA,Adams,109,112,111,81,88,136,202,236,226,197
28,Number of Rooms: 2,WA,Adams,173,141,129,122,143,122,115,135,91,83
29,Number of Rooms: 3,WA,Adams,281,391,462,532,490,495,470,496,412,407
30,Number of Rooms: 4,WA,Adams,1296,1112,1158,965,878,914,966,910,1113,1221
31,Number of Rooms: 5,WA,Adams,1283,1327,1300,1463,1558,1458,1407,1455,1428,1477
32,Number of Rooms: 6,WA,Adams,1331,1356,1290,1246,1213,1172,1093,1202,1172,1136
33,Number of Rooms: 7,WA,Adams,694,698,663,694,762,840,888,838,870,819
34,Number of Rooms: 8,WA,Adams,369,401,425,452,465,481,502,521,561,537
35,Number of Rooms: 9+,WA,Adams,624,672,682,677,667,653,670,686,654,731
36,Owner-Occupied,WA,Adams,10950,11273,11823,12351,12046,12262,12562,12080,11968,11925
37,Renter-Occupied,WA,Adams,6686,6697,6444,6150,6617,6545,6262,6908,7219,7407
38,Total Housing Units,WA,Adams,6160,6210,6220,6232,6264,6271,6313,6479,6527,6608
39,Total Population,WA,Adams,17884,18289,18575,18802,18951,19081,19100,19261,19452,19594
40,Units in Structure: 1 ATTACHED,WA,Adams,105,92,97,100,129,111,100,106,123,153
41,Units in Structure: 1 DETACHED,WA,Adams,3891,3782,3731,3895,3971,3912,4081,4053,4153,4254
42,Units in Structure: 10-19,WA,Adams,169,145,187,153,120,111,132,140,148,156
43,Units in Structure: 2,WA,Adams,142,168,183,146,220,252,197,258,290,252
44,Units in Structure: 20-49,WA,Adams,175,262,198,89,121,149,150,135,136,133
45,Units in Structure: 3-4,WA,Adams,128,123,125,160,171,202,216,200,103,93
46,Units in Structure: 5-9,WA,Adams,211,187,178,192,147,173,186,231,186,175
47,Units in Structure: 50+,WA,Adams,25,42,33,25,12,14,0,16,16,16
48,"Units in Structure: Boat,RV,Van,Etc.",WA,Adams,17,3,1,2,2,0,23,25,23,33
49,Units in Structure: Mobile Home,WA,Adams,1297,1406,1487,1470,1371,1347,1228,1315,1349,1343
50,Year Built: 1940-1949,WA,Adams,266,269,293,313,392,783,806,887,1000,1020
51,Year Built: 1950-1959,WA,Adams,815,737,716,714,696,918,857,709,586,696
52,Year Built: 1960-1969,WA,Adams,840,836,826,865,851,1355,1393,1335,1469,1601
53,Year Built: 1970-1979,WA,Adams,1461,1519,1610,1497,1416,535,506,502,510,448
54,Year Built: 1980-1989,WA,Adams,649,533,565,575,586,692,668,868,895,820
55,Year Built: 1990-1999,WA,Adams,557,671,700,770,722,673,641,724,685,620
56,Year Built: 2000-2009,WA,Adams,495,537,689,642,682,123,189,188,213,223
57,Year Built: 2010-2013,WA,Adams,193,267,23,26,64,0,29,53,66,125
58,Year Built: before 1940,WA,Adams,884,841,798,830,855,390,386,349,244,190
0,Avg household size of owner-occupied unit,WA,Asotin,2.41,2.4,2.37,2.42,2.26,2.28,2.31,2.33,2.36,2.44
1,Avg household size of renter-occupied unit,WA,Asotin,2.22,2.33,2.3,2.27,2.4,2.46,2.46,2.52,2.53,2.44
2,FIPS Code,WA,Asotin,53003,53003,53003,53003,53003,53003,53003,53003,53003,53003
3,House Heating Fuel: Electric,WA,Asotin,3451,3539,3896,3865,4070,3746,3641,3379,3381,3375
4,House Heating Fuel: Fuel Oil,WA,Asotin,92,130,147,151,133,125,75,50,50,93
5,House Heating Fuel: Gas,WA,Asotin,4789,4627,4466,4354,4545,4730,4877,5097,5053,4893
6,House Heating Fuel: Propane,WA,Asotin,217,164,166,207,173,161,134,136,134,106
7,House Heating Fuel: Wood,WA,Asotin,338,334,318,416,410,487,467,464,455,508
