,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,House Heating Fuel: Electric,WA,Adams,3398,3635,3818,3889,3876,4006,3958,4008,3862,3961
4,House Heating Fuel: Fuel Oil,WA,Adams,229,171,158,170,174,155,160,154,135,96
5,House Heating Fuel: Gas,WA,Adams,1623,1549,1432,1343,1386,1311,1278,1299,1486,1521
6,House Heating Fuel: Propane,WA,Adams,146,111,141,133,138,92,85,98,96,105
7,House Heating Fuel: Wood,WA,Adams,124,112,95,129,171,165,162,175,193,187
3,House Heating Fuel: Electric,WA,Asotin,3451,3539,3896,3865,4070,3746,3641,3379,3381,3375
4,House Heating Fuel: Fuel Oil,WA,Asotin,92,130,147,151,133,125,75,50,50,93
5,House Heating Fuel: Gas,WA,Asotin,4789,4627,4466,4354,4545,4730,4877,5097,5053,4893
6,House Heating Fuel: Propane,WA,Asotin,217,164,166,207,173,161,134,136,134,106
7,House Heating Fuel: Wood,WA,Asotin,338,334,318,416,410,487,467,464,455,508
3,House Heating Fuel: Electric,WA,Benton,49689,50610,52385,53487,54105,55198,56009,57504,57308,58068
4,House Heating Fuel: Fuel Oil,WA,Benton,298,325,230,227,204,111,85,112,203,205
5,House Heating Fuel: Gas,WA,Benton,9381,9657,9706,9635,10153,10032,10306,10815,11658,11886
6,House Heating Fuel: Propane,WA,Benton,652,691,574,504,544,547,481,458,414,561
7,House Heating Fuel: Wood,WA,Benton,1528,1442,1393,1402,1200,1005,1026,907,857,885
3,House Heating Fuel: Electric,WA,Chelan,24455,24728,24937,25301,24998,25014,25144,25337,26016,26514
4,House Heating Fuel: Fuel Oil,WA,Chelan,112,112,67,90,84,64,81,88,79,88
5,House Heating Fuel: Gas,WA,Chelan,1250,1185,1218,1063,1149,1034,986,895,771,678
6,House Heating Fuel: Propane,WA,Chelan,100,86,105,108,111,163,167,159,186,180
7,House Heating Fuel: Wood,WA,Chelan,670,663,617,621,750,652,657,749,778,791
3,House Heating Fuel: Electric,WA,Clallam,24215,24450,24545,24654,24851,25193,25219,25612,26020,26483
4,House Heating Fuel: Fuel Oil,WA,Clallam,335,292,240,177,137,122,125,102,112,185
5,House Heating Fuel: Gas,WA,Clallam,406,514,513,504,452,458,514,572,595,557
6,House Heating Fuel: Propane,WA,Clallam,1323,1202,1055,1130,1217,1073,1183,1370,1378,1227
7,House Heating Fuel: Wood,WA,Clallam,4502,4394,4321,4194,4097,4268,4173,4312,4317,4144
3,House Heating Fuel: Electric,WA,Clark,93715,94821,95415,95986,96642,99040,100317,101574,104611,107196
4,House Heating Fuel: Fuel Oil,WA,Clark,1791,1736,1414,1431,1457,1457,1262,1274,1145,1093
5,House Heating Fuel: Gas,WA,Clark,49892,50943,51760,52289,53155,52819,53701,55694,56718,57796
