,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",WA,117568,124351,116010,115255,109504,103363,104035,98698,87576,87160
8,"Household Income: $100,000 to $124,999",WA,226742,226411,236813,238541,259417,261750,282053,296780,306373,321370
9,"Household Income: $125,000 to $149,999",WA,128777,138697,146181,150383,149100,170222,176974,197783,205508,216619
10,"Household Income: $15,000 to $19,999",WA,124834,120262,114520,114471,115903,104545,100694,95900,94801,82672
11,"Household Income: $150,000 to $199,999",WA,123679,132363,139083,152159,166353,177245,197643,220067,247929,267383
12,"Household Income: $20,000 to $24,999",WA,135129,130081,131058,130965,119750,114298,109037,107546,104171,106508
13,"Household Income: $200,000 or more",WA,98300,117019,124367,138003,156435,184885,211725,242376,281503,333156
14,"Household Income: $25,000 to $29,999",WA,121007,118591,120472,114234,111915,113172,103271,97868,98670,92639
15,"Household Income: $30,000 to $34,999",WA,138207,137108,127927,132589,126104,123120,117364,112870,106507,100138
16,"Household Income: $35,000 to $39,999",WA,126528,123249,120689,115315,115585,116671,115214,108141,111311,100527
17,"Household Income: $40,000 to $44,999",WA,124688,122997,124163,120021,120974,117756,117894,112406,115731,107367
18,"Household Income: $45,000 to $49,999",WA,110956,116513,115752,108431,110681,115140,109873,110336,104777,101208
19,"Household Income: $50,000 to $59,999",WA,215882,216388,217803,219044,208353,206820,212614,211994,207383,207747
20,"Household Income: $60,000 to $74,999",WA,292668,289824,285527,273021,293253,289639,284971,291076,298579,288011
21,"Household Income: $75,000 to $99,999",WA,351147,351044,343259,344734,351388,375501,377218,387052,390219,391406
22,"Household Income: Less than $10,000",WA,170751,167723,173193,177391,164886,154446,147496,149484,134537,128566
23,Household Income: Total:,WA,2606863,2632621,2636817,2644557,2679601,2728573,2768076,2840377,2895575,2932477
24,Median Household Income,WA,55631.0,56835.0,57573.0,58405.0,61366.0,64129.0,67106.0,70979.0,74073.0,78687.0
