,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Washington (Million cubic feet)",31929,33934,38631,36468,35525,34349,32348,30533,27437,32850,29734,26847,29143,25998,29242,33000,30217,29799,34981,38358,40346,46222,43048,53258,53144,52763,62689,61813,61936,71704,71779,84416,73347,71110,70932,73626,75491,80152,84509,84143,75554,85393,79892,83365,78750,71907,76321,91028,83567,89967,
"Natural gas consumed by (delivered to) the commercial sector, Washington (Million cubic feet)",18490,20612,23254,32333,33221,31988,31652,29946,25330,33369,30754,28629,30559,28728,32371,35459,32022,32366,36674,38502,38671,41738,37800,43620,42982,42568,48139,46686,45561,50735,50462,57160,46455,47845,48455,49745,51292,53689,56205,55697,51335,56487,53420,55805,54457,49939,51634,60096,57014,61010,
"Natural gas consumed by the industrial sector, Washington (Million cubic feet)",93147,95974,101169,121697,108464,92142,78806,75993,68108,82860,63678,66691,47119,50883,62790,63176,54027,65706,69418,73239,78424,79735,79766,92274,107603,109997,114236,111159,133106,124371,83748,75017,67717,65884,67812,66874,70758,73572,75748,71271,71280,76289,78196,80889,79439,76527,79275,80656,77303,78490,
"Natural gas consumed by the electric power sector, Washington (Million cubic feet)",0,0,0,0,0,0,0,0,56,2100,941,491,121,30,32,77,124,93,1753,8320,191,1145,11267,27985,42583,40252,41730,27725,40373,32639,74400,86184,39552,57880,66068,65809,58800,57294,74580,91308,79535,39265,43336,87671,84531,96897,81728,80589,76549,105832,
"Residential carbon dioxide emissions, natural gas, Washington (million metric tons CO2)",,,,,,,,,,,1.659878,1.49572,1.628203,1.438685,1.621306,1.820905,1.649691,1.63319,1.904098,2.100832,2.204823,2.528469,2.359483,2.933715,2.940719,2.91748,3.45436,3.439558,3.439451,4.00859,3.969912,4.634712,4.006786,3.872235,3.868309,4.021801,4.125262,4.360621,4.618795,4.599058,4.139906,4.662832,4.363221,4.569718,4.363858,4.057509,4.368102,5.215258,4.817864,,
"Commercial carbon dioxide emissions, natural gas, Washington (million metric tons CO2)",,,,,,,,,,,1.716808,1.59499,1.70731,1.589737,1.794801,1.956571,1.74827,1.773897,1.996257,2.108737,2.1133,2.283188,2.07181,2.40283,2.378424,2.353806,2.652568,2.597814,2.530166,2.836303,2.79094,3.138249,2.537753,2.605348,2.64254,2.717244,2.802878,2.920876,3.071822,3.044285,2.812852,3.084449,2.91748,3.058982,3.017704,2.817946,2.955203,3.443059,3.28702,,
"Industrial carbon dioxide emissions, natural gas, Washington (million metric tons CO2)",,,,,,,,,,,3.554744,3.715558,2.632513,2.81577,3.481366,3.485982,2.949632,3.601168,3.778537,4.01119,4.285758,4.361682,4.372029,5.082935,5.954231,6.082204,6.294696,6.185399,7.391749,6.952917,4.631953,4.118683,3.699217,3.587639,3.698156,3.652952,3.866611,4.002648,4.139959,3.895527,3.905713,4.165691,4.270584,4.433946,4.402006,4.318229,4.537194,4.621023,4.456707,,
"Natural Gas Citygate Price in Washington, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.12,3.86,3.15,2.45,2.32,2.2,1.95,1.91,1.9,2.39,2.54,2.18,2.44,2.62,2.34,2.63,4.16,5.31,3.83,5.13,6.15,7.95,7.87,7.14,8.11,6.59,6.29,5.55,4.48,4.89,5.82,4.42,3.66,3.51,3.65,4.25,
"Washington Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.4,1.43,1.47,1.55,1.77,2.27,2.7,3.12,3.48,3.95,5.31,6.02,6.87,6.87,6.84,6.6,5.93,5.42,5.5,5.49,5.02,4.68,5.0,5.23,5.7,5.89,5.65,5.64,5.84,5.88,7.16,9.79,9.33,8.43,9.91,11.8,13.36,13.86,13.06,13.95,12.24,12.3,11.87,11.37,10.59,11.81,10.78,10.62,10.28,9.82,10.97
"Washington Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",1.11,1.13,1.16,1.25,1.33,1.82,2.23,2.67,2.85,3.46,4.83,5.35,6.21,6.08,6.08,5.45,5.05,4.5,4.59,4.68,4.14,4.06,4.32,4.53,4.9,5.0,4.81,4.73,4.75,4.89,6.02,8.62,8.24,7.38,9.4,10.43,11.97,12.38,11.49,12.26,10.49,10.4,9.82,9.21,9.03,9.78,8.49,8.3,7.9,7.49,8.8
