,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,WA,23573.996,30.833333333333332,4942,520.0,0.0,1.0,893.0,3710.0,2253.0,2519.0,6520.0,4632.0,2337.0,183.0
1,Statewide Total,,Cooperative,WA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Statewide Total,,Privately Owned,WA,1967.9,24.0,160,0.0,0.0,0.0,23.0,122.0,102.0,190.0,715.0,513.0,276.0,25.0
3,Statewide Total,,Investor Owned,WA,21356.099000000002,32.0,4712,520.0,0.0,1.0,810.0,3577.0,2142.0,2311.0,5748.0,4060.0,2028.0,154.0
4,Statewide Total,,Municipal Owned,WA,249.997,32.5,70,0.0,0.0,0.0,59.0,10.0,8.0,18.0,56.0,58.0,32.0,3.0
5,AVISTA CORP,31232,Investor Owned,WA,3507.559,35.0,1229,24.665,0.0,0.0,416.145,776.978,240.867,206.632,955.843,491.408,357.808,37.213
6,PUGET SOUND ENERGY,22189,Investor Owned,WA,12955.27,30.0,2377,0.0,0.0,0.0,215.18,1947.27,1431.42,1673.02,3747.68,2732.27,1148.43,60.0
7,NORTHWEST NATURAL GAS CO,13840,Privately Owned,WA,1967.9,24.0,160,0.0,0.0,0.0,23.1,122.1,102.5,190.0,715.1,513.0,276.9,25.2
8,"ENUMCLAW GAS DEPT, CITY OF",4500,Municipal Owned,WA,114.9,32.0,30,0.0,0.0,0.0,25.7,4.3,4.6,12.7,26.7,18.2,20.3,1.9
9,"ELLENSBURG GAS DEPT, CITY OF",4400,Municipal Owned,WA,135.097,33.0,40,0.0,0.0,0.0,34.0,6.0,4.0,6.0,30.0,40.57,12.553,1.974
10,CASCADE NATURAL GAS CORP,2128,Investor Owned,WA,4893.27,31.0,1106,495.45,0.08,1.13,179.63,853.73,469.95,431.51,1045.44,836.84,521.88,57.63
