,urban_area,source,all_exp,POC_exp,white_exp,latino_exp,black_exp,asian_exp,white_diff,white_pctDiff,POC_diff,POC_pctDiff,latino_diff,latino_pctDiff,black_diff,black_pctDiff,asian_diff,asian_pctDiff,State
0,"Beckley, WV",All,3.28724704870319,3.31807894013851,3.28073704697197,3.27186546293808,3.3271527405315,3.33585312688422,-0.00651000173121696,-0.00198038104065989,0.0308318914353203,0.00937924378013614,-0.0153815857651094,-0.00467916938922415,0.0399056918283134,0.0121395475414773,0.048606078181026,0.0147862565425988,WV
1,"Charleston, WV",All,4.05302164224931,4.18048094849611,4.0300913581029,4.150330912458,4.20576894989622,4.10591379467744,-0.0229302841464136,-0.00565757752373806,0.127459306246808,0.0314479707974299,0.0973092702086946,0.0240090675051739,0.152747307646913,0.0376872667184039,0.0528921524281332,0.0130500542796953,WV
2,"Cumberland, MD--WV--PA",All,7.6737560099106,7.67631677561519,7.67323780155666,7.67324760561127,7.67647184436783,7.68413054927815,-0.000518208353940786,-6.75299492545141e-05,0.00256076570459296,0.000333704342604293,-0.000508404299330856,-6.62523409233048e-05,0.00271583445723156,0.000353912015670563,0.010374539367553,0.00135195064244345,WV
3,"Hagerstown, MD--WV--PA",All,7.82770575848194,8.02980723534346,7.77035076084827,7.92015030218787,8.0796999183086,7.93930732670112,-0.05735499763367,-0.00732717853778821,0.202101476861513,0.0258187370728032,0.092444543705926,0.0118099155178074,0.251994159826655,0.0321925948166357,0.11160156821918,0.0142572513150806,WV
4,"Huntington, WV--KY--OH",All,5.10389772036697,5.17126380064591,5.09557834093117,5.16023121252167,5.20591035137182,5.01479431059385,-0.00831937943579941,-0.001630005123849,0.0673660802789407,0.0131989479354412,0.0563334921546996,0.0110373473845101,0.102012631004849,0.01998720127125,-0.0891034097731218,-0.0174579144518428,WV
5,"Morgantown, WV",All,4.98291171816357,5.20542954936166,4.94548861729907,5.13919928047438,4.92825575128059,5.52533648270676,-0.0374231008644914,-0.00751028775566659,0.222517831198095,0.0446561857371423,0.156287562310811,0.0313647062501862,-0.0546559668829705,-0.0109686805575423,0.542424764543195,0.108856988689156,WV
6,"Parkersburg, WV--OH",All,6.0005016863786,6.04195094273917,5.99796254833183,5.99512963363354,6.02029670173486,5.93296860039499,-0.00253913804677186,-0.000423154292671197,0.0414492563605675,0.00690763181596284,-0.00537205274506114,-0.000895267266944684,0.0197950153562587,0.00329889339106333,-0.0675330859836079,-0.0112545732862489,WV
7,"Weirton--Steubenville, WV--OH--PA",All,5.76451267386407,5.92790614746332,5.73837645765568,5.96462988484009,5.94141574768809,5.63839349935314,-0.0261362162083953,-0.00453398538386346,0.163393473599248,0.0283447158230848,0.200117210976019,0.0347153735793378,0.176903073824018,0.0306882964497737,-0.126119174510934,-0.021878549262759,WV
8,"Wheeling, WV--OH",All,4.75762806909269,4.76446559939833,4.75705196182367,4.76942241288032,4.76248722545283,4.75350156195912,-0.000576107269021797,-0.000121091279237316,0.00683753030564027,0.00143717209633502,0.0117943437876224,0.00247903863360881,0.00485915636013612,0.00102134010678619,-0.00412650713357277,-0.000867345465775284,WV
9,"Beckley, WV",Agriculture,0.457444048791481,0.458137028513046,0.457297729542902,0.457391321575047,0.458118343370772,0.458675799299024,-0.000146319248579108,-0.000319862612631354,0.000692979721564902,0.0015148950421274,-5.27272164341786e-05,-0.00011526484293211,0.000674294579290746,0.00147404820561588,0.00123175050754265,0.00269268014481072,WV
10,"Charleston, WV",Agriculture,0.460942527436325,0.454421676980188,0.462115646592849,0.45691731049915,0.453459556859534,0.453247625152205,0.00117311915652474,0.00254504430964399,-0.0065208504561366,-0.0141467755045392,-0.00402521693717467,-0.00873257878712595,-0.00748297057679026,-0.01623406418672,-0.00769490228412017,-0.01669384321494,WV
11,"Cumberland, MD--WV--PA",Agriculture,0.932280122293799,0.933993741138792,0.931933346483987,0.933676094757439,0.934287453276326,0.931777718075269,-0.00034677580981235,-0.000371965251129817,0.00171361884499277,0.00183809437101003,0.00139597246363987,0.00149737448032807,0.0020073309825267,0.00215314145880084,-0.000502404218530428,-0.000538898348807763,WV
12,"Hagerstown, MD--WV--PA",Agriculture,0.775103185325279,0.763589851344401,0.778370589668304,0.771358574427963,0.760027545571663,0.75924463521576,0.00326740434302442,0.00421544434971354,-0.0115133339808782,-0.0148539371258634,-0.00374461089731581,-0.004831112770804,-0.0150756397536158,-0.0194498487930858,-0.0158585501095197,-0.0204599212205077,WV
13,"Huntington, WV--KY--OH",Agriculture,0.67878436180613,0.665956650642931,0.680368521015298,0.681262346894654,0.660988593284168,0.659824054960664,0.00158415920916855,0.00233381806992926,-0.0128277111631991,-0.0188980652545777,0.00247798508852437,0.00365062194705086,-0.0177957685219614,-0.0262171162497172,-0.018960306845466,-0.0279327396332701,WV
14,"Morgantown, WV",Agriculture,0.445015223778303,0.445000279350084,0.445017737135734,0.444821382599932,0.445202860360121,0.444811440436637,2.51335743112202e-06,5.64780101180116e-06,-1.49444282191991e-05,-3.35818359028635e-05,-0.00019384117837129,-0.000435583252018941,0.000187636581817641,0.000421640815396277,-0.000203783341666597,-0.000457924427700292,WV
15,"Parkersburg, WV--OH",Agriculture,0.665694441743887,0.665032112428853,0.665735015344259,0.663694962808928,0.665602005160579,0.663416377476992,4.05736003720181e-05,6.09492851791423e-05,-0.000662329315033627,-0.000994944937948642,-0.00199947893495867,-0.00300359866265479,-9.24365833082641e-05,-0.000138857375864687,-0.00227806426689459,-0.00342208695768415,WV
16,"Weirton--Steubenville, WV--OH--PA",Agriculture,0.745490821200146,0.743960608585283,0.745735592101125,0.742994283596653,0.744205336255829,0.748079651669615,0.000244770900978186,0.000328335230988003,-0.00153021261486297,-0.0020526243534421,-0.00249653760349355,-0.00334885089460182,-0.00128548494431702,-0.00172434711167543,0.0025888304694689,0.00347265237323942,WV
17,"Wheeling, WV--OH",Agriculture,0.697542313273889,0.697836529499191,0.697517523605911,0.700255746834981,0.697764719979761,0.693475269362533,-2.47896679770321e-05,-3.55385866997555e-05,0.000294216225302346,0.000421789789240818,0.00271343356109277,0.00388999134454994,0.000222406705872813,0.000318843318377283,-0.00406704391135582,-0.00583053362349776,WV
18,"Beckley, WV",Coal Elec. Util.,0.785131464247522,0.779985098401276,0.786218094000316,0.787549354991871,0.779496708439678,0.776010665751885,0.00108662975279372,0.00138400994263446,-0.00514636584624573,-0.00655478232703112,0.00241789074434906,0.00307959985614179,-0.00563475580784367,-0.00717683096963141,-0.00912079849563718,-0.0116169060991316,WV
19,"Charleston, WV",Coal Elec. Util.,1.18964042161234,1.1759340800139,1.19210623063574,1.18435156575071,1.17430812333617,1.17279469581295,0.00246580902340177,0.00207273473446692,-0.0137063415984327,-0.0115214155045743,-0.00528885586162286,-0.00444576005113781,-0.0153322982761632,-0.0128881786442521,-0.016845725799391,-0.0141603508870014,WV
20,"Cumberland, MD--WV--PA",Coal Elec. Util.,2.81086366203153,2.80090493658424,2.81287895562601,2.8002824318482,2.79905277993706,2.82333806830062,0.00201529359447639,0.000716965970885918,-0.00995872544729259,-0.00354294147447016,-0.0105812301833308,-0.00376440534141143,-0.0118108820944758,-0.00420186943038694,0.0124744062690905,0.00443792647704395,WV
21,"Hagerstown, MD--WV--PA",Coal Elec. Util.,2.43070748940643,2.4356694466877,2.42929932033936,2.43312531107418,2.43723253245566,2.4464867046755,-0.00140816906706931,-0.000579324774044769,0.00496195728126647,0.00204136339024411,0.00241782166774662,0.000994698736184436,0.00652504304922408,0.00268442133726978,0.0157792152690668,0.0064916142060845,WV
22,"Huntington, WV--KY--OH",Coal Elec. Util.,1.50360329024187,1.4652377631788,1.50834124405438,1.50241751034805,1.45155679439214,1.45085486378831,0.00473795381251829,0.00315106640379601,-0.0383655270630665,-0.0255157243350373,-0.00118577989381219,-0.000788625498166771,-0.0520464958497231,-0.0346145131415289,-0.0527484264535538,-0.0350813454558674,WV
23,"Morgantown, WV",Coal Elec. Util.,1.95109881623652,2.08871171432513,1.92795504686893,2.03217184895193,1.90377809830083,2.31225565579345,-0.0231437693675893,-0.0118619155395888,0.137612898088607,0.0705309730821574,0.0810730327154128,0.0415524995662674,-0.0473207179356869,-0.0242533681748442,0.361156839556925,0.18510433021202,WV
24,"Parkersburg, WV--OH",Coal Elec. Util.,1.99450513839952,1.99546460004146,1.99444636278391,1.99020685059622,2.0012585915255,1.97280919341112,-5.87756156167352e-05,-2.94687712180572e-05,0.000959461641936832,0.000481052479366759,-0.00429828780330799,-0.00215506479304291,0.00675345312597764,0.00338602944457536,-0.0216959449884029,-0.0108778586581194,WV
25,"Weirton--Steubenville, WV--OH--PA",Coal Elec. Util.,1.81099612358922,1.74099032458399,1.82219416386792,1.77217798705803,1.71977445238137,1.75351787648668,0.0111980402787055,0.006183359606818,-0.0700057990052292,-0.038655962921933,-0.0388181365311819,-0.0214346878083031,-0.0912216712078422,-0.0503709919748751,-0.0574782471025323,-0.0317384705322373,WV
26,"Wheeling, WV--OH",Coal Elec. Util.,1.55550239358164,1.55305202532227,1.55570885335628,1.57065419066576,1.54742361065073,1.53664042278424,0.000206459774641621,0.000132728676917195,-0.00245036825936684,-0.00157529057459354,0.0151517970841286,0.00974077387900428,-0.00807878293090281,-0.00519368080964565,-0.0188619707973947,-0.0121259670671184,WV
27,"Beckley, WV",Commercial Cooking,0.028822221807821,0.029866054631593,0.0286018216580568,0.0283048450288024,0.0301706026176386,0.0304648249818243,-0.000220400149764165,-0.00764688271548724,0.00104383282377203,0.0362162511527404,-0.000517376779018614,-0.0179506209642111,0.00134838080981761,0.0467826810441006,0.00164260317400337,0.0569908588226062,WV
28,"Charleston, WV",Commercial Cooking,0.0806442205937947,0.093194795298558,0.0783863372531796,0.0900596388485002,0.0957378988790054,0.0880519337775837,-0.00225788334061505,-0.0279980800110652,0.0125505747047633,0.155628941694169,0.00941541825470556,0.116752548234437,0.0150936782852108,0.187163793934319,0.00740771318378904,0.0918567149542151,WV
