,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,WV,Barbour,All Sectors,Ammonia,CAP,168.74642231323685,TON
1,WV,Barbour,All Sectors,Carbon Monoxide,CAP,13511.911416313886,TON
2,WV,Barbour,All Sectors,Nitrogen Oxides,CAP,2391.7774504770537,TON
3,WV,Barbour,All Sectors,PM10 Primary (Filt + Cond),CAP,732.9816509530748,TON
4,WV,Barbour,All Sectors,PM2.5 Primary (Filt + Cond),CAP,738.4115779432375,TON
5,WV,Barbour,All Sectors,Sulfur Dioxide,CAP,102.09488281868094,TON
6,WV,Barbour,All Sectors,Volatile Organic Compounds,CAP,3098.382814230304,TON
7,WV,Berkeley,All Sectors,Ammonia,CAP,168.74642231323685,TON
8,WV,Berkeley,All Sectors,Carbon Monoxide,CAP,13511.911416313886,TON
9,WV,Berkeley,All Sectors,Nitrogen Oxides,CAP,2391.7774504770537,TON
10,WV,Berkeley,All Sectors,PM10 Primary (Filt + Cond),CAP,732.9816509530748,TON
11,WV,Berkeley,All Sectors,PM2.5 Primary (Filt + Cond),CAP,738.4115779432375,TON
12,WV,Berkeley,All Sectors,Sulfur Dioxide,CAP,102.09488281868094,TON
13,WV,Berkeley,All Sectors,Volatile Organic Compounds,CAP,3098.382814230304,TON
14,WV,Berkeley,All Sectors,Carbon Dioxide,GHG,114810.08014640701,TON
15,WV,Berkeley,All Sectors,Methane,GHG,56.273903844427004,TON
16,WV,Berkeley,All Sectors,Nitrous Oxide,GHG,19.491432189,TON
17,WV,Boone,All Sectors,Ammonia,CAP,168.74642231323685,TON
18,WV,Boone,All Sectors,Carbon Monoxide,CAP,13511.911416313886,TON
19,WV,Boone,All Sectors,Nitrogen Oxides,CAP,2391.7774504770537,TON
20,WV,Boone,All Sectors,PM10 Primary (Filt + Cond),CAP,732.9816509530748,TON
21,WV,Boone,All Sectors,PM2.5 Primary (Filt + Cond),CAP,738.4115779432375,TON
22,WV,Boone,All Sectors,Sulfur Dioxide,CAP,102.09488281868094,TON
23,WV,Boone,All Sectors,Volatile Organic Compounds,CAP,3098.382814230304,TON
24,WV,Braxton,All Sectors,Ammonia,CAP,168.74642231323685,TON
25,WV,Braxton,All Sectors,Carbon Monoxide,CAP,13511.911416313886,TON
26,WV,Braxton,All Sectors,Nitrogen Oxides,CAP,2391.7774504770537,TON
27,WV,Braxton,All Sectors,PM10 Primary (Filt + Cond),CAP,732.9816509530748,TON
28,WV,Braxton,All Sectors,PM2.5 Primary (Filt + Cond),CAP,738.4115779432375,TON
29,WV,Braxton,All Sectors,Sulfur Dioxide,CAP,102.09488281868094,TON
30,WV,Braxton,All Sectors,Volatile Organic Compounds,CAP,3098.382814230304,TON
31,WV,Braxton,All Sectors,Carbon Dioxide,GHG,114810.08014640701,TON
32,WV,Braxton,All Sectors,Methane,GHG,56.273903844427004,TON
33,WV,Braxton,All Sectors,Nitrous Oxide,GHG,19.491432189,TON
34,WV,Brooke,All Sectors,Ammonia,CAP,168.74642231323685,TON
35,WV,Brooke,All Sectors,Carbon Monoxide,CAP,13511.911416313886,TON
