,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,WV,Barbour,2.65,2.59,2.63,2.65,2.64,2.69,2.71,2.62,2.56,2.57
1,Avg household size of renter-occupied unit,WV,Barbour,2.28,2.49,2.43,2.66,2.58,2.66,2.5,2.48,2.41,2.47
2,FIPS Code,WV,Barbour,54001,54001,54001,54001,54001,54001,54001,54001,54001,54001
3,House Heating Fuel: Electric,WV,Barbour,1305,1274,1413,1386,1566,1639,1656,1734,1802,1765
4,House Heating Fuel: Fuel Oil,WV,Barbour,439,414,203,185,159,133,101,97,73,43
5,House Heating Fuel: Gas,WV,Barbour,2623,2543,2558,2518,2548,2601,2785,2872,2854,2875
6,House Heating Fuel: Propane,WV,Barbour,984,1018,1021,1005,1057,891,812,781,878,747
7,House Heating Fuel: Wood,WV,Barbour,592,641,675,725,586,549,674,654,661,675
26,Median Number of Rooms,WV,Barbour,5.6,5.7,5.7,5.6,5.7,5.7,5.7,5.8,5.8,5.7
27,Number of Rooms: 1,WV,Barbour,122,139,186,205,145,143,138,122,70,96
28,Number of Rooms: 2,WV,Barbour,81,30,60,146,152,154,155,106,48,48
29,Number of Rooms: 3,WV,Barbour,421,384,396,341,471,525,568,554,619,517
30,Number of Rooms: 4,WV,Barbour,1062,1224,1099,1149,1189,1160,1028,1067,1127,1128
31,Number of Rooms: 5,WV,Barbour,1942,1753,1793,1850,1652,1620,1654,1533,1490,1759
32,Number of Rooms: 6,WV,Barbour,1801,1876,1700,1627,1699,1796,1806,1832,1779,1701
33,Number of Rooms: 7,WV,Barbour,1082,1106,1177,1067,1201,1073,1108,1152,1127,1065
34,Number of Rooms: 8,WV,Barbour,692,667,700,779,742,735,748,772,763,743
35,Number of Rooms: 9+,WV,Barbour,588,650,719,659,605,644,638,763,882,857
36,Owner-Occupied,WV,Barbour,12590,12247,12520,12465,12351,11864,11915,11797,11624,11695
37,Renter-Occupied,WV,Barbour,3372,3667,3489,3708,3877,4349,4432,4428,4537,4373
38,Total Housing Units,WV,Barbour,7791,7829,7830,7823,7856,7850,7843,7901,7905,7914
39,Total Population,WV,Barbour,16256,16373,16472,16655,16723,16731,16892,16790,16730,16633
40,Units in Structure: 1 ATTACHED,WV,Barbour,78,68,81,70,73,55,37,37,56,58
41,Units in Structure: 1 DETACHED,WV,Barbour,6040,5915,5843,5755,5695,5692,5858,5905,5946,5943
42,Units in Structure: 10-19,WV,Barbour,22,24,64,33,69,68,79,54,48,33
43,Units in Structure: 2,WV,Barbour,78,83,67,97,96,109,112,133,67,63
44,Units in Structure: 20-49,WV,Barbour,3,3,3,11,26,23,31,30,68,67
45,Units in Structure: 3-4,WV,Barbour,74,89,87,81,125,178,168,160,128,115
46,Units in Structure: 5-9,WV,Barbour,183,205,145,173,220,203,218,199,199,139
47,Units in Structure: 50+,WV,Barbour,149,156,148,117,139,125,116,128,102,67
48,"Units in Structure: Boat,RV,Van,Etc.",WV,Barbour,0,0,3,3,3,4,4,0,0,0
49,Units in Structure: Mobile Home,WV,Barbour,1164,1286,1389,1483,1410,1393,1220,1255,1291,1429
50,Year Built: 1940-1949,WV,Barbour,910,915,744,672,581,605,644,624,673,755
51,Year Built: 1950-1959,WV,Barbour,483,527,535,547,539,796,749,681,669,565
52,Year Built: 1960-1969,WV,Barbour,521,626,665,679,796,1686,1529,1548,1410,1403
53,Year Built: 1970-1979,WV,Barbour,1835,1834,1813,1931,1768,720,780,840,798,978
54,Year Built: 1980-1989,WV,Barbour,1092,1065,980,910,924,1044,989,800,1090,1173
55,Year Built: 1990-1999,WV,Barbour,922,955,1128,1014,891,688,654,797,890,947
56,Year Built: 2000-2009,WV,Barbour,174,227,445,610,642,69,114,91,76,79
57,Year Built: 2010-2013,WV,Barbour,93,207,47,59,51,0,0,42,43,47
58,Year Built: before 1940,WV,Barbour,1761,1473,1473,1401,1664,541,514,536,439,350
0,Avg household size of owner-occupied unit,WV,Berkeley,2.63,2.61,2.6,2.61,2.65,2.63,2.62,2.61,2.57,2.56
1,Avg household size of renter-occupied unit,WV,Berkeley,2.37,2.51,2.54,2.52,2.51,2.63,2.63,2.64,2.72,2.69
2,FIPS Code,WV,Berkeley,54003,54003,54003,54003,54003,54003,54003,54003,54003,54003
3,House Heating Fuel: Electric,WV,Berkeley,24775,25584,26832,27404,28031,28908,29815,30150,30682,31163
4,House Heating Fuel: Fuel Oil,WV,Berkeley,4852,4609,4272,3876,3437,3224,3082,3064,3215,3249
5,House Heating Fuel: Gas,WV,Berkeley,4292,4228,4262,4588,4493,4218,4359,4769,4675,4801
6,House Heating Fuel: Propane,WV,Berkeley,2323,2281,1955,1831,2126,1942,1922,1946,2131,2241
7,House Heating Fuel: Wood,WV,Berkeley,1924,1968,2044,2132,1868,2016,1884,1952,1974,2066
26,Median Number of Rooms,WV,Berkeley,5.7,5.8,5.8,5.9,5.9,5.9,5.9,5.9,6.0,6.0
27,Number of Rooms: 1,WV,Berkeley,391,435,663,494,633,674,639,456,423,263
28,Number of Rooms: 2,WV,Berkeley,425,338,303,237,232,411,456,627,691,793
29,Number of Rooms: 3,WV,Berkeley,2369,2450,2778,2620,2626,2371,2407,2090,2369,2347
