,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,WV,Barbour,5.6,5.7,5.7,5.6,5.7,5.7,5.7,5.8,5.8,5.7
27,Number of Rooms: 1,WV,Barbour,122,139,186,205,145,143,138,122,70,96
28,Number of Rooms: 2,WV,Barbour,81,30,60,146,152,154,155,106,48,48
29,Number of Rooms: 3,WV,Barbour,421,384,396,341,471,525,568,554,619,517
30,Number of Rooms: 4,WV,Barbour,1062,1224,1099,1149,1189,1160,1028,1067,1127,1128
31,Number of Rooms: 5,WV,Barbour,1942,1753,1793,1850,1652,1620,1654,1533,1490,1759
32,Number of Rooms: 6,WV,Barbour,1801,1876,1700,1627,1699,1796,1806,1832,1779,1701
33,Number of Rooms: 7,WV,Barbour,1082,1106,1177,1067,1201,1073,1108,1152,1127,1065
34,Number of Rooms: 8,WV,Barbour,692,667,700,779,742,735,748,772,763,743
35,Number of Rooms: 9+,WV,Barbour,588,650,719,659,605,644,638,763,882,857
26,Median Number of Rooms,WV,Berkeley,5.7,5.8,5.8,5.9,5.9,5.9,5.9,5.9,6.0,6.0
27,Number of Rooms: 1,WV,Berkeley,391,435,663,494,633,674,639,456,423,263
28,Number of Rooms: 2,WV,Berkeley,425,338,303,237,232,411,456,627,691,793
29,Number of Rooms: 3,WV,Berkeley,2369,2450,2778,2620,2626,2371,2407,2090,2369,2347
30,Number of Rooms: 4,WV,Berkeley,6543,6624,6105,6306,6189,5925,6024,6337,6235,6360
31,Number of Rooms: 5,WV,Berkeley,9823,9436,9338,9639,9188,9540,9857,9888,9863,9750
32,Number of Rooms: 6,WV,Berkeley,8745,9165,9458,9213,9850,9586,9224,9441,9542,9601
33,Number of Rooms: 7,WV,Berkeley,6221,6333,6427,6819,6759,6924,6839,6820,6945,7280
34,Number of Rooms: 8,WV,Berkeley,4001,4322,4384,4298,4626,4990,5173,5451,5696,5470
35,Number of Rooms: 9+,WV,Berkeley,4951,5147,5310,5439,5374,5451,5693,6103,6127,6714
26,Median Number of Rooms,WV,Boone,5.5,5.7,5.8,5.7,5.8,5.7,5.6,5.5,5.5,5.5
27,Number of Rooms: 1,WV,Boone,54,46,67,69,87,88,80,75,44,35
28,Number of Rooms: 2,WV,Boone,47,63,50,49,52,81,66,52,63,64
29,Number of Rooms: 3,WV,Boone,440,418,417,548,608,547,698,687,564,546
30,Number of Rooms: 4,WV,Boone,2272,2041,1820,1861,1791,1851,1927,2208,2212,2168
31,Number of Rooms: 5,WV,Boone,2767,2606,2495,2362,2306,2510,2486,2623,2719,2801
32,Number of Rooms: 6,WV,Boone,2547,2522,2712,2627,2672,2486,2309,2191,2313,2382
33,Number of Rooms: 7,WV,Boone,1721,1861,1742,1844,1860,1753,1728,1765,1531,1436
34,Number of Rooms: 8,WV,Boone,754,843,955,886,950,1010,987,902,1038,981
35,Number of Rooms: 9+,WV,Boone,625,746,867,807,744,740,738,652,667,786
26,Median Number of Rooms,WV,Braxton,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.6,5.6
27,Number of Rooms: 1,WV,Braxton,184,202,152,143,93,97,87,101,120,118
28,Number of Rooms: 2,WV,Braxton,111,86,76,106,93,82,99,98,36,28
29,Number of Rooms: 3,WV,Braxton,520,479,422,368,384,347,293,235,237,266
30,Number of Rooms: 4,WV,Braxton,1226,1364,1254,1333,1312,1376,1353,1460,1251,1313
31,Number of Rooms: 5,WV,Braxton,1783,1841,1966,1944,2025,2079,1955,1866,1900,1899
32,Number of Rooms: 6,WV,Braxton,1206,1065,1152,1133,1234,1321,1339,1236,1267,1327
33,Number of Rooms: 7,WV,Braxton,1152,1100,1141,950,889,838,997,1016,1156,1063
34,Number of Rooms: 8,WV,Braxton,821,770,686,722,682,616,560,754,669,679
35,Number of Rooms: 9+,WV,Braxton,454,530,577,688,690,633,691,668,797,733
26,Median Number of Rooms,WV,Brooke,5.7,5.7,5.7,5.7,5.8,5.8,5.7,5.8,5.7,5.8
27,Number of Rooms: 1,WV,Brooke,85,120,177,172,185,145,110,92,101,107
28,Number of Rooms: 2,WV,Brooke,275,191,88,82,158,233,292,299,277,228
29,Number of Rooms: 3,WV,Brooke,715,661,727,660,712,644,734,655,687,469
30,Number of Rooms: 4,WV,Brooke,1455,1414,1292,1268,1145,1103,1155,1079,1086,1111
31,Number of Rooms: 5,WV,Brooke,2561,2665,2683,2738,2421,2522,2559,2592,2687,2713
32,Number of Rooms: 6,WV,Brooke,2584,2555,2666,2609,2832,2704,2502,2606,2538,2551
33,Number of Rooms: 7,WV,Brooke,1455,1358,1212,1292,1448,1491,1562,1538,1369,1379
34,Number of Rooms: 8,WV,Brooke,939,992,1010,1008,860,910,864,932,1011,1149
35,Number of Rooms: 9+,WV,Brooke,943,1028,1112,1090,1166,1166,1128,1077,1082,1087
26,Median Number of Rooms,WV,Cabell,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.6,5.6,5.6
27,Number of Rooms: 1,WV,Cabell,572,517,708,703,921,995,1027,1008,981,1096
28,Number of Rooms: 2,WV,Cabell,985,1014,915,942,1065,1186,1100,1093,1060,935
29,Number of Rooms: 3,WV,Cabell,4049,4055,4015,3854,3893,4144,4008,3816,3708,3898
30,Number of Rooms: 4,WV,Cabell,7255,7429,7392,7442,7456,7446,7215,6988,6793,6897
31,Number of Rooms: 5,WV,Cabell,9581,9376,8863,8838,8713,8293,8406,9076,9801,9571
32,Number of Rooms: 6,WV,Cabell,8701,8515,8786,8705,8649,8696,8709,8343,8461,8496
33,Number of Rooms: 7,WV,Cabell,6633,6617,6741,6857,6527,6251,6398,6167,5866,5737
34,Number of Rooms: 8,WV,Cabell,4076,4142,4074,4068,4127,4042,4161,4199,4072,4209
35,Number of Rooms: 9+,WV,Cabell,4277,4474,4680,4741,4911,5323,5390,5717,5620,5540
26,Median Number of Rooms,WV,Calhoun,5.4,5.5,5.7,5.6,5.6,5.5,5.5,5.3,5.2,5.2
27,Number of Rooms: 1,WV,Calhoun,98,54,67,64,48,80,124,108,109,167
28,Number of Rooms: 2,WV,Calhoun,110,88,104,109,38,15,64,58,74,107
29,Number of Rooms: 3,WV,Calhoun,71,76,62,82,103,82,140,248,284,310
30,Number of Rooms: 4,WV,Calhoun,619,651,559,496,564,633,616,656,631,613
31,Number of Rooms: 5,WV,Calhoun,1186,1168,1053,1102,1118,1155,998,1119,1230,1140
