,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, West Virginia (Million cubic feet)",48284,47114,43002,39967,39707,36750,36222,35634,37690,37128,32600,32587,35291,35208,35201,35379,37390,35996,29664,31403,31602,31939,30793,32209,30331,29795,26085,26528,27517,26172,27021,25073,22538,26514,28257,24807,23210,22385,26256,23850,
"Natural gas consumed by (delivered to) the commercial sector, West Virginia (Million cubic feet)",21980,22191,20548,18771,18780,17224,15995,16792,22416,23258,21391,21043,24419,24381,24979,25872,28025,25913,24986,27301,26167,27737,24729,26681,25177,25084,23477,22633,25299,23761,24907,24094,22634,24252,24101,23026,22698,22421,25059,23599,
"Natural gas consumed by the industrial sector, West Virginia (Million cubic feet)",59499,63725,52965,47688,49652,45312,43675,50234,48758,57698,57624,48633,52275,54226,54861,60284,56551,64590,56700,50771,56823,48324,55098,47567,46308,40273,40928,42094,38483,36478,38181,42167,50307,58891,76999,84010,95394,109491,121610,131731,
"Natural gas consumed by the electric power sector, West Virginia (Million cubic feet)",62,198,131,115,116,122,298,239,73,124,139,171,569,367,536,729,319,569,515,499,516,2620,1885,2084,1406,2287,3664,3849,1889,1109,1480,2579,2361,2840,6711,13221,10167,10426,10725,16451,
"Total energy consumption per capita in the residential sector, West Virginia (Million Btu)",74.5,72,71.4,67.8,69.3,68.2,70.2,70.9,75.2,78.1,67.1,69.7,71.4,75.5,75,77.4,79.4,77.1,72.9,77.3,79.5,80.4,81.7,82.1,83.9,89.4,85.6,89.4,90.5,93.5,98.1,92.1,85.8,93.6,96.5,87.4,84.9,79,90.7,87,
"Electricity consumed by (i.e., sold to) the residential sector, West Virginia (Million kilowatthours)",6606,6705,6625,6754,6769,6712,6983,7250,7549,7634,7578,8106,8138,8682,8663,9166,9277,9027,9053,9452,9738,9828,10444,10473,10756,11384,11014,11749,11763,11588,12443,11746,11195,11582,11991,11437,11376,10573,11679,11153,
"Electricity consumed by (i.e., sold to) the residential sector per capita, West Virginia (Kilowatthours)",3385,3431,3398,3472,3511,3520,3710,3903,4125,4226,4227,4507,4505,4777,4759,5026,5089,4962,4986,5217,5389,5456,5785,5779,5921,6253,6026,6406,6392,6271,6710,6327,6027,6244,6479,6205,6208,5814,6467,6213,
"Distillate fuel oil consumed by the residential sector, West Virginia (Billion Btu)",6812,5195,5030,2875,3381,3008,3626,4217,3824,4172,3970,3623,3129,3528,3782,2887,3488,3512,3183,2799,3052,3026,2931,2830,2500,2220,2207,1909,1967,1349,1594,1389,1094,1513,1376,1671,1550,1152,1419,1590,
"Propane consumed by the residential sector, West Virginia (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3242,3049,2580,3919,2739,3034,2242,1961,2469,2892,
"Distillate fuel oil consumed by the commercial sector, West Virginia (Billion Btu)",1527,4138,1760,3100,3646,3924,4869,2998,2384,3204,3063,3486,2178,2713,2644,2076,1534,1838,2155,1849,2095,2362,1894,1354,1369,1341,954,935,790,1557,1286,2402,2181,2215,2513,2657,2389,2086,2471,2600,
"Electricity consumed by (i.e., sold to) the commercial sector, West Virginia (Million kilowatthours)",3658,4081,4219,4289,4316,4462,4617,4757,4914,5019,5085,5313,5323,5572,5631,5944,6030,6040,6297,6565,6872,6863,7117,7136,7217,7452,7377,7769,7716,7694,7962,7768,7763,7794,7876,7801,7826,7549,7774,7567,
"Total energy consumption per capita in the commercial sector, West Virginia (Million Btu)",36.4,40.5,39.4,40.4,40.6,40.2,41.4,42.2,47.1,50.6,46.1,46.4,47.4,48.5,48.8,50.6,52.2,51.3,52.9,56.2,58.6,57.9,56.7,57.6,57.6,59.2,57.7,59.4,59.8,60.3,61.3,60.1,59.2,60.5,61,61.5,61.2,59.1,63.5,62.3,
