State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WV,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,2636718,3776834,2199850,2817465,4386264,7186507,6896551,4379167,4624913,3852722,3332142,4296348,3899869,3838708,3527705,3969185,3002663,3399178
WV,Residential Total Volume (Mcf),35995914,29664167,31403078,31601625,31939202,30792534,32208724,30331010,29794721,26084750,26528367,27517318,26172312,27021232,25073424,22538013,26514401,28257013,24807130,23209774,22384778,26255581,23849685
WV,Residential Sales Volume (Mcf),35986746,29656060,31400958,31600222,31937434,30790813,32207222,30329912,29793815,26083988,26527412,27516257,26171122,27020180,25072639,22537578,26514005,28256832,24807001,23209680,22384662,26255542,23849586
WV,Residential Transported Volume (Mcf),9168,8107,2120,1403,1768,1721,1502,1098,906,762,955,1061,1190,1052,785,435,396,181,129,94,116,39,99
WV,Residential Sales Price (Dollars),7.21,7.86,7.53,7.72,8.94,9.2,9.41,11.0,12.59,13.98,13.71,13.94,14.16,11.23,11.42,10.78,9.91,10.52,10.75,9.54,9.61,10.09,10.43
WV,Residential Transported Price (Dollars),,,,,,,,,,,,5.24,3.86,4.43,4.31,4.1,4.01,4.05,3.31,3.55,3.37,11.92,4.16
WV,Residential Sales Revenue (Dollars),245013938,216240790,232852745,235813810,255836378,259913642,305887081,330752764,387464663,410472767,387043421,399367029,386139839,307626114,273522674,242807540,264640526,288431348,259978648,214818600,210986483,258386480,236047672
WV,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,4005,4545,5300,3604,1767,1585,698,427,334,391,465,412
WV,Residential Total Customers,362432,359783,362292,360471,363126,361171,359919,358027,374301,353292,347433,347368,343837,344131,342069,340256,340102,338652,337643,337115,335940,335316,333908
WV,Residential Sales Customers,362374,359743,362258,360440,363114,361161,359909,358020,374297,353288,347427,347362,343831,344125,342063,340251,340098,338649,337642,337114,335939,335315,333907
WV,Residential Transported Customers,58,40,34,31,12,10,10,7,4,4,6,6,6,6,6,5,4,3,1,1,1,1,1
WV,Commercial Total Volume (Mcf),25912524,14284495,27300908,26167004,27736787,24729180,26680889,25177271,25083673,23476977,22633143,25299201,23760779,24907255,24093841,22634431,24251732,24100737,23025626,22698253,22420924,25059013,23598819
WV,Commercial Sales Volume (Mcf),14133345,12360950,14143990,14804893,17730965,14205364,16060084,14373047,14593005,13147548,13273078,13540555,12733068,12711908,11866101,11070028,12837536,13662474,12503446,11735435,11614391,13846474,12539479
WV,Commercial Transported Volume (Mcf),11779179,1923545,13156918,11362111,10005822,10523816,10620805,10804224,10490668,10329429,9360065,11758646,11027711,12195347,12227740,11564403,11414196,10438263,10522180,10962818,10806533,11212539,11059340
WV,Commercial Sales Price (Dollars),6.63,6.77,6.46,6.94,8.12,7.94,8.41,9.8,11.34,12.69,12.47,12.46,12.55,9.81,9.77,9.28,8.77,9.51,9.28,7.82,7.77,8.36,8.67
WV,Commercial Transported Price (Dollars),,,,,,,,,,,,1.55,1.6,1.78,1.92,1.83,2.5,1.62,2.04,2.33,1.95,2.05,2.06
WV,Commercial Sales Revenue (Dollars),89651219,77424200,88154974,97372176,124864691,104862593,136214816,145567579,178374598,189103129,177487093,183280593,181288721,130519233,114460498,103501031,110482651,121854216,111875628,90904222,88860823,112265435,100584915
WV,Commercial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,11984030,11749248,14912163,15858784,15061891,16537779,15915196,15989637,17065894,16525764,17966243,18232756
WV,Commercial Total Customers,33970,33763,35483,41949,35607,35016,35160,34932,36635,34748,34161,34275,34044,34063,34041,34078,34283,34339,34460,34587,34795,34911,34958
WV,Commercial Sales Customers,32242,33565,34048,40331,35275,34591,34830,34556,36165,34283,33611,33689,33413,33258,33228,33257,33466,33574,33718,33827,34070,34187,34209
WV,Commercial Transported Customers,1728,198,1435,1618,332,425,330,376,470,465,550,586,631,805,813,821,817,765,742,760,725,724,749
WV,Industrial Total Volume (Mcf),54772677,47167957,44857418,47598110,39598335,45491762,41325165,41308056,33263306,32273763,35301814,29776734,24431982,26022678,25443030,26925624,26780154,27795948,25474020,32281394,38358134,37373789,36569684
WV,Industrial Sales Volume (Mcf),4419385,518325,4852832,6560122,6564786,5792398,5771335,5555381,5662048,5475947,5733376,5660878,4252236,3813146,3965191,4388686,4825664,4328540,3685423,3101133,1447418,1403188,1268060
WV,Industrial Transported Volume (Mcf),50353292,46649632,40004586,41037988,33033549,39699364,35553830,35752675,27601258,26797816,29568438,24115856,20179746,22209532,21477839,22536938,21954490,23467408,21788597,29180261,36910716,35970601,35301624
WV,Industrial Sales Price (Dollars),4.42,5.39,4.93,5.0,5.45,5.51,6.43,7.9,10.67,11.17,9.88,11.08,9.04,7.32,6.83,5.76,5.92,5.71,5.04,3.24,3.93,4.9,4.5
WV,Industrial Transported Price (Dollars),,,,,,,,,,,,0.45,0.64,0.61,0.64,0.45,0.93,0.78,0.78,0.76,1.25,1.22,1.18
WV,Industrial Sales Revenue (Dollars),13479436,2364224,14769899,27637547,31279698,24313945,38697921,42173340,59446623,49174659,48811051,61906498,23583962,20597674,19376731,15812093,20754867,21651425,11499721,7540342,4645058,4969060,3855338
WV,Industrial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,9006110,9452806,9379086,9223952,9513120,8915789,9482833,9046546,10971762,19324885,19047728,12678990
WV,Industrial Total Customers,159,215,147,207,213,184,142,137,145,155,114,109,101,102,94,97,95,92,90,93,92,91,89
WV,Industrial Sales Customers,66,48,76,125,122,95,69,73,79,62,35,36,34,32,32,37,38,36,29,26,26,26,26
WV,Industrial Transported Customers,93,167,71,82,91,89,73,64,66,93,79,73,67,70,62,60,57,56,61,67,66,65,63
WV,Electric Total Volume (Mcf),184064,220771,194825,156159,841917,617964,420860,21769,1663400,2303546,2082469,914262,336171,568063,4943330,2752663,3706812,10401883,22612316,14855921,16551823,17515534,25302594
WV,Electric Sales Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,Electric Transported Volume (Mcf),184064,220771,194825,156159,841917,617964,420860,21769,1663400,2303546,2082469,914262,336171,568063,4943330,2752663,3706812,10401883,22612316,14855921,16551823,17515534,25302594
WV,Electric Sales Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
WV,Electric Transported Price (Dollars),,,,,,,,,,,,0.18,0.15,0.15,0.14,0.17,0.14,0.89,3.28,3.26,0.07,0.06,0.04
WV,Electric Sales Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,Electric Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,194757,474,35527,600583,402052,450473,1912846,2990942,3324518,1282269,1048612,1003795
WV,Electric Total Customers,1,1,1,1,2,2,2,1,2,2,2,2,2,2,8,8,7,13,11,9,8,8,8
WV,Electric Sales Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,Electric Transported Customers,1,1,1,1,2,2,2,1,2,2,2,2,2,2,8,8,7,13,11,9,8,8,8
WV,Vehicle Fuel Total Volume (Mcf),5564,4747,4889,1089,596,0,0,0,0,0,0,0,0,0,0,0,329,14435,25510,15037,13199,8879,7352
WV,Vehicle Fuel Sales Volume (Mcf),5564,4747,4889,1089,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,Vehicle Fuel Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,14435,25510,15037,13199,8879,7352
WV,Vehicle Fuel Sales Price (Dollars),3.0,2.55,2.55,3.68,4.76,,,,,,,,,,,,,,,,,,
WV,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,1.22,1.01,1.46
WV,Vehicle Fuel Sales Revenue (Dollars),14966,12105,12468,4007,2839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16119,8951,10717
WV,Vehicle Fuel Total Customers,127,138,142,59,49,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
WV,Vehicle Fuel Sales Customers,127,138,142,59,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,Vehicle Fuel Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
