Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,WV,10806.127,28.083333333333332,3192,988.0,904.0,358.0,1127.0,1185.0,1104.0,1441.0,1697.0,1107.0,770.0,120.0
Statewide Total,,Cooperative,WV,33.75,16.0,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,6.0,0.0
Statewide Total,,Privately Owned,WV,6814.769,26.375,2097,858.0,480.0,244.0,773.0,759.0,525.0,885.0,1033.0,669.0,505.0,83.0
Statewide Total,,Investor Owned,WV,3957.6079999999997,36.666666666666664,1095,114.0,424.0,114.0,354.0,426.0,579.0,556.0,656.0,434.0,258.0,37.0
Statewide Total,,Municipal Owned,WV,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAZZLE GAS COMPANY,39780,Privately Owned,WV,8.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
CANAAN VALLEY GAS CO,31808,Privately Owned,WV,61.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,25.0,7.0,0.0
THOMPSON GAS INC,31807,Privately Owned,WV,18.649,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.12,3.051,1.478
"ENMARK ENERGY, INC",30666,Privately Owned,WV,2.12,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0
WELCH GAS COOP,22350,Cooperative,WV,33.75,16.0,0,15.84,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,6.91,0.0
UNION OIL & GAS INC,20120,Privately Owned,WV,252.0,28.0,22,0.0,0.0,0.0,10.0,10.0,16.0,53.0,86.0,61.0,16.0,0.0
STANDARD GAS CO,18600,Privately Owned,WV,14.0,49.0,10,0.0,0.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0
PEOPLES NATURAL GAS COMPANY LLC,15350,Investor Owned,WV,412.147,35.0,75,9.253,11.082,9.585,11.779,31.952,87.074,75.542,74.872,77.097,22.006,1.904
MOUNTAINEER GAS CO,12878,Privately Owned,WV,5951.0,43.0,1977,824.0,399.0,235.0,746.0,696.0,435.0,690.0,851.0,541.0,452.0,82.0
DOMINION ENERGY WEST VIRGINIA,7348,Investor Owned,WV,3244.533,46.0,982,105.216,411.227,95.076,337.478,384.125,470.75,406.639,495.088,302.152,210.144,26.638
CONSUMERS GAS UTILITY CO,2736,Privately Owned,WV,508.0,47.0,88,34.0,81.0,7.0,14.0,50.0,72.0,141.0,66.0,26.0,17.0,0.0
CARDINAL NATURAL GAS COMPANY,1560,Investor Owned,WV,300.928,29.0,38,0.0,2.145,10.0,5.076,10.145,21.984,74.38,86.292,55.731,26.42,8.815
