Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,WV,13205,10914,12616,11826,6123,5598,6000,5316,5329,6068,5645
,Statewide Total,Cooperative,WV,10,8,6,8,12,5,13,11,13,7,5
,Statewide Total,Privately Owned,WV,4201,3351,4125,3900,3786,2658,3880,3290,3409,3620,3701
,Statewide Total,Investor Owned,WV,8994,7555,8485,7918,2325,2935,2107,2015,1907,2441,1939
,Statewide Total,Municipal Owned,WV,0,0,0,0,0,0,0,0,0,0,0
39780,BAZZLE GAS COMPANY,Privately Owned,WV,0,0,0,0,0,0,0,0,0,0,0
31808,CANAAN VALLEY GAS CO,Privately Owned,WV,10,3,0,1,0,4,0,0,0,0,0
31807,THOMPSON GAS INC,Privately Owned,WV,2,0,0,0,0,1,0,0,0,0,0
30666,"ENMARK ENERGY, INC",Privately Owned,WV,0,0,0,0,0,0,0,0,0,0,0
22350,WELCH GAS COOP,Cooperative,WV,10,8,6,8,12,5,13,11,13,7,5
20120,UNION OIL & GAS INC,Privately Owned,WV,84,124,91,78,92,85,105,82,50,42,103
18600,STANDARD GAS CO,Privately Owned,WV,7,6,2,10,10,7,5,8,10,18,18
15350,PEOPLES NATURAL GAS COMPANY LLC,Investor Owned,WV,6733,5781,6205,5661,90,93,174,117,153,185,109
12878,MOUNTAINEER GAS CO,Privately Owned,WV,3709,2905,3651,3303,3317,2275,3399,2934,3152,3285,3304
7348,DOMINION ENERGY WEST VIRGINIA,Investor Owned,WV,2164,1716,2222,2208,2196,2777,1770,1791,1687,2158,1727
2736,CONSUMERS GAS UTILITY CO,Privately Owned,WV,389,313,381,508,367,286,371,266,197,275,276
1560,CARDINAL NATURAL GAS COMPANY,Investor Owned,WV,97,58,58,49,39,65,163,107,67,98,103
