,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,WI,2.56,2.57,2.56,2.56,2.54,2.54,2.55,2.53,2.51,2.51
1,Avg household size of renter-occupied unit,WI,2.15,2.19,2.19,2.22,2.22,2.2,2.17,2.15,2.14,2.1
2,House Heating Fuel: Electric,WI,320964,333466,343453,347831,346409,361243,379170,383680,369997,384000
3,House Heating Fuel: Fuel Oil,WI,81908,74110,68459,64775,57916,54122,47379,45798,44391,41457
4,House Heating Fuel: Gas,WI,1488259,1484849,1495819,1473766,1509961,1515108,1516856,1534863,1565341,1570313
5,House Heating Fuel: Propane,WI,250022,246414,245071,262243,254773,259440,257731,266776,276217,285657
6,House Heating Fuel: Wood,WI,106608,107814,106058,106043,102176,94188,87464,82968,79848,71833
25,Median Number of Rooms,WI,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6
26,Number of Rooms: 1,WI,43878,42950,44996,40059,41543,48347,52228,56428,55776,49113
27,Number of Rooms: 2,WI,57639,61960,64757,65387,60706,62060,65793,65121,63303,68871
28,Number of Rooms: 3,WI,222256,224087,224666,219251,219151,228386,230137,224848,222469,237475
29,Number of Rooms: 4,WI,444656,432865,428892,437684,439344,429225,436572,436205,436226,438811
30,Number of Rooms: 5,WI,545897,551791,545350,546742,549902,537225,538042,528692,539819,533441
31,Number of Rooms: 6,WI,461139,467248,471497,467054,469885,472321,462292,482778,479644,473121
32,Number of Rooms: 7,WI,329087,337389,333370,325285,337866,332450,325557,333654,339261,344521
33,Number of Rooms: 8,WI,234305,234713,238354,229950,226233,233177,236185,236737,246613,242542
34,Number of Rooms: 9+,WI,286620,281803,280743,302008,303712,313478,321637,330840,327607,337258
35,Owner-Occupied,WI,4005248,3962035,3937556,3929866,3896164,3927647,3948919,3964583,3998852,4031531
36,Renter-Occupied,WI,1535585,1598496,1640534,1665485,1712415,1695498,1683530,1685001,1669980,1647054
37,Total Housing Units,WI,2625477,2634806,2632625,2633420,2648342,2656669,2668443,2695303,2710718,2725153
38,Total Population,WI,5691047,5711767,5726398,5742713,5757564,5771337,5778709,5795483,5813568,5822434
39,Units in Structure: 1 ATTACHED,WI,115096,112301,115789,114275,113075,114770,115162,115633,111506,107864
40,Units in Structure: 1 DETACHED,WI,1739691,1757502,1753735,1752162,1761480,1767962,1768599,1789760,1804076,1805692
41,Units in Structure: 10-19,WI,83556,89750,87920,90314,91411,88962,90322,95580,93149,97095
42,Units in Structure: 2,WI,181915,171708,171550,171368,180632,177625,169394,169684,171108,180832
43,Units in Structure: 20-49,WI,100653,99944,97530,100477,95227,99501,105841,106225,103325,107289
44,Units in Structure: 3-4,WI,97020,100740,105340,97165,99269,98009,100324,103038,96568,98470
45,Units in Structure: 5-9,WI,125682,122246,130048,130355,129660,131638,129327,131333,136704,130731
46,Units in Structure: 50+,WI,83514,80095,74859,79645,85785,83364,93036,92220,100185,105666
47,"Units in Structure: Boat,RV,Van,Etc.",WI,444,260,631,458,331,694,693,899,801,947
48,Units in Structure: Mobile Home,WI,97906,100260,95223,97201,91472,94144,95745,90931,93296,90567
49,Year Built: 1940-1949,WI,153183,158809,158932,156238,151029,150629,148264,150347,143560,149534
50,Year Built: 1950-1959,WI,289954,293204,298723,309070,299067,288579,291754,291603,286913,291508
51,Year Built: 1960-1969,WI,259552,252256,252347,256642,258974,265603,261529,258072,260431,262780
52,Year Built: 1970-1979,WI,386054,392427,388834,390218,395365,397681,386234,392127,394740,396070
53,Year Built: 1980-1989,WI,258722,258707,253742,258590,264888,266691,268282,263431,264690,267098
54,Year Built: 1990-1999,WI,364456,361287,371061,366778,371296,367352,375356,366516,380039,381105
55,Year Built: 2000-2009,WI,217826,224481,345775,346368,345895,337605,342321,338870,329317,327325
56,Year Built: 2010-2013,WI,127988,137677,19178,29468,35144,50286,55774,52494,56445,50273
57,Year Built: 2014 or later,WI,,,,,,7233.0,25180.0,49382.0,65412.0,91329.0
58,Year Built: before 1940,WI,567742,555958,544033,520048,526684,525010,513749,532461,529171,508131
