,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Wisconsin, Annual (Dollars per Thousand Cubic Feet)",4.42,5.9,4.36,6.18,6.74,8.35,8.57,8.04,8.71,6.7,6.14,5.65,4.88,4.88,6.96,4.71,3.81,4.24,4.19,3.84
"Wisconsin Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",7.55,8.76,7.35,9.27,10.16,11.93,12.17,12.02,12.81,10.76,10.34,9.77,9.27,8.65,10.52,8.54,8.07,8.4,8.04,7.68
"Wisconsin Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",6.32,7.55,6.11,7.97,8.71,10.38,10.27,10.36,11.18,8.95,8.53,8.03,7.34,6.94,8.74,6.78,6.29,6.6,6.44,6.14
"Electricity price in the residential sector, Wisconsin (Dollars per million Btu)",22.08,23.14,23.97,25.42,26.58,28.33,30.8,31.84,33.74,34.98,37.07,38.17,38.66,39.7,40.05,41.37,41.24,42.04,41.09,41.55
"Electricity price in the commercial sector, Wisconsin (Dollars per million Btu)",17.82,18.75,19.35,20.42,21.23,22.48,24.54,25.54,27.18,28.04,29.26,30.55,30.8,31.49,31.56,31.93,31.57,31.87,31.28,31.43
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),2.9770377816806377,4.085803022065065,3.0675177682248984,4.447903994868043,4.980344138343771,6.377705131565051,6.756627381646216,6.520736154083855,7.333621510406685,5.623190418262254,5.237515851564425,4.970858742123113,4.382423362917706,4.446674828771812,6.44442427822087,4.366384982769614,3.5767976515041875,4.06557576089465,4.115411827750897,3.84
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),5.085211595404709,6.066378724286435,5.171159540470872,6.671855992302065,7.50746238064877,9.112098469409707,9.594883924694802,9.748662757722382,10.785728076729004,9.030675955298785,8.820181417781132,8.595626532839434,8.324808314394904,7.881913374769708,9.740710259609706,7.916969798907112,7.5760517185403655,8.054442545168646,7.896876156352556,7.68
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),4.256759905027518,5.228442850269701,4.298746230241773,5.7362127571356485,6.4360233597884635,7.928213085706016,8.096915193641381,8.402341611481187,9.413305222313056,7.511575260215995,7.276223161863932,7.064777999867007,6.591595795863926,6.323754776982864,8.092567268915289,6.285369465642884,5.905001897102713,6.328490571203936,6.325358513297322,6.14
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),14.871718149210063,16.024657954336543,16.864312134025415,18.295423875331018,19.640585637563415,21.638369626016512,24.282861534971232,25.823412829108207,28.4083111091988,29.35808967624084,31.621288699917468,33.58188994457331,34.71813262508166,36.174793176688716,37.083217290624404,38.35187828814839,38.71578350342065,40.31056721415356,40.35853747071226,41.55
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),12.002446441074426,12.984543502325417,13.61386899430087,14.696796047767874,15.687345112320214,17.170157048812257,19.347448768447855,20.71388076807235,22.884940603083084,23.533471541503523,24.9592367779764,26.877829127763025,27.659557290546175,28.693809499595154,29.222130778829115,29.600567409731163,29.63766452965543,30.55893856125295,30.72316992172985,31.43
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
