State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WI,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,103247,228891,307719,24955,8206,20406,0,1337,1103901,1277621,1185990,1972139,2411459,2030870,1981550,1962158,2107650,2194670
WI,Residential Total Volume (Mcf),135819291,115946367,127607221,135094826,125276724,137234381,142067129,135169211,131215457,120567430,131160027,140575647,133175582,123617821,129445248,112554257,142985254,150409089,126853500,125448721,131018306,144520820,151590900
WI,Residential Sales Volume (Mcf),135711559,115810992,127454955,134912942,125146395,137234381,142067129,135169211,131215457,120567430,131160027,140575647,133175582,123617821,129445248,112554257,142985254,150409089,126853500,125448721,131018306,144520820,151590900
WI,Residential Transported Volume (Mcf),107732,135375,152266,181884,130329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,Residential Sales Price (Dollars),6.34,6.03,5.99,7.6,9.17,7.44,9.38,10.32,12.12,12.35,11.98,12.52,10.44,10.23,9.74,9.3,8.98,10.49,8.85,8.29,8.62,8.4,8.08
WI,Residential Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
WI,Residential Sales Revenue (Dollars),873270107,711984490,786301982,1019066268,1096703919,1008761098,1317002513,1373291114,1564765151,1467768525,1577030986,1800263255,1432357034,1278679349,1264756353,1043648558,1236299147,1581945580,1082837984,1012413183,1100228915,1161363877,1164352731
WI,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,Residential Total Customers,1361348,1390068,1426909,1458959,1484536,1514700,1541455,1569719,1592621,1611772,1632200,1646644,1656614,1663583,1671834,1681001,1692891,1705907,1721640,1738858,1757817,1775242,1793147
WI,Residential Sales Customers,1360489,1388630,1425334,1457091,1483174,1514700,1541455,1569719,1592621,1611772,1632200,1646644,1656614,1663583,1671834,1681001,1692891,1705907,1721640,1738858,1757817,1775242,1793147
WI,Residential Transported Customers,859,1438,1575,1868,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,Commercial Total Volume (Mcf),88728555,81315768,81689281,81139052,76095187,85810527,87131176,82186839,86086451,86341975,89016221,97136960,91459219,82204015,87039599,76949256,99433646,107003104,90174903,88678672,90469589,100025655,101576448
WI,Commercial Sales Volume (Mcf),72821742,60144027,64566047,63396730,58707365,65157448,68953063,65476764,67987992,65662524,67186371,74620411,70273525,62610455,66463865,57216253,77300855,82348731,64900724,62900153,65087882,73063241,74616755
WI,Commercial Transported Volume (Mcf),15906813,21171741,17123234,17742322,17387822,20653079,18178113,16710075,18098459,20679451,21829850,22516549,21185694,19593560,20575734,19733003,22132791,24654373,25274179,25778519,25381707,26962414,26959693
WI,Commercial Sales Price (Dollars),5.2,4.78,4.81,6.52,7.88,6.34,8.09,8.93,10.67,10.57,10.38,10.94,8.61,8.66,7.93,7.2,7.14,8.87,7.01,6.43,6.77,6.7,6.42
WI,Commercial Transported Price (Dollars),,,,,,,,,,,,0.91,0.98,1.1,1.08,1.12,1.07,0.95,1.0,1.05,1.04,0.95,1.02
WI,Commercial Sales Revenue (Dollars),389549819,283119654,312866552,400742864,443082270,397917396,549771453,570532479,705668347,674647673,695957836,834405341,628986948,534206887,533681419,420240638,536631951,719395528,440147656,395670589,429817131,470732067,458197058
WI,Commercial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,14788116,15339061,15519415,15837640,15072889,16547543,17832884,18607698,18827453,18864472,18914235,19397906
WI,Commercial Total Customers,131238,134651,135829,140370,144050,149774,150128,151907,155109,159074,160614,163026,163843,164173,165002,165657,166845,167901,169271,170798,169596,170770,172012
WI,Commercial Sales Customers,130344,133648,134441,138339,141785,148840,149145,150931,153956,157822,159467,161876,162717,163060,163905,164575,165718,166750,168097,169595,168381,169532,170746
WI,Commercial Transported Customers,894,1003,1388,2031,2265,934,983,976,1153,1252,1147,1150,1126,1113,1097,1082,1127,1151,1174,1203,1215,1238,1266
WI,Industrial Total Volume (Mcf),155677152,141979961,145703464,151922776,132982161,137705555,137604864,141083912,130570379,118396114,121111401,127818159,119711301,121407668,126856394,124338399,136033917,141660999,136708982,144800865,154920240,164612721,162621640
WI,Industrial Sales Volume (Mcf),42147958,31174755,29467483,33649102,25861925,29499514,27844300,26516804,23677411,21638889,22440208,23388704,21640876,21123875,22588573,21891419,25516017,27815750,22988437,23035226,25049841,29071268,26814999
WI,Industrial Transported Volume (Mcf),113529194,110805206,116235981,118273674,107120236,108206041,109760564,114567108,106892968,96757225,98671193,104429455,98070425,100283793,104267821,102446980,110517900,113845249,113720545,121765639,129870399,135541453,135806641
WI,Industrial Sales Price (Dollars),4.22,3.97,4.23,5.62,7.35,5.39,7.11,7.94,9.7,9.28,9.15,10.27,7.31,6.71,6.77,5.69,6.03,7.69,5.57,5.09,5.38,5.39,5.01
WI,Industrial Transported Price (Dollars),,,,,,,,,,,,0.56,0.59,0.64,0.66,0.67,0.68,0.7,0.73,0.74,0.77,0.64,0.76
WI,Industrial Sales Revenue (Dollars),174200347,117990835,119964674,184216006,193312247,154374450,201333774,209905603,234680389,204706114,215814148,247167506,169143173,159633487,159176251,127223033,153674150,224722277,129848828,116333616,133840952,151133214,135688872
WI,Industrial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,55423190,49585618,54314155,52699364,53121713,55132460,58216469,60033950,66189606,71262937,70681197,74566985
WI,Industrial Total Customers,8346,9158,9756,9630,9864,9648,10138,10190,8484,5707,5999,5969,6396,6413,6376,6581,6677,7000,7280,7286,7367,7579,7895
WI,Industrial Sales Customers,7324,7912,8241,8000,8335,8105,8712,8727,7200,4519,4856,4770,5174,5191,5123,5167,5145,5374,5519,5420,5468,5581,5691
WI,Industrial Transported Customers,1022,1246,1515,1630,1529,1543,1426,1463,1284,1188,1143,1199,1222,1222,1253,1414,1532,1626,1761,1866,1899,1998,2204
