Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,WI,3436,3054,2404,2008,2434,2479,2503,2418,2645,2763,2443
,Statewide Total,Cooperative,WI,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Privately Owned,WI,39,48,28,23,24,46,37,46,49,38,34
,Statewide Total,Investor Owned,WI,3397,3006,2376,1983,2408,2406,2447,2355,2581,2696,2385
,Statewide Total,Municipal Owned,WI,0,0,0,2,2,27,19,17,15,29,24
31298,"SUBURBAN PROPANE, L.P.",Investor Owned,WI,0,0,0,0,0,0,0,0,0,0,0
30660,FLORENCE UTILITY COMMISSION,Municipal Owned,WI,0,0,0,2,2,27,19,17,15,29,24
22791,WISCONSIN PUBLIC SERVICE CORP,Investor Owned,WI,1707,1402,702,695,861,782,697,715,682,613,493
22784,ALLIANT ENERGY - WISCONSIN POWER & LIGHT CO,Investor Owned,WI,247,196,193,175,152,132,174,168,166,185,191
22777,WISCONSIN ELECTRIC POWER COMPANY DBA WE ENERGIES,Investor Owned,WI,273,303,461,313,481,455,471,448,535,674,619
22763,WISCONSIN GAS LLC DBA WE ENERGIES,Investor Owned,WI,925,818,767,583,656,779,841,778,858,960,862
18752,SUPERIOR WATER LIGHT & POWER CO,Investor Owned,WI,0,71,51,30,31,31,43,37,50,32,37
18048,ST CROIX VALLEY NATURAL GAS CO INC,Privately Owned,WI,6,16,12,4,7,11,4,9,10,2,7
13783,NORTHERN STATES POWER CO OF WISCONSIN,Investor Owned,WI,164,139,126,119,145,131,133,121,166,124,105
13772,FERRELLGAS,Privately Owned,WI,0,0,0,0,0,0,0,0,0,0,0
12492,MIDWEST NATURAL GAS INC,Privately Owned,WI,33,32,16,19,17,35,33,37,39,36,27
12018,MADISON GAS & ELECTRIC CO,Investor Owned,WI,78,75,73,64,71,90,82,87,119,102,69
2428,CITY GAS CO,Investor Owned,WI,3,2,3,4,11,6,6,1,5,6,9
