,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,WY,Albany,4.9,5.0,4.9,5.1,5.1,5.1,5.0,5.1,5.0,5.0
27,Number of Rooms: 1,WY,Albany,511,516,421,473,596,637,809,791,704,673
28,Number of Rooms: 2,WY,Albany,756,722,768,808,765,815,759,670,614,532
29,Number of Rooms: 3,WY,Albany,2029,1996,2091,2126,2217,2292,2445,2422,2457,2166
30,Number of Rooms: 4,WY,Albany,4294,4163,4220,3778,3632,3194,3379,3519,4002,4291
31,Number of Rooms: 5,WY,Albany,3315,3087,3407,3401,3534,3900,3729,3659,3701,3832
32,Number of Rooms: 6,WY,Albany,1751,1915,1791,2060,2165,2070,2082,2228,2018,2045
33,Number of Rooms: 7,WY,Albany,1522,1736,1613,1708,1697,1651,1570,1621,1532,1590
34,Number of Rooms: 8,WY,Albany,1543,1546,1490,1472,1430,1489,1449,1575,1540,1435
35,Number of Rooms: 9+,WY,Albany,1887,2128,2203,2340,2337,2489,2473,2563,2594,2702
26,Median Number of Rooms,WY,Big Horn,5.9,5.8,5.7,5.8,5.7,5.6,5.6,5.5,5.5,5.8
27,Number of Rooms: 1,WY,Big Horn,23,48,57,48,80,99,107,108,106,73
28,Number of Rooms: 2,WY,Big Horn,7,16,29,26,63,82,79,78,99,79
29,Number of Rooms: 3,WY,Big Horn,204,265,275,275,314,400,345,401,406,364
30,Number of Rooms: 4,WY,Big Horn,924,822,875,887,990,920,897,977,919,859
31,Number of Rooms: 5,WY,Big Horn,1124,1220,1235,1187,1102,1137,1196,1152,1197,1077
32,Number of Rooms: 6,WY,Big Horn,1031,938,920,876,825,808,851,798,788,934
33,Number of Rooms: 7,WY,Big Horn,840,791,750,703,680,648,637,664,635,733
34,Number of Rooms: 8,WY,Big Horn,518,561,503,596,609,578,610,634,572,570
35,Number of Rooms: 9+,WY,Big Horn,655,699,720,774,712,701,654,642,739,785
26,Median Number of Rooms,WY,Campbell,5.7,5.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,6.0
27,Number of Rooms: 1,WY,Campbell,94,155,201,258,206,232,198,133,77,75
28,Number of Rooms: 2,WY,Campbell,204,205,212,224,348,300,306,276,237,152
29,Number of Rooms: 3,WY,Campbell,1250,1119,984,979,1058,880,923,901,1010,769
30,Number of Rooms: 4,WY,Campbell,2771,2865,2794,3115,3004,2851,2738,2831,2608,2665
31,Number of Rooms: 5,WY,Campbell,3815,3798,3874,3715,3658,3789,3849,4220,4599,4629
32,Number of Rooms: 6,WY,Campbell,3112,3538,3379,3498,4005,4117,4276,4392,4173,3841
33,Number of Rooms: 7,WY,Campbell,2277,2279,2579,2391,2636,2814,2798,2631,2888,3099
34,Number of Rooms: 8,WY,Campbell,1614,1912,2013,2031,1808,1882,1891,1994,1971,2223
35,Number of Rooms: 9+,WY,Campbell,2378,2467,2783,2885,2663,2660,2647,2656,2595,2811
26,Median Number of Rooms,WY,Carbon,5.4,5.4,5.3,5.4,5.4,5.3,5.4,5.5,5.5,5.6
27,Number of Rooms: 1,WY,Carbon,226,191,178,163,228,305,296,371,341,286
28,Number of Rooms: 2,WY,Carbon,86,79,133,123,183,239,250,252,250,269
29,Number of Rooms: 3,WY,Carbon,532,578,693,682,745,684,598,507,533,514
30,Number of Rooms: 4,WY,Carbon,1613,1638,1614,1454,1364,1432,1255,1250,1339,1259
31,Number of Rooms: 5,WY,Carbon,2058,1938,2001,2104,2015,2037,2089,2073,1875,1862
32,Number of Rooms: 6,WY,Carbon,1394,1352,1302,1414,1551,1534,1697,1747,1681,1590
33,Number of Rooms: 7,WY,Carbon,1060,1219,1156,1059,917,820,840,901,1052,1208
34,Number of Rooms: 8,WY,Carbon,698,604,568,585,575,599,592,674,686,839
35,Number of Rooms: 9+,WY,Carbon,865,947,935,973,982,909,954,959,998,976
26,Median Number of Rooms,WY,Converse,5.8,5.7,5.8,5.8,5.7,5.8,5.8,5.9,5.9,5.9
27,Number of Rooms: 1,WY,Converse,72,72,105,109,108,141,142,142,92,102
28,Number of Rooms: 2,WY,Converse,114,109,82,105,114,128,78,144,119,117
29,Number of Rooms: 3,WY,Converse,276,352,363,376,400,380,358,338,458,510
30,Number of Rooms: 4,WY,Converse,1075,1012,804,772,839,817,987,1079,1063,934
31,Number of Rooms: 5,WY,Converse,1270,1390,1494,1543,1484,1448,1303,1173,1215,1294
32,Number of Rooms: 6,WY,Converse,1085,1102,1166,1150,1135,1114,1119,1109,1031,931
33,Number of Rooms: 7,WY,Converse,965,833,812,845,885,869,899,945,1005,1000
34,Number of Rooms: 8,WY,Converse,738,696,637,578,483,563,694,771,813,922
35,Number of Rooms: 9+,WY,Converse,650,760,903,927,1001,1018,926,922,858,868
26,Median Number of Rooms,WY,Crook,5.4,5.4,5.5,5.6,5.6,5.7,5.7,5.7,5.8,5.8
27,Number of Rooms: 1,WY,Crook,5,10,11,35,51,53,40,39,15,11
28,Number of Rooms: 2,WY,Crook,40,42,48,43,32,20,27,34,41,36
29,Number of Rooms: 3,WY,Crook,214,191,173,148,137,160,212,274,299,305
30,Number of Rooms: 4,WY,Crook,585,612,571,604,591,564,553,591,523,539
31,Number of Rooms: 5,WY,Crook,1013,1080,985,897,945,871,833,734,754,740
32,Number of Rooms: 6,WY,Crook,596,590,642,682,609,706,702,711,632,578
33,Number of Rooms: 7,WY,Crook,434,404,413,428,436,404,454,500,571,645
34,Number of Rooms: 8,WY,Crook,262,285,309,326,335,365,307,328,318,276
35,Number of Rooms: 9+,WY,Crook,356,349,422,411,454,444,445,426,497,526
26,Median Number of Rooms,WY,Fremont,5.4,5.4,5.4,5.5,5.4,5.4,5.4,5.4,5.4,5.4
27,Number of Rooms: 1,WY,Fremont,218,242,270,304,324,338,408,486,410,447
28,Number of Rooms: 2,WY,Fremont,370,530,569,470,479,413,363,352,380,357
29,Number of Rooms: 3,WY,Fremont,1505,1317,1168,1146,1303,1340,1388,1478,1433,1307
30,Number of Rooms: 4,WY,Fremont,2712,2903,2971,3031,2965,2968,2984,3122,3128,3326
31,Number of Rooms: 5,WY,Fremont,4395,4291,4189,3984,4149,4139,3983,3823,4018,3921
32,Number of Rooms: 6,WY,Fremont,3140,3092,3215,3232,2976,3100,3154,3226,3182,3200
33,Number of Rooms: 7,WY,Fremont,2035,2019,1988,1984,1785,1744,1761,1837,1950,2145
34,Number of Rooms: 8,WY,Fremont,1497,1553,1386,1566,1638,1495,1476,1513,1532,1634
35,Number of Rooms: 9+,WY,Fremont,1622,1719,1954,1981,2112,2186,2186,2113,1950,1673
26,Median Number of Rooms,WY,Goshen,5.8,6.0,6.1,6.0,5.8,5.9,5.8,5.8,5.9,6.1
27,Number of Rooms: 1,WY,Goshen,35,16,16,0,0,0,35,45,46,53
28,Number of Rooms: 2,WY,Goshen,42,43,61,65,67,60,55,40,35,34
