,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,WY,10150,9495,11647,9514,11480,12709,12160,11780,12357,15253
40,Units in Structure: 1 DETACHED,WY,173956,178546,174371,177225,175667,174445,179295,184224,183007,183348
41,Units in Structure: 10-19,WY,6536,5649,6998,6264,7311,8159,6295,6765,7769,6338
42,Units in Structure: 2,WY,7507,6292,7378,5155,6239,3964,5930,6724,7304,5456
43,Units in Structure: 20-49,WY,5720,5549,5715,6369,7969,6031,5900,5772,7161,7102
44,Units in Structure: 3-4,WY,11215,11486,12904,12687,11853,12217,14222,11115,12632,11948
45,Units in Structure: 5-9,WY,9415,9090,9812,9221,8551,11388,7684,10050,8817,11271
46,Units in Structure: 50+,WY,2462,2752,2344,2310,2620,2758,2777,1401,3271,2757
47,"Units in Structure: Boat,RV,Van,Etc.",WY,166,358,580,308,529,577,123,228,406,384
48,Units in Structure: Mobile Home,WY,35159,36337,33458,36418,35986,37221,36239,38674,35891,36424
