,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Wyoming (Million cubic feet)",17984,19463,22242,13868,12064,12128,11703,11158,13894,14407,9751,8904,15165,13930,13806,14363,12738,10616,11650,11780,11485,11992,10895,12661,11564,12152,13534,12999,12702,12106,12177,10977,13330,12144,12091,11660,11673,12375,13293,12656,12915,13283,11502,13640,13269,11576,11999,12553,13142,14057,
"Natural gas consumed by (delivered to) the commercial sector, Wyoming (Million cubic feet)",14026,14072,17287,13206,13241,10253,9152,8767,8100,8211,4980,4511,10098,9182,9431,9139,8045,8443,8700,8551,8440,9101,8009,10268,9231,9833,9721,10754,10414,9838,9752,9535,10414,9986,9916,9184,9500,9442,10180,10372,11153,11680,10482,12013,12188,12937,13425,13972,13787,12996,
"Natural gas consumed by the industrial sector, Wyoming (Million cubic feet)",69704,72614,79454,72423,62242,59035,58811,56628,57591,62566,48173,49232,58760,52340,56912,53570,49026,56513,56170,56578,67137,68316,96645,74858,79181,68323,69914,66632,74260,60873,63442,62159,72251,76419,71962,72722,72607,102415,101033,99226,104622,113158,114173,108326,95120,80567,83832,107951,121349,111648,
"Natural gas consumed by the electric power sector, Wyoming (Million cubic feet)",2373,1161,773,373,660,504,560,754,713,486,222,108,133,136,86,132,138,90,183,85,69,76,83,87,129,128,87,95,271,167,1843,2727,3764,2484,532,576,827,2024,1088,1079,592,418,496,535,831,1233,1514,1307,1873,3271,
"Residential carbon dioxide emissions, natural gas, Wyoming (million metric tons CO2)",,,,,,,,,,,0.548765,0.50043,0.806408,0.782692,0.771338,0.800943,0.709686,0.595402,0.650899,0.659388,0.669681,0.674456,0.611584,0.709421,0.647928,0.685386,0.761894,0.737328,0.71913,0.675093,0.676048,0.614821,0.73839,0.674244,0.670689,0.64501,0.644957,0.68077,0.72746,0.692549,0.706556,0.728786,0.631109,0.754307,0.732341,0.651164,0.683953,0.706025,0.741997,,
"Commercial carbon dioxide emissions, natural gas, Wyoming (million metric tons CO2)",,,,,,,,,,,0.280245,0.253558,0.536987,0.515923,0.526906,0.509609,0.448223,0.473531,0.486105,0.478677,0.492154,0.511838,0.449549,0.575293,0.517196,0.554601,0.547226,0.609992,0.589566,0.548606,0.54139,0.534068,0.576885,0.554389,0.550038,0.508071,0.52489,0.519425,0.557095,0.567547,0.610205,0.640871,0.575134,0.664323,0.672652,0.727725,0.765236,0.785875,0.778447,,
"Industrial carbon dioxide emissions, natural gas, Wyoming (million metric tons CO2)",,,,,,,,,,,2.711036,2.767011,3.12456,2.940931,3.179633,2.987196,2.731357,3.169446,3.138302,3.167005,3.914892,3.842152,5.42515,4.194183,4.436439,3.853453,3.935744,3.779332,4.20421,3.394459,3.522008,3.481578,4.002117,4.242729,3.991771,4.022863,4.011721,5.634087,5.528876,5.429607,5.723859,6.208744,6.264772,5.990363,5.249745,4.531941,4.778443,6.071752,6.792421,,
"Natural Gas Citygate Price in Wyoming, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.05,3.7,3.41,3.03,3.15,2.99,3,3.04,2.9,2.8,2.91,2.72,2.36,3.11,2.73,3.59,5.07,6.39,2.87,2.52,6.21,8.04,7.2,5.9,7.02,4.89,5.04,4.65,4.03,4.51,5.27,4.36,3.53,3.92,3.74,3.48,
"Wyoming Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.68,0.71,0.74,0.77,0.85,1.02,1.18,1.59,1.91,2.51,2.81,3.51,4.53,5.13,5.84,5.17,4.93,4.7,4.48,4.71,4.84,4.74,4.72,4.77,5.1,4.83,4.26,4.58,5.19,5.11,6.11,8.45,6.08,7.14,8.65,10.53,11.6,8.84,10.16,9.39,8.58,8.72,8.42,8.27,9.34,9.33,8.51,9.01,8.6,8.06,
"Wyoming Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.44,0.48,0.5,0.53,0.59,0.67,0.78,1.2,1.65,2.37,2.65,3.27,4.63,5.37,5.36,5.08,4.65,4.47,4.11,4.33,4.47,4.31,4.26,4.23,4.45,4.23,3.67,3.93,4.45,4.38,5.27,8.27,4.73,5.84,7.24,9.19,10.3,7.89,8.87,8.01,7.13,7.29,6.72,6.81,7.69,7.43,6.54,6.92,6.61,6.3,
