,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,WY,5644.995000000001,22.88888888888889,368,65.0,49.0,13.0,84.0,188.0,454.0,1821.0,669.0,1036.0,1192.0,67.0
1,Statewide Total,,Cooperative,WY,267.06,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,98.0,97.0,6.0
2,Statewide Total,,Privately Owned,WY,421.39,19.0,27,0.0,0.0,0.0,0.0,23.0,24.0,49.0,111.0,119.0,87.0,5.0
3,Statewide Total,,Investor Owned,WY,4924.515,26.8,341,65.0,49.0,13.0,84.0,165.0,430.0,1772.0,472.0,813.0,1001.0,54.0
4,Statewide Total,,Municipal Owned,WY,32.03,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,5.0,0.0
5,"FALL RIVER ENTERPRISES, INC.",39628,Investor Owned,WY,13.02,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02,0.0,0.0
6,"LOWER VALLEY ENERGY, INC.",31044,Cooperative,WY,267.06,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,98.82,97.26,6.97
7,"WALDEN, TOWN OF",30839,Municipal Owned,WY,32.03,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.12,5.88,0.03
8,WYOMING GAS CO,22917,Privately Owned,WY,308.5,26.0,27,0.0,0.0,0.0,0.0,23.5,24.0,49.0,99.0,71.0,42.0,0.0
9,BLACK HILLS ENERGY,15359,Investor Owned,WY,3531.99,27.0,189,0.0,49.122,11.492,66.645,79.871,131.847,1495.077,302.633,563.297,781.76,50.246
10,DOMINION ENERGY UTAH/WYOMING/IDAHO,12876,Investor Owned,WY,652.625,29.0,54,0.0,0.12,0.265,2.604,25.439,171.879,147.935,92.778,88.386,121.16,2.059
11,MONTANA - DAKOTA UTILITIES CO,12684,Investor Owned,WY,671.88,29.0,93,65.53,0.0,2.11,15.57,56.72,112.65,114.77,61.52,145.85,95.03,2.12
12,FRANNIE - DEAVER UTILITIES,5580,Investor Owned,WY,55.0,33.0,5,0.0,0.0,0.0,0.0,3.0,14.0,15.0,16.0,3.0,4.0,0.0
13,"PINEDALE NATURAL GAS, INC",967,Privately Owned,WY,112.89,12.0,0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,12.9,48.44,45.48,5.71
