,State,Year,Total Housing Units,House Heating Fuel: Gas,House Heating Fuel: Propane,House Heating Fuel: Electric,House Heating Fuel: Fuel Oil,House Heating Fuel: Wood,Year Built: 2010-2013,Year Built: 2000-2009,Year Built: 1990-1999,Year Built: 1980-1989,Year Built: 1970-1979,Year Built: 1960-1969,Year Built: 1950-1959,Year Built: 1940-1949,Year Built: before 1940,Units in Structure: 1 DETACHED,Units in Structure: 1 ATTACHED,Units in Structure: 2,Units in Structure: 3-4,Units in Structure: 5-9,Units in Structure: 10-19,Units in Structure: 20-49,Units in Structure: 50+,Units in Structure: Mobile Home,"Units in Structure: Boat,RV,Van,Etc.",Number of Rooms: 1,Number of Rooms: 2,Number of Rooms: 3,Number of Rooms: 4,Number of Rooms: 5,Number of Rooms: 6,Number of Rooms: 7,Number of Rooms: 8,Number of Rooms: 9+,Median Number of Rooms,Owner-Occupied,Renter-Occupied,Avg household size of owner-occupied unit,Avg household size of renter-occupied unit,Household Income: Total:,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more",Median Household Income,Total Population,Year Built: 2014 or later
0,Alabama,2010,2146513,593039,167735,1028545,5268,20613,98258,192040,404415,339161,389481,270187,207522,108643,136806,1462526,38844,46437,62487,90683,63326,34422,33979,311866,1943,14757,28035,131122,347209,517474,459506,284812,176711,186887,5.6,3334191,1264849,2.57,2.41,1821210,186689,130766,123841,119005,106438,106705,96321,92629,79383,149279,172629,192900,113517,57445,51342,42321,42081.0,4712651,
1,Alaska,2010,298723,121637,4196,23656,82978,12670,9896,23518,43723,84510,77863,28848,18920,5710,5735,184453,24326,14138,20613,15105,8906,9908,4674,16229,371,15007,22192,40404,59866,55515,39639,28420,17548,20132,4.7,448193,217677,2.79,2.48,248248,9768,9499,8755,10040,10709,11377,9574,11069,10661,19578,27920,37780,27254,17373,15578,11313,66521.0,691189,
2,Arizona,2010,2776037,843402,78699,1325309,1665,45284,211425,426110,585528,546644,516715,218970,171694,52196,46755,1741053,142924,39024,93609,123595,145108,76058,96853,305355,12458,51025,99333,270048,497554,625617,529852,342047,191421,169140,5.3,4158295,1953833,2.65,2.58,2326468,163071,119317,119054,132708,129795,133236,124658,124736,106265,197879,248566,286189,176826,98457,85914,79797,50448.0,6246816,
3,Arkansas,2010,1300449,479956,104381,474430,1901,51288,62378,121782,237013,214608,259781,156294,108516,62051,78026,909951,22994,40320,41024,42286,43420,15405,14351,169325,1373,13716,24917,89692,244279,357882,269809,145647,78791,75716,5.3,1924509,869639,2.54,2.41,1117154,110110,86244,81077,80682,72267,73012,64249,58581,53060,93212,105231,108197,57364,29179,24030,20659,39267.0,2872684,
4,California,2010,13552624,8356649,413742,2949199,41453,222490,453148,966431,1436836,2115180,2522733,1901791,1929414,910656,1316435,7877273,957348,347146,758256,831619,718891,668899,842147,533975,17070,369146,589692,1611557,2577253,2813745,2379198,1537644,898227,776162,5.1,21097790,14712803,2.97,2.79,12392852,658672,631056,578960,594322,565852,567304,535629,546864,486145,946405,1237541,1586032,1139762,722171,790965,805172,60883.0,36637290,
5,Colorado,2010,2176600,1441275,101164,315317,2699,37460,99920,260115,376207,330465,444157,218186,189062,66691,191797,1369530,150553,38438,75747,102464,132960,116078,89979,99621,1230,30056,72038,213570,339608,377766,327501,273068,215769,327224,5.7,3333251,1439997,2.57,2.31,1918959,122798,89897,87998,95805,90578,96417,90485,94378,82657,158573,204702,252226,168931,100441,96480,86593,56456.0,4887061,
6,Connecticut,2010,1475657,422464,37329,202101,665149,22597,28434,61101,108780,189562,202661,198079,225730,109487,351823,874259,76187,119757,132977,78850,55069,52693,72668,12804,393,23663,40772,127533,221284,276644,267748,196534,146531,174948,5.7,2493820,934720,2.65,2.23,1359218,73564,55426,56249,56301,54011,53621,52445,55415,49266,99992,134984,188102,137804,88961,93104,109973,67740.0,3545837,
7,Delaware,2010,398866,130068,37385,96749,61716,3374,22329,45662,65938,61848,54374,46428,42792,20924,38571,230363,58330,6505,9936,15125,21992,6142,10930,39440,103,3395,4535,24389,49138,71577,79781,59223,48545,58283,6.1,638834,217877,2.62,2.49,331639,18898,13452,14982,16342,16056,16872,15430,16346,14287,29546,35955,45734,29864,17868,17093,12914,57599.0,881278,
8,District of Columbia,2010,293492,163727,2925,77900,9407,65,8196,10443,7605,11964,22623,38435,46450,45175,102601,36265,75950,8737,22194,18801,31744,25261,74174,112,254,18695,24174,64216,55328,35571,30675,22107,17047,25679,4.2,249220,296001,2.23,2.04,257317,28142,12497,10912,9906,9782,10918,10086,11443,8861,18362,21847,28497,19001,13970,18488,24605,58526.0,584400,
9,Florida,2010,8863057,341373,110004,6545203,24603,14735,491231,1146064,1565162,1956189,1709199,890062,691714,214557,198879,4792568,544719,199808,341451,450800,528181,513089,615765,864762,11914,110091,210781,882098,1921740,2078813,1645857,994158,557689,461830,5.1,12651440,5443184,2.54,2.51,7152844,519226,403434,413134,432921,421455,423053,393740,389085,331278,616512,735302,820638,488110,263388,245316,256252,47661.0,18511620,
10,Georgia,2010,4020736,1510722,236602,1665952,10984,32969,252474,549034,863372,733361,612285,396004,278720,131178,204308,2656392,144964,94519,123541,210225,196912,97744,98638,396354,1447,34558,52909,263078,609178,875573,806705,524727,373920,480088,5.7,6304078,2910299,2.7,2.56,3468704,287689,198990,191813,192666,186734,194015,172776,176348,152417,288952,356447,414254,252836,140721,135745,126301,49347.0,9468815,
11,Hawaii,2010,512157,9781,6363,152776,119,2085,18629,34112,73314,78994,132351,81420,49613,21231,22493,276330,33743,15377,24487,34256,25315,29766,71892,821,170,22898,41941,74540,103705,103574,72846,42239,23955,26459,4.6,805087,486660,3.07,2.71,442267,25412,15974,15751,17642,17627,18149,17427,19413,16649,35016,48841,66430,46381,29549,28401,23605,66420.0,1333591,
12,Idaho,2010,652323,289823,32501,182285,16601,41624,44378,79927,125750,72423,132278,51244,54164,30946,61213,471289,19698,17977,29738,18145,12189,9832,8717,63673,1065,7096,15544,44331,107921,138049,114456,81510,60443,82973,5.6,1083743,414195,2.68,2.5,570283,36883,33962,32289,35470,37617,35888,32603,32359,27890,55455,64358,67517,34285,17219,14368,12120,46423.0,1526797,
