Size Description (000) BTUH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,
Under 16.5,"37,329","38,770","43,828","53,021","60,539","60,193","67,369","72,815","83,396","118,106",114400,117478,154538,184391,207609,209411,224538,253836,303780,357759,,Under 16.5,"37,329","38,770","43,828","53,021","60,539"
16.5-21.9,"409,143","445,652","436,104","481,430","587,710","431,085","401,711","418,492","381,021","344,293",397363,422275,498143,586544,750670,845818,945049,676927,739928,864142,,16.5-21.9,"409,143","445,652","436,104","481,430","587,710"
22-26.9,"1,155,187","1,317,113","1,275,565","1,389,382","1,701,764","1,290,818","1,133,258","1,093,538","1,013,373","989,327",1055636,1062592,1176723,1331295,1246265,1325381,1427227,1581830,1635309,1830740,,22-26.9,"1,155,187","1,317,113","1,275,565","1,389,382","1,701,764"
27-32.9,"1,068,358","1,188,902","1,192,033","1,270,549","1,488,750","1,129,590","1,013,060","942,696","815,566","807,755",864379,885497,973840,1078573,1032520,1102404,1166972,1307088,1332524,1483746,,27-32.9,"1,068,358","1,188,902","1,192,033","1,270,549","1,488,750"
33-38.9,"1,353,044","1,462,674","1,473,499","1,605,513","1,853,926","1,475,273","1,360,215","1,224,416","1,126,923","1,144,010",1180003,1194792,1293780,1421812,1366353,1489505,1568896,1781400,1793488,1984554,,33-38.9,"1,353,044","1,462,674","1,473,499","1,605,513","1,853,926"
39-43.9,"579,807","605,444","639,255","699,742","783,513","685,391","574,230","478,735","407,814","433,370",452949,452301,501692,546790,522866,561360,585987,663503,651503,717084,,39-43.9,"579,807","605,444","639,255","699,742","783,513"
44-53.9,"725,909","748,138","784,273","862,007","987,337","895,182","804,675","684,467","604,135","615,603",640635,647883,701698,766135,762438,815446,860709,967998,948059,1040749,,44-53.9,"725,909","748,138","784,273","862,007","987,337"
54-64.9,"675,915","681,068","703,932","768,420","861,277","792,212","733,793","631,805","515,523","504,408",573570,584835,617350,670896,649546,687471,713686,773391,757653,787593,,54-64.9,"675,915","681,068","703,932","768,420","861,277"
65-96.9,"99,549","97,780","98,686","102,082","105,425","114,906","117,995","105,719","77,922","76,265",83501,89474,93187,96993,103487,108890,111040,109986,109606,92770,,65-96.9,"99,549","97,780","98,686","102,082","105,425"
97-134.9,"76,752","69,901","70,080","74,540","78,005","87,795","93,074","82,683","61,408","60,502",65657,69364,71045,74469,76469,80254,86051,84261,83717,69076,,97-134.9,"76,752","69,901","70,080","74,540","78,005"
135-184.9,"44,571","43,006","42,782","44,687","47,997","50,639","51,025","46,876","35,588","39,098",42376,44473,44819,48244,50120,53238,57765,57590,56986,46644,,135-184.9,"44,571","43,006","42,782","44,687","47,997"
185-249.9,"24,643","22,637","22,580","23,671","25,380","26,557","26,569","23,957","16,796","16,806",18233,19314,19838,21495,21004,22686,24775,24673,25109,20780,,185-249.9,"24,643","22,637","22,580","23,671","25,380"
250-319.5,"11,690","9,892","10,461","11,054","10,626","12,068","12,390","10,552","7,168","7,794",9593,11055,10524,12325,11985,14139,16222,16838,16054,17257,,250-319.5,"11,690","9,892","10,461","11,054","10,626"
320-379.9,"4,864","4,354","4,239","4,475","4,529","5,259","4,937","4,768","3,615","3,093",3171,3322,3392,3567,3486,4018,4294,4208,4222,3892,,320-379.9,"4,864","4,354","4,239","4,475","4,529"
380-539.9,"4,446","3,889","3,824","3,952","4,087","4,421","4,602","3,829","2,936","2,609",3040,3514,3344,3739,3691,3894,4636,4322,4393,4141,,380-539.9,"4,446","3,889","3,824","3,952","4,087"
540-639.9,"3,466","2,814","2,282","2,544","2,553","2,745","2,864","2,908","1,781","1,911",2169,2257,2423,2546,2656,2750,3286,3406,3117,3112,,540-639.9,"3,466","2,814","2,282","2,544","2,553"
640 & Over,"6,770","4,292","3,839","3,998","4,083","5,162","4,830","5,098","2,747","2,260",3018,3239,3364,3836,3907,4194,4396,4736,5215,4723,,640 & Over,"6,770","4,292","3,839","3,998","4,083"
TOTAL,"6,281,443","6,746,326","6,807,262","7,401,067","8,607,501","7,069,296","6,406,597","5,833,354","5,157,712","5,167,210",5509693,5613665,6169700,6853650,6815072,7330859,7805529,8315993,8470663,9328762,,TOTAL,"6,281,443","6,746,326","6,807,262","7,401,067","8,607,501"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
