,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
987,AR,5135,Sharp,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
4973,AR,5103,Ouachita,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.0539553235,TON
5029,AR,5011,Bradley,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
7643,AR,5001,Arkansas,Fuel Comb - Residential - Other,Ammonia,CAP,0.005385043000000001,TON
10539,AR,5095,Monroe,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,2.18968998,TON
11658,AR,5093,Mississippi,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.0889791,TON
14014,AR,5121,Randolph,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.04640394,TON
14283,AR,5047,Franklin,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,4.71618e-05,TON
14468,AR,5049,Fulton,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.02609436,TON
16718,AR,5065,Izard,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.0,TON
18167,AR,5053,Grant,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.04116792,TON
18329,AR,5109,Pike,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.7387117,TON
18793,AR,5143,Washington,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.6310433000000001,TON
19071,AR,5129,Searcy,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,2.4802419999999996,TON
19880,AR,5147,Woodruff,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.0029178740000000004,TON
20803,AR,5143,Washington,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,2565.8408480999997,TON
21279,AR,5059,Hot Spring,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,2.034724234,TON
22116,AR,5119,Pulaski,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.2166452446,TON
23420,AR,5041,Desha,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.03049696,TON
23917,AR,5101,Newton,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
24005,AR,5033,Crawford,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.00409589,TON
25281,AR,5045,Faulkner,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,183.52721627,TON
25833,AR,5075,Lawrence,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.0031205994,TON
28035,AR,5139,Union,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.0317709,TON
28145,AR,5139,Union,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,30.1690624,TON
28423,AR,5009,Boone,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,10.96858481,TON
29547,AR,5137,Stone,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.00045028699999999995,TON
29859,AR,5065,Izard,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,1.3928420000000002e-05,TON
30239,AR,5007,Benton,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.1487415306,TON
31326,AR,5053,Grant,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.0,TON
31399,AR,5145,White,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
31467,AR,5127,Scott,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.3830384,TON
31590,AR,5025,Cleveland,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,0.5418938,TON
31819,AR,5067,Jackson,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.00650827,TON
31938,AR,5037,Cross,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.04372543,TON
35862,AR,5133,Sevier,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,1.3375860000000002,TON
35898,AR,5047,Franklin,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
35899,AR,5047,Franklin,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
36529,AR,5129,Searcy,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.1214204,TON
36730,AR,5053,Grant,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.0006173881,TON
36783,AR,5009,Boone,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
36893,AR,5003,Ashley,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.0008391733999999999,TON
