,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
80,CA,6019,Fresno,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,44.259128025,TON
81,CA,6107,Tulare,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,28.512384069,TON
1068,CA,6037,Los Angeles,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,34.579479498000005,TON
9924,CA,6103,Tehama,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.4716349,TON
10705,CA,6049,Modoc,Commercial Cooking,Carbon Monoxide,CAP,0.0,TON
11751,CA,6115,Yuba,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,48.06415,TON
11925,CA,6081,San Mateo,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,1.7735211,TON
13102,CA,6021,Glenn,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.10544478,TON
13942,CA,6021,Glenn,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.0,TON
15680,CA,6101,Sutter,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,2.936026,TON
16353,CA,6073,San Diego,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,28.875091883000003,TON
18370,CA,6011,Colusa,Commercial Cooking,Carbon Monoxide,CAP,0.0,TON
18842,CA,6083,Santa Barbara,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,192.8469,TON
18877,CA,6013,Contra Costa,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,404.6064,TON
20885,CA,6043,Mariposa,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
25286,CA,6089,Shasta,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,8.644973811,TON
28173,CA,6095,Solano,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,317.03544497,TON
30983,CA,6073,San Diego,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,71.197383,TON
31292,CA,6101,Sutter,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.2127706,TON
33697,CA,6093,Siskiyou,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,3.049897,TON
34201,CA,6087,Santa Cruz,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,10.47384127,TON
34236,CA,6107,Tulare,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
34269,CA,6021,Glenn,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
35074,CA,6109,Tuolumne,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.8293229,TON
35207,CA,6115,Yuba,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
35687,CA,6007,Butte,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,140.9915,TON
36243,CA,6049,Modoc,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,20.74044,TON
36244,CA,6049,Modoc,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,2.880328,TON
36397,CA,6017,El Dorado,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.0,TON
37282,CA,6077,San Joaquin,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
37554,CA,6091,Sierra,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.0,TON
38936,CA,6085,Santa Clara,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,5.105612034,TON
41247,CA,6115,Yuba,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.052742965999999995,TON
43628,CA,6027,Inyo,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,296.84133878,TON
43977,CA,6059,Orange,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.030081784,TON
46553,CA,6091,Sierra,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.0,TON
