,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
774,IA,19177,Van Buren,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.003289782781,TON
1210,IA,19093,Ida,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,1.288878532,TON
1219,IA,19105,Jones,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,3.54773371,TON
1230,IA,19139,Muscatine,Fuel Comb - Residential - Wood,Ammonia,CAP,2.1287437115,TON
4260,IA,19129,Mills,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.1578764079,TON
4347,IA,19125,Marion,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.03387516865,TON
5846,IA,19035,Cherokee,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.27562259999999994,TON
7414,IA,19193,Woodbury,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,2.726727518,TON
7777,IA,19177,Van Buren,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,0.1121105,TON
7884,IA,19031,Cedar,Fuel Comb - Residential - Other,Ammonia,CAP,0.05118482,TON
8137,IA,19141,OBrien,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,21.255517312000002,TON
8803,IA,19039,Clarke,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.05458298319,TON
9720,IA,19163,Scott,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,186.0864,TON
11056,IA,19179,Wapello,Fuel Comb - Residential - Other,Ammonia,CAP,0.04898948,TON
11753,IA,19161,Sac,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.02904199,TON
12320,IA,19065,Fayette,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.10161569999999999,TON
14076,IA,19061,Dubuque,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,4.181163,TON
14728,IA,19079,Hamilton,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.03342052,TON
15638,IA,19133,Monona,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,0.2500352,TON
16962,IA,19017,Bremer,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,1.8503020000000001,TON
18087,IA,19013,Black Hawk,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,7.0458050000000005,TON
18757,IA,19149,Plymouth,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,10.97642,TON
20129,IA,19055,Delaware,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,31.81034815,TON
21234,IA,19045,Clinton,Fuel Comb - Residential - Oil,Ammonia,CAP,0.071044892,TON
