,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
5767,MA,25021,Norfolk,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,2.729873,TON
21774,MA,25009,Essex,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,296.62208049,TON
27874,MA,25019,Nantucket,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,1.880618191,TON
41730,MA,25003,Berkshire,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,81.40116,TON
46015,MA,25001,Barnstable,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,44.527440000000006,TON
57575,MA,25027,Worcester,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,441.2342,TON
59536,MA,25015,Hampshire,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,7.169193988,TON
69721,MA,25011,Franklin,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,21.66716885,TON
70071,MA,25007,Dukes,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,16.1558424,TON
70560,MA,25019,Nantucket,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.3625501,TON
73696,MA,25013,Hampden,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,42.5906472,TON
80127,MA,25027,Worcester,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,3.7283199999999996,TON
82600,MA,25011,Franklin,Fuel Comb - Residential - Other,Ammonia,CAP,0.026242500000000002,TON
82933,MA,25017,Middlesex,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.5104385,TON
84028,MA,25013,Hampden,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,13.69765,TON
85010,MA,25025,Suffolk,Fuel Comb - Residential - Wood,Ammonia,CAP,0.79897956,TON
92052,MA,25001,Barnstable,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
92853,MA,25013,Hampden,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
102699,MA,25007,Dukes,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,24.425464804,TON
102985,MA,25001,Barnstable,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,231.01436111,TON
103081,MA,25021,Norfolk,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,18.70431405,TON
104144,MA,25017,Middlesex,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,222.5367,TON
123833,MA,25019,Nantucket,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,6.29769847,TON
130469,MA,25001,Barnstable,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
135105,MA,25021,Norfolk,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,5.217980000000001,TON
135106,MA,25001,Barnstable,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,7.5429330000000006,TON
141573,MA,25021,Norfolk,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,55.882114,TON
170285,MA,25003,Berkshire,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.5548201,TON
172176,MA,25023,Plymouth,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,172.6481,TON
175261,MA,25021,Norfolk,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,2.346421,TON
192756,MA,25025,Suffolk,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,19.84992,TON
194509,MA,25021,Norfolk,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,60.465469999999996,TON
195299,MA,25021,Norfolk,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,64.84751988,TON
201783,MA,25009,Essex,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,67.22716,TON
203407,MA,25025,Suffolk,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,2.734693,TON
214531,MA,25021,Norfolk,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,31.57272,TON
216256,MA,25015,Hampshire,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,4.19129477,TON
