,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
448,MS,28045,Hancock,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.028749599999999997,TON
449,MS,28045,Hancock,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.008455766,TON
1953,MS,28139,Tippah,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,33.510035666,TON
1984,MS,28137,Tate,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,36.738197452,TON
8916,MS,28091,Marion,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
9862,MS,28091,Marion,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,0.0,TON
12064,MS,28041,Greene,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,0.05660108,TON
12797,MS,28017,Chickasaw,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.007122076,TON
13211,MS,28121,Rankin,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,4.341741000000001,TON
13216,MS,28123,Scott,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.0,TON
13310,MS,28153,Wayne,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,1.143785,TON
14119,MS,28139,Tippah,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.5945189000000001,TON
14800,MS,28127,Simpson,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.01908027,TON
15216,MS,28141,Tishomingo,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,0.2293494,TON
15232,MS,28101,Newton,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.004294234,TON
16089,MS,28031,Covington,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,2.989242,TON
17424,MS,28105,Oktibbeha,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.1727761,TON
17563,MS,28039,George,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,0.9478708,TON
17889,MS,28055,Issaquena,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.0006704567,TON
17980,MS,28015,Carroll,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
18114,MS,28063,Jefferson,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.005193022,TON
18668,MS,28083,Leflore,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,0.8427724,TON
19504,MS,28087,Lowndes,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
21807,MS,28163,Yazoo,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,25.256125771,TON
22616,MS,28029,Copiah,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.0001849013,TON
22960,MS,28095,Monroe,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,326.74055671,TON
24325,MS,28141,Tishomingo,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.0005574447000000001,TON
24739,MS,28035,Forrest,Fuel Comb - Residential - Wood,Ammonia,CAP,4.1337627768,TON
24907,MS,28079,Leake,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.0004997973000000001,TON
26361,MS,28041,Greene,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,2.013243,TON
26804,MS,28123,Scott,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.28598629999999997,TON
27809,MS,28071,Lafayette,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.0,TON
28005,MS,28129,Smith,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.001964831,TON
31330,MS,28069,Kemper,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.8145121999999999,TON
31870,MS,28017,Chickasaw,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,0.1872687,TON
31925,MS,28125,Sharkey,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.11974089999999998,TON
35480,MS,28009,Benton,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.01567191,TON
36460,MS,28007,Attala,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.0052062259999999996,TON
37628,MS,28023,Clarke,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,0.6153523,TON
