,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
213,MT,30045,Judith Basin,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,7.950700637000001,TON
6831,MT,30035,Glacier,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,17.710040391,TON
9100,MT,30023,Deer Lodge,Fuel Comb - Residential - Oil,Ammonia,CAP,0.0,TON
9274,MT,30009,Carbon,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.03335952,TON
10132,MT,30063,Missoula,Commercial Cooking,Carbon Monoxide,CAP,25.567125,TON
12863,MT,30009,Carbon,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,0.2222663,TON
12963,MT,30007,Broadwater,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,9.594402,TON
13168,MT,30041,Hill,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.04602041,TON
13181,MT,30043,Jefferson,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,0.1350836,TON
14204,MT,30099,Teton,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,1.6873580000000001,TON
14821,MT,30109,Wibaux,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.005421336999999999,TON
15224,MT,30013,Cascade,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.29616147600000003,TON
15521,MT,30051,Liberty,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,1.0988773,TON
18910,MT,30073,Pondera,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.005413759000000001,TON
19000,MT,30029,Flathead,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.1920368,TON
19001,MT,30029,Flathead,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.1685221,TON
20889,MT,30095,Stillwater,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,3.515529,TON
