,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
1951,NC,37055,Dare,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,0.2539827,TON
2526,NC,37153,Richmond,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.17427502,TON
2607,NC,37029,Camden,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
6644,NC,37051,Cumberland,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
9606,NC,37071,Gaston,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.6285881999999999,TON
9679,NC,37151,Randolph,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,1.2280893,TON
9916,NC,37069,Franklin,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.0,TON
10139,NC,37191,Wayne,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.27,TON
11407,NC,37151,Randolph,Fuel Comb - Residential - Other,Ammonia,CAP,0.07568926,TON
12033,NC,37041,Chowan,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,6.277991,TON
12250,NC,37199,Yancey,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,0.1631839,TON
13029,NC,37039,Cherokee,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.004061184,TON
15912,NC,37143,Perquimans,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.0,TON
16254,NC,37019,Brunswick,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.0,TON
16588,NC,37161,Rutherford,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.04674552,TON
16913,NC,37029,Camden,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.00785759,TON
17041,NC,37095,Hyde,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.002565575,TON
17050,NC,37095,Hyde,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.0,TON
