,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
2574,NY,36095,Schoharie,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,0.5490896,TON
2974,NY,36113,Warren,Fuel Comb - Residential - Wood,Ammonia,CAP,6.994914717,TON
3811,NY,36033,Franklin,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,0.7451293000000001,TON
3812,NY,36121,Wyoming,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,0.27748259999999997,TON
4742,NY,36087,Rockland,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,6.00704725,TON
4810,NY,36059,Nassau,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,1388.2301706488001,TON
5660,NY,36013,Chautauqua,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,48.567178000000006,TON
6601,NY,36021,Columbia,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,121.27449401,TON
6620,NY,36073,Orleans,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,51.79016112,TON
8345,NY,36085,Richmond,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,1.8969295,TON
10006,NY,36031,Essex,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.02996849,TON
10804,NY,36025,Delaware,Fuel Comb - Residential - Oil,Ammonia,CAP,1.43448936,TON
13846,NY,36045,Jefferson,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
14593,NY,36057,Montgomery,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.4627918,TON
14699,NY,36101,Steuben,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.02044098,TON
15125,NY,36045,Jefferson,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.104597099,TON
15161,NY,36033,Franklin,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,6.812860000000001,TON
15843,NY,36037,Genesee,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
17856,NY,36087,Rockland,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,36.68251,TON
18597,NY,36075,Oswego,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
20200,NY,36119,Westchester,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,1.651727,TON
20900,NY,36013,Chautauqua,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,148.7541441,TON
21047,NY,36017,Chenango,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,14.6671945,TON
21964,NY,36115,Washington,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.002084576,TON
22612,NY,36007,Broome,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,5.528279,TON
