,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
25643,RI,44001,Bristol,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,4.4413046452,TON
44825,RI,44001,Bristol,Fuel Comb - Residential - Wood,Ammonia,CAP,1.5331735375400002,TON
54882,RI,44003,Kent,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,37.54732954,TON
63707,RI,44005,Newport,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,16.17125608,TON
79867,RI,44009,Washington,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,40.065715000000004,TON
80213,RI,44007,Providence,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,125.1744,TON
81728,RI,44009,Washington,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,3.40753833,TON
118486,RI,44007,Providence,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,3.2545330000000003,TON
134234,RI,44009,Washington,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.167158,TON
176100,RI,44009,Washington,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.3089091,TON
234850,RI,44005,Newport,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.04186278,TON
244449,RI,44009,Washington,Fuel Comb - Residential - Oil,Ammonia,CAP,7.14465862,TON
246018,RI,44003,Kent,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,2.731007,TON
272716,RI,44007,Providence,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,34.42295,TON
274057,RI,44003,Kent,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,54.99411,TON
283130,RI,44007,Providence,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,87.94021049999999,TON
294229,RI,44001,Bristol,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,10.36454509,TON
298919,RI,44005,Newport,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.007761369000000001,TON
332750,RI,44005,Newport,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,59.726213238,TON
334820,RI,44007,Providence,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,391.25727411,TON
366981,RI,44003,Kent,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,205.6776071,TON
370631,RI,44003,Kent,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,3.030903,TON
411958,RI,44007,Providence,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,8.335237951,TON
440563,RI,44003,Kent,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,5.354025099999999,TON
461683,RI,44005,Newport,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,18.76507,TON
469158,RI,44009,Washington,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,186.51513021,TON
482751,RI,44005,Newport,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,99.3271443,TON
492094,RI,44009,Washington,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,60.788379500000005,TON
504610,RI,44009,Washington,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,52.82269,TON
518329,RI,44003,Kent,Fuel Comb - Residential - Oil,Ammonia,CAP,7.50946591,TON
561737,RI,44005,Newport,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,46.4075622,TON
562904,RI,44009,Washington,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.3004921,TON
582419,RI,44007,Providence,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,3.7552309999999998,TON
592413,RI,44003,Kent,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,3.409992,TON
592944,RI,44009,Washington,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,17.00429677,TON
597153,RI,44003,Kent,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.7528933000000001,TON
608079,RI,44009,Washington,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,56.5210588,TON
619664,RI,44007,Providence,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,299.443735,TON
650459,RI,44003,Kent,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.46812600000000004,TON
672104,RI,44003,Kent,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.01713304,TON
723513,RI,44007,Providence,Fuel Comb - Residential - Other,Ammonia,CAP,0.1262939,TON
735304,RI,44001,Bristol,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,1.9132917,TON
751088,RI,44001,Bristol,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.002601452,TON
756783,RI,44007,Providence,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,6.3563655,TON
763038,RI,44005,Newport,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,2.2092009999999997,TON
780458,RI,44007,Providence,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.15584283,TON
784635,RI,44001,Bristol,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,13.204938,TON
789744,RI,44001,Bristol,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.003251815,TON
795152,RI,44007,Providence,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,588.3194,TON
835006,RI,44005,Newport,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.5363821999999999,TON
837130,RI,44009,Washington,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,196.82978372,TON
873962,RI,44003,Kent,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,85.93755,TON
875221,RI,44005,Newport,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,2.5500411,TON
910868,RI,44009,Washington,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,1.8111576,TON
916564,RI,44007,Providence,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,10.33667,TON
927530,RI,44003,Kent,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,2.545582,TON
939387,RI,44007,Providence,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,1.318674,TON
953354,RI,44009,Washington,Fuel Comb - Residential - Wood,Ammonia,CAP,10.138322016,TON
972515,RI,44001,Bristol,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,189.12107026299998,TON
1043141,RI,44009,Washington,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,5.899693,TON
1048140,RI,44003,Kent,Commercial Cooking,Volatile Organic Compounds,CAP,12.22867783,TON
1063348,RI,44005,Newport,Fuel Comb - Residential - Oil,Ammonia,CAP,5.51817435,TON
1070845,RI,44009,Washington,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.0114124,TON
1089311,RI,44001,Bristol,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,22.834517899999998,TON
1089492,RI,44007,Providence,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,262.039463,TON
1096023,RI,44009,Washington,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,128.6038912,TON
1118220,RI,44001,Bristol,Commercial Cooking,Carbon Monoxide,CAP,8.7672215,TON
1121896,RI,44001,Bristol,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,0.083374453,TON
1140104,RI,44003,Kent,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,31.011540000000004,TON
1144552,RI,44003,Kent,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,46.10745,TON
1166432,RI,44001,Bristol,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,8.814561,TON
1184587,RI,44009,Washington,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,23.11410128,TON
1202360,RI,44003,Kent,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,79.8580568,TON
1202789,RI,44005,Newport,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,55.39889068,TON
1214915,RI,44001,Bristol,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,0.5183393000000001,TON
1232902,RI,44003,Kent,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,10.656419999999999,TON
1242493,RI,44001,Bristol,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.006950456999999999,TON
1244094,RI,44007,Providence,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.07831139,TON
1251575,RI,44003,Kent,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.02055965,TON
1265254,RI,44005,Newport,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.009313643,TON
1274084,RI,44005,Newport,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.136777,TON
1290659,RI,44003,Kent,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.08880352,TON
1293539,RI,44009,Washington,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,5.083569000000001,TON
1293913,RI,44003,Kent,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,1.48823862,TON
1334502,RI,44007,Providence,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,323.08617000000004,TON
