,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
737,SC,45021,Cherokee,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.008044517099999999,TON
2059,SC,45039,Fairfield,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.0079206733,TON
2111,SC,45085,Sumter,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,19.87418,TON
4759,SC,45049,Hampton,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.004949132,TON
5662,SC,45011,Barnwell,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.007857568,TON
6961,SC,45015,Berkeley,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
12289,SC,45005,Allendale,Commercial Cooking,Carbon Monoxide,CAP,0.86142236,TON
13753,SC,45041,Florence,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,2.326868,TON
13997,SC,45089,Williamsburg,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.013432399999999999,TON
18070,SC,45065,McCormick,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.02791304,TON
18071,SC,45065,McCormick,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.002156917,TON
18879,SC,45041,Florence,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,3.5703400000000003,TON
19186,SC,45075,Orangeburg,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.185843387,TON
19493,SC,45071,Newberry,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.00098998144,TON
19496,SC,45077,Pickens,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,0.0025362855,TON
19497,SC,45083,Spartanburg,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.18448200492,TON
21246,SC,45077,Pickens,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,1.7097470000000001,TON
21517,SC,45051,Horry,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,73.28684,TON
27935,SC,45055,Kershaw,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.04952217,TON
28211,SC,45069,Marlboro,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.0020255276000000003,TON
28777,SC,45039,Fairfield,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.07404755,TON
30288,SC,45001,Abbeville,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.0038264341600000003,TON
30955,SC,45009,Bamberg,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.0009068875,TON
37158,SC,45041,Florence,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.06586012,TON
37535,SC,45071,Newberry,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.002941478,TON
39826,SC,45087,Union,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.023986050159999998,TON
40579,SC,45039,Fairfield,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
40582,SC,45043,Georgetown,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
40585,SC,45051,Horry,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,4.030776,TON
40960,SC,45073,Oconee,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,7.09517954,TON
41541,SC,45023,Chester,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,5.861075,TON
47165,SC,45025,Chesterfield,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,4.746433000000001,TON
47170,SC,45055,Kershaw,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.03549089,TON
50537,SC,45021,Cherokee,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.09365832,TON
54219,SC,45061,Lee,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.0007852915,TON
54354,SC,45019,Charleston,Fuel Comb - Residential - Oil,Ammonia,CAP,0.05199456,TON
54793,SC,45043,Georgetown,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.07535392,TON
56192,SC,45007,Anderson,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
59787,SC,45091,York,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,96.321725,TON
66143,SC,45063,Lexington,Fuel Comb - Residential - Oil,Ammonia,CAP,0.06378568,TON
67086,SC,45039,Fairfield,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.159606671,TON
68587,SC,45085,Sumter,Commercial Cooking,Volatile Organic Compounds,CAP,6.02148484,TON
69085,SC,45033,Dillon,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.002982426,TON
