,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
562,TN,47097,Lauderdale,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.01655788,TON
746,TN,47021,Cheatham,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,0.6495104,TON
1326,TN,47171,Unicoi,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,149.57066736,TON
2092,TN,47053,Gibson,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
2940,TN,47043,Dickson,Commercial Cooking,Volatile Organic Compounds,CAP,3.11968206,TON
3841,TN,47017,Carroll,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.747453859,TON
5470,TN,47033,Crockett,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,11.22393435,TON
5637,TN,47157,Shelby,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.312565702,TON
5981,TN,47041,DeKalb,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.0010238350099999998,TON
6673,TN,47049,Fentress,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,3.82958356,TON
6825,TN,47105,Loudon,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.006371381,TON
7370,TN,47085,Humphreys,Fuel Comb - Residential - Other,Ammonia,CAP,0.002527952,TON
8795,TN,47045,Dyer,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,8.818344999999999,TON
9845,TN,47007,Bledsoe,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.0003236478,TON
9896,TN,47105,Loudon,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
10345,TN,47167,Tipton,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
11830,TN,47143,Rhea,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
12367,TN,47093,Knox,Commercial Cooking,Carbon Monoxide,CAP,95.640815,TON
16571,TN,47027,Clay,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,0.16256279999999998,TON
17370,TN,47047,Fayette,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.00076722,TON
18005,TN,47175,Van Buren,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.004532461,TON
18714,TN,47031,Coffee,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.12345129999999999,TON
18903,TN,47143,Rhea,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.001250201,TON
19604,TN,47145,Roane,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.03404243,TON
20805,TN,47151,Scott,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.0020120152,TON
21253,TN,47095,Lake,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.0001300786,TON
23408,TN,47107,McMinn,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.09462397,TON
