,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
123,TX,48127,Dimmit,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,2.4880846361,TON
596,TX,48107,Crosby,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.0,TON
735,TX,48427,Starr,Fuel Comb - Residential - Wood,Ammonia,CAP,0.41775112770000006,TON
1039,TX,48173,Glasscock,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.01008849565,TON
1295,TX,48237,Jack,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
1378,TX,48215,Hidalgo,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,2.89,TON
1788,TX,48169,Garza,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,0.1132153867,TON
2680,TX,48391,Refugio,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,1.728375919,TON
3147,TX,48103,Crane,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,0.62171101617,TON
3297,TX,48409,San Patricio,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,1.164175479,TON
3338,TX,48219,Hockley,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,2.79,TON
3493,TX,48077,Clay,Fuel Comb - Residential - Oil,Ammonia,CAP,0.0,TON
3908,TX,48185,Grimes,Commercial Cooking,Nitrogen Oxides,CAP,0.0,TON
4257,TX,48191,Hall,Commercial Cooking,Nitrogen Oxides,CAP,0.0,TON
5066,TX,48087,Collingsworth,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,9.869622981000001,TON
5343,TX,48035,Bosque,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,1.24,TON
5424,TX,48355,Nueces,Fuel Comb - Residential - Oil,Ammonia,CAP,0.0,TON
5745,TX,48237,Jack,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.11076043039999998,TON
6239,TX,48239,Jackson,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.02,TON
6881,TX,48439,Tarrant,Commercial Cooking,Nitrogen Oxides,CAP,0.0,TON
7249,TX,48415,Scurry,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.02,TON
7405,TX,48023,Baylor,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.05010808441,TON
7893,TX,48495,Winkler,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,1.1342635115000002,TON
8752,TX,48041,Brazos,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.03,TON
8817,TX,48413,Schleicher,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.0,TON
8944,TX,48081,Coke,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,0.97,TON
9231,TX,48299,Llano,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,0.722295914,TON
9268,TX,48357,Ochiltree,Fuel Comb - Residential - Oil,Ammonia,CAP,0.0,TON
9601,TX,48075,Childress,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,0.00018915174,TON
10143,TX,48201,Harris,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,2.9989999999999997,TON
10363,TX,48141,El Paso,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,0.02,TON
10993,TX,48297,Live Oak,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.13651435,TON
11087,TX,48437,Swisher,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.0,TON
11120,TX,48319,Mason,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.02,TON
11499,TX,48275,Knox,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,0.0,TON
11671,TX,48261,Kenedy,Commercial Cooking,Ammonia,CAP,0.0,TON
12081,TX,48395,Robertson,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.0,TON
12115,TX,48155,Foard,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.0037173105,TON
12360,TX,48133,Eastland,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
12628,TX,48039,Brazoria,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.06,TON
12852,TX,48031,Blanco,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.00037818519999999997,TON
12860,TX,48161,Freestone,Fuel Comb - Residential - Oil,Ammonia,CAP,0.0,TON
12967,TX,48419,Shelby,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
13230,TX,48017,Bailey,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.3608845552,TON
13493,TX,48273,Kleberg,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.00194188,TON
14150,TX,48475,Ward,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.006668523000000001,TON
14270,TX,48497,Wise,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,7.76,TON
14469,TX,48157,Fort Bend,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.65,TON
14489,TX,48401,Rusk,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,0.3933472,TON
14609,TX,48449,Titus,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.0,TON
14810,TX,48073,Cherokee,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,5.63,TON
15344,TX,48255,Karnes,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.04,TON
15363,TX,48471,Walker,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.0,TON
15433,TX,48409,San Patricio,Fuel Comb - Residential - Oil,Ammonia,CAP,0.0,TON
15596,TX,48333,Mills,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.46,TON
16100,TX,48397,Rockwall,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,0.0,TON
16321,TX,48181,Grayson,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,48.67,TON
16346,TX,48439,Tarrant,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.0,TON
16492,TX,48483,Wheeler,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.01,TON
16629,TX,48125,Dickens,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.08,TON
16844,TX,48413,Schleicher,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,8.981135000000001e-05,TON
17120,TX,48169,Garza,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.34,TON
17425,TX,48151,Fisher,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.02,TON
17440,TX,48251,Johnson,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.12,TON
17466,TX,48075,Childress,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.0,TON
17555,TX,48457,Tyler,Fuel Comb - Residential - Other,Ammonia,CAP,0.02,TON
17682,TX,48329,Midland,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.02259874,TON
18679,TX,48223,Hopkins,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.0026393540000000004,TON
18878,TX,48015,Austin,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.01,TON
19318,TX,48357,Ochiltree,Commercial Cooking,Sulfur Dioxide,CAP,0.0,TON
19914,TX,48299,Llano,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,6.21,TON
20394,TX,48507,Zavala,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.04357470004,TON
20633,TX,48469,Victoria,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,100.47303118,TON
20827,TX,48285,Lavaca,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,2.52,TON
