,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
55,WV,54101,Webster,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,2.8972371580000003,TON
1568,WV,54019,Fayette,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,327.55253029,TON
1595,WV,54063,Monroe,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.22692813,TON
3477,WV,54021,Gilmer,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
7593,WV,54081,Raleigh,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.3378922,TON
7613,WV,54089,Summers,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.041195782,TON
7915,WV,54039,Kanawha,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
9338,WV,54059,Mingo,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.03498283,TON
10601,WV,54099,Wayne,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.4352161,TON
11470,WV,54033,Harrison,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.008415522,TON
12111,WV,54021,Gilmer,Commercial Cooking,Volatile Organic Compounds,CAP,0.40891544799999996,TON
12230,WV,54109,Wyoming,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,0.1214455,TON
12784,WV,54047,McDowell,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.000978224,TON
14614,WV,54011,Cabell,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.3746804,TON
15230,WV,54081,Raleigh,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,8.66245,TON
16777,WV,54067,Nicholas,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.20254745,TON
17186,WV,54101,Webster,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.000339925,TON
18613,WV,54005,Boone,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.0008211939,TON
21024,WV,54093,Tucker,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.006252161,TON
21231,WV,54041,Lewis,Fuel Comb - Residential - Wood,Ammonia,CAP,5.373041568,TON
27957,WV,54089,Summers,Fuel Comb - Residential - Oil,Ammonia,CAP,0.08665591,TON
30586,WV,54085,Ritchie,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.09340198,TON
30893,WV,54071,Pendleton,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,2.306275,TON
31988,WV,54023,Grant,Fuel Comb - Residential - Other,Ammonia,CAP,0.00777575,TON
33237,WV,54077,Preston,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.001503433,TON
33680,WV,54059,Mingo,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
34834,WV,54081,Raleigh,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,35.88268,TON
35596,WV,54077,Preston,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.3689884,TON
35767,WV,54033,Harrison,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.3551509,TON
36918,WV,54029,Hancock,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.002229916,TON
37510,WV,54007,Braxton,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.19257660000000001,TON
41147,WV,54053,Mason,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
41664,WV,54103,Wetzel,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
41665,WV,54103,Wetzel,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
43545,WV,54029,Hancock,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.0,TON
43789,WV,54021,Gilmer,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.008736753,TON
44241,WV,54057,Mineral,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.20997979999999997,TON
44862,WV,54049,Marion,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.11387732800000001,TON
