,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
778,WY,56003,Big Horn,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.01091446,TON
4412,WY,56021,Laramie,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.5288013,TON
15522,WY,56037,Sweetwater,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,7.822889999999999,TON
28690,WY,56005,Campbell,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.0,TON
33085,WY,56029,Park,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.01990676,TON
35943,WY,56015,Goshen,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.06004112,TON
42397,WY,56031,Platte,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.015186600000000001,TON
42398,WY,56031,Platte,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.23364000000000001,TON
47414,WY,56011,Crook,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.002434286,TON
49083,WY,56021,Laramie,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,1.08,TON
52053,WY,56017,Hot Springs,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,5.665797,TON
53339,WY,56035,Sublette,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.01100057,TON
66104,WY,56005,Campbell,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,5.13924,TON
79429,WY,56027,Niobrara,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,4.232366723999999,TON
98621,WY,56029,Park,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,38.5698749,TON
98622,WY,56029,Park,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,38.6501749,TON
102514,WY,56035,Sublette,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,131.01417565,TON
111750,WY,56001,Albany,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.02302195,TON
124732,WY,56009,Converse,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,99.97733626,TON
127111,WY,56027,Niobrara,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.01072189,TON
130098,WY,56035,Sublette,Fuel Comb - Residential - Oil,Ammonia,CAP,0.01542857,TON
133218,WY,56037,Sweetwater,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
135300,WY,56041,Uinta,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,1.2859200000000002,TON
138769,WY,56021,Laramie,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.6394806,TON
144684,WY,56001,Albany,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,19.583838399999998,TON
144838,WY,56029,Park,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,13.975238099999999,TON
148426,WY,56043,Washakie,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.8415209000000001,TON
149278,WY,56035,Sublette,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.036719999999999996,TON
149661,WY,56011,Crook,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.01020099,TON
151960,WY,56023,Lincoln,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.03587301,TON
165146,WY,56025,Natrona,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,38.0612954,TON
165785,WY,56029,Park,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.2095,TON
168520,WY,56019,Johnson,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,3.19983864,TON
169839,WY,56031,Platte,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.2540892,TON
171200,WY,56003,Big Horn,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.10954289999999998,TON
179255,WY,56027,Niobrara,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.01825714,TON
184568,WY,56045,Weston,Commercial Cooking,Carbon Monoxide,CAP,1.02765817,TON
186874,WY,56015,Goshen,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.05142857,TON
188162,WY,56037,Sweetwater,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,12.51249,TON
192818,WY,56041,Uinta,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,4.534559,TON
199789,WY,56025,Natrona,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.036160000000000005,TON
202301,WY,56031,Platte,Commercial Cooking,Carbon Monoxide,CAP,2.3326857000000003,TON
208308,WY,56009,Converse,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.00078155,TON
212367,WY,56011,Crook,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,119.94578652,TON
213757,WY,56021,Laramie,Commercial Cooking,Volatile Organic Compounds,CAP,6.02525297,TON
214420,WY,56021,Laramie,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,2.0211509999999997,TON
220990,WY,56009,Converse,Fuel Comb - Residential - Wood,Ammonia,CAP,0.7073842739,TON
224892,WY,56033,Sheridan,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,14.904029999999999,TON
229337,WY,56037,Sweetwater,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.0,TON
246563,WY,56031,Platte,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.02400569,TON
248558,WY,56005,Campbell,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.00967168,TON
252143,WY,56019,Johnson,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,12.479159945,TON
252403,WY,56011,Crook,Fuel Comb - Residential - Wood,Ammonia,CAP,0.8130054581999999,TON
269111,WY,56013,Fremont,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.08644216,TON
271018,WY,56043,Washakie,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,9.804633379,TON
279731,WY,56003,Big Horn,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,5.2560400000000005,TON
281230,WY,56009,Converse,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,13.4483,TON
292925,WY,56031,Platte,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.025104552999999998,TON
301010,WY,56035,Sublette,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.025,TON
304891,WY,56013,Fremont,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.1883619,TON
305141,WY,56009,Converse,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.012121999999999999,TON
316126,WY,56043,Washakie,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,3.93062046,TON
318903,WY,56021,Laramie,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.1428,TON
319863,WY,56017,Hot Springs,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.0032594290000000003,TON
323680,WY,56011,Crook,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.09350903,TON
331625,WY,56013,Fremont,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.03536,TON
333239,WY,56017,Hot Springs,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.5720451,TON
336632,WY,56011,Crook,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.008114286,TON
343609,WY,56043,Washakie,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.002037143,TON
352635,WY,56033,Sheridan,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,37.179504127,TON
361297,WY,56025,Natrona,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,19.58735,TON
362120,WY,56021,Laramie,Fuel Comb - Residential - Other,Ammonia,CAP,0.06749558,TON
363318,WY,56013,Fremont,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.07486831,TON
370224,WY,56011,Crook,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,2.519835,TON
372707,WY,56025,Natrona,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,3.552826,TON
382679,WY,56009,Converse,Commercial Cooking,Carbon Monoxide,CAP,1.48038651,TON
386935,WY,56025,Natrona,Fuel Comb - Residential - Wood,Ammonia,CAP,2.9264252839999996,TON
387285,WY,56027,Niobrara,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.006458302,TON
387841,WY,56021,Laramie,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,70.48565385,TON
395554,WY,56019,Johnson,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.0259985,TON
403683,WY,56035,Sublette,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.007404000000000001,TON
405158,WY,56023,Lincoln,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,39.501042,TON
410331,WY,56017,Hot Springs,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.006129055,TON
415109,WY,56029,Park,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,12.980688699999998,TON
418187,WY,56013,Fremont,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,11.2993963,TON
435778,WY,56009,Converse,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.10472000000000001,TON
440030,WY,56013,Fremont,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,7.244689,TON
452835,WY,56005,Campbell,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.0,TON
455642,WY,56033,Sheridan,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,13.406805300000002,TON
458180,WY,56023,Lincoln,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,3.52176618,TON
463143,WY,56023,Lincoln,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,39.453022999999995,TON
474554,WY,56001,Albany,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,31.707132176,TON
477558,WY,56023,Lincoln,Commercial Cooking,Carbon Monoxide,CAP,1.44436766,TON
487990,WY,56019,Johnson,Fuel Comb - Residential - Oil,Ammonia,CAP,0.005714286,TON
504609,WY,56021,Laramie,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,22.1435,TON
511340,WY,56009,Converse,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,1.701511844,TON
