,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,IA,Tenure,OWNER,894152.0,87572.85,1555.79,867.39,31.11,2.8000000000000003
2,IA,Tenure,RENTER,362703.0,38775.93,935.72,396.6,8.88,3.46
3,IA,Year Built,1940-59,197848.849,62196.44,1327.92,756.36,26.4,3.39
4,IA,Year Built,1960-79,318876.048,66768.39,1309.15,631.66,19.21,2.94
5,IA,Year Built,1980-99,229271.502,80639.06,1242.24,623.35,18.69,2.34
6,IA,Year Built,2000-09,143472.143,103781.98,1390.14,688.7,19.08,2.02
7,IA,Year Built,2010+,56976.884,103308.1,1183.97,479.18,10.22,1.6199999999999999
8,IA,Year Built,BEFORE 1940,310409.575,62842.81,1606.27,964.32,38.93,4.15
9,IA,Building Type,1 ATTACHED,50897.71,70799.27,898.28,439.19,9.95,1.9
10,IA,Building Type,1 DETACHED,950440.152,84402.92,1593.84,882.34,30.21,2.97
11,IA,Building Type,MOBILE_TRAILER,38101.976,38739.1,1190.41,783.39,31.73,5.18
12,IA,Building Type,10-19 UNIT,46333.488,37702.16,560.87,114.11,1.31,1.79
13,IA,Building Type,2 UNIT,24525.526,32395.69,694.69,298.98,10.08,3.1
14,IA,Building Type,3-4 UNIT,39439.614,27938.35,779.65,184.46,4.77,3.47
15,IA,Building Type,5-9 UNIT,42136.568,31659.3,593.5,115.01,1.04,2.2399999999999998
16,IA,Building Type,BOAT_RV_VAN,355.945,11673.51,104.37,21.12,0.0,1.0699999999999998
17,IA,Building Type,50+ UNIT,23276.4,32677.0,304.5,40.89,2.32,1.06
18,IA,Building Type,20-49 UNIT,41347.62,32070.91,451.37,70.44,0.44,1.63
19,IA,Heating Fuel,BOTTLED GAS,164356.0,81618.87,1958.69,1744.44,69.91,4.62
20,IA,Heating Fuel,ELECTRICITY,280825.0,63563.94,1458.09,164.91,8.0,2.5700000000000003
21,IA,Heating Fuel,OTHER,9461.0,70399.41,1340.19,181.44,123.57,2.34
22,IA,Heating Fuel,SOLAR,509.0,71859.86,1254.49,180.14,0.0,2.0
23,IA,Heating Fuel,UTILITY GAS,770567.0,75782.6,1209.84,745.67,12.5,2.6
24,IA,Heating Fuel,WOOD,17357.0,67628.97,1938.92,383.18,143.46,3.65
25,IA,Heating Fuel,COAL,357.0,29927.6,411.54,120.65,88.93,2.08
26,IA,Heating Fuel,NONE,6713.0,64523.26,1153.3,136.42,9.86,2.01
27,IA,Heating Fuel,FUEL OIL,6710.0,57649.27,1786.34,358.34,582.95,4.73
28,IA,Percent of FPL,0-100%,125894.068,9205.05,1039.33,495.28,19.98,16.89
29,IA,Percent of FPL,100-150%,103345.453,20745.04,1155.61,574.77,23.17,8.450000000000001
30,IA,Percent of FPL,150-200%,111084.58,30417.91,1260.29,643.71,24.65,6.34
31,IA,Percent of FPL,200-400%,406908.915,53952.63,1408.21,753.78,26.56,4.06
32,IA,Percent of FPL,400%+,509621.984,125057.49,1505.46,823.07,24.69,1.8800000000000001
