,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,IL,Tenure,OWNER,3189035.0,106116.86,1250.52,879.85,10.15,2.02
2,IL,Tenure,RENTER,1641003.0,49081.07,814.63,526.17,2.63,2.74
3,IL,Year Built,1940-59,929082.22,70744.99,1062.81,836.75,8.05,2.7
4,IL,Year Built,1960-79,1277734.099,75909.46,1087.28,643.74,7.01,2.29
5,IL,Year Built,1980-99,990133.721,100510.26,1144.03,659.0,6.64,1.7999999999999998
6,IL,Year Built,2000-09,537324.154,123762.6,1201.82,700.24,5.63,1.54
7,IL,Year Built,2010+,95253.658,129289.93,1065.28,487.72,5.17,1.21
8,IL,Year Built,BEFORE 1940,1000510.149,77858.28,1067.54,993.66,10.14,2.6599999999999997
9,IL,Building Type,1 ATTACHED,288553.527,86987.29,896.87,623.36,3.42,1.7500000000000002
10,IL,Building Type,1 DETACHED,2954686.008,101907.82,1332.86,926.72,10.56,2.23
11,IL,Building Type,MOBILE_TRAILER,97179.477,41397.55,1497.58,621.85,15.55,5.16
12,IL,Building Type,10-19 UNIT,177683.793,52105.42,630.41,252.32,1.0,1.7000000000000002
13,IL,Building Type,2 UNIT,244509.695,53583.19,839.05,985.21,5.92,3.42
14,IL,Building Type,3-4 UNIT,291431.375,57150.32,732.16,698.64,2.27,2.5100000000000002
15,IL,Building Type,5-9 UNIT,294597.022,54912.77,672.87,385.86,1.02,1.9300000000000002
16,IL,Building Type,BOAT_RV_VAN,1173.541,25731.46,468.81,282.19,4.8,2.94
17,IL,Building Type,50+ UNIT,317831.716,75870.93,512.62,167.81,0.78,0.8999999999999999
18,IL,Building Type,20-49 UNIT,162391.846,57802.61,554.14,210.52,0.78,1.32
19,IL,Heating Fuel,BOTTLED GAS,196425.0,81785.57,1689.28,1587.75,41.92,4.06
20,IL,Heating Fuel,ELECTRICITY,787245.0,66316.35,1235.12,185.79,3.86,2.15
21,IL,Heating Fuel,OTHER,23735.0,59290.7,706.23,214.4,42.8,1.6199999999999999
22,IL,Heating Fuel,SOLAR,916.0,49334.33,743.5,222.29,22.6,2.0
23,IL,Heating Fuel,UTILITY GAS,3760367.0,92024.73,1048.12,848.38,5.47,2.07
24,IL,Heating Fuel,WOOD,21764.0,66645.2,1769.25,368.61,84.17,3.3300000000000005
25,IL,Heating Fuel,COAL,877.0,34124.99,442.89,411.62,60.48,2.68
26,IL,Heating Fuel,NONE,31708.0,40991.06,495.56,160.13,2.87,1.6099999999999999
27,IL,Heating Fuel,FUEL OIL,7001.0,57316.4,1034.3,313.54,262.64,2.81
28,IL,Percent of FPL,0-100%,554076.223,9162.98,949.04,639.72,5.33,17.4
29,IL,Percent of FPL,100-150%,375768.081,22188.6,968.21,696.3,7.31,7.53
30,IL,Percent of FPL,150-200%,387154.894,31374.85,1018.31,744.84,8.63,5.65
31,IL,Percent of FPL,200-400%,1333807.317,55214.6,1109.71,765.67,8.73,3.4099999999999997
32,IL,Percent of FPL,400%+,2179231.484,146723.86,1175.06,800.09,7.34,1.35
