,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,MI,Tenure,OWNER,2777114.0,87282.05,1543.39,1011.22,50.3,2.98
2,MI,Tenure,RENTER,1132395.0,38992.18,1013.64,550.54,10.89,4.04
3,MI,Year Built,1940-59,893071.236,61300.19,1399.27,895.93,28.34,3.7900000000000005
4,MI,Year Built,1960-79,1082482.596,67614.97,1326.98,771.64,39.68,3.16
5,MI,Year Built,1980-99,915929.274,84326.26,1385.09,877.11,38.1,2.73
6,MI,Year Built,2000-09,395025.97,101985.47,1521.97,992.18,37.7,2.5
7,MI,Year Built,2010+,76819.106,106732.7,1238.91,635.6,17.12,1.77
8,MI,Year Built,BEFORE 1940,546180.817,60211.53,1433.4,1010.94,59.75,4.16
9,MI,Building Type,1 ATTACHED,184147.48,63419.11,1012.93,592.83,8.91,2.55
10,MI,Building Type,1 DETACHED,2878981.014,84293.02,1577.88,1029.46,47.99,3.15
11,MI,Building Type,MOBILE_TRAILER,171695.826,40350.25,1344.97,1016.43,61.1,6.0
12,MI,Building Type,10-19 UNIT,140206.838,41069.48,723.86,233.95,1.11,2.33
13,MI,Building Type,2 UNIT,75304.589,33766.9,916.25,598.16,7.73,4.51
14,MI,Building Type,3-4 UNIT,95623.657,38532.11,741.11,367.09,3.61,2.8899999999999997
15,MI,Building Type,5-9 UNIT,168258.004,41238.34,741.89,262.43,1.71,2.44
16,MI,Building Type,BOAT_RV_VAN,844.791,24069.93,523.55,294.25,19.3,3.4799999999999995
17,MI,Building Type,50+ UNIT,118909.817,33301.23,545.26,132.84,1.91,2.04
18,MI,Building Type,20-49 UNIT,75536.983,31214.51,561.39,146.67,1.43,2.27
19,MI,Heating Fuel,BOTTLED GAS,323130.0,69959.9,1735.02,2227.41,109.35,5.82
20,MI,Heating Fuel,ELECTRICITY,374024.0,55454.17,1403.07,274.51,10.72,3.04
21,MI,Heating Fuel,OTHER,36433.0,55331.6,1388.64,337.32,240.23,3.55
22,MI,Heating Fuel,SOLAR,809.0,41648.53,989.07,423.65,26.58,3.46
23,MI,Heating Fuel,UTILITY GAS,2988839.0,76917.14,1332.45,839.98,12.24,2.8400000000000003
24,MI,Heating Fuel,WOOD,121949.0,65298.41,1859.63,546.51,310.24,4.16
25,MI,Heating Fuel,COAL,1151.0,49415.0,1153.68,499.43,268.71,3.8899999999999997
26,MI,Heating Fuel,NONE,18534.0,32175.97,742.81,147.72,16.07,2.82
27,MI,Heating Fuel,FUEL OIL,44640.0,59152.54,1631.64,361.48,646.97,4.46
28,MI,Percent of FPL,0-100%,486933.201,9372.85,1234.09,775.29,29.38,21.75
29,MI,Percent of FPL,100-150%,336225.669,21632.25,1245.48,804.72,40.1,9.66
30,MI,Percent of FPL,150-200%,356138.236,30831.7,1303.55,845.15,43.56,7.109999999999999
31,MI,Percent of FPL,200-400%,1220910.951,53384.5,1375.16,888.59,45.63,4.33
32,MI,Percent of FPL,400%+,1509300.943,131551.91,1504.76,926.09,35.11,1.87
