,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,MN,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,1.023,17356.49,2261.72,1074.63,0.0,19.220000000000002
2,MN,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,12.463,28564.85,5134.09,1967.38,0.0,24.86
3,MN,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,30.116,30099.05,2660.22,912.06,559.02,13.73
4,MN,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,19.822,56711.96,3163.77,1815.21,280.01,9.27
5,MN,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,27.234,146850.05,1348.91,984.6,106.51,1.66
6,MN,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,21.449,3650.78,219.8,33.5,0.0,6.94
7,MN,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,21.953,8621.77,519.15,79.26,0.0,6.94
8,MN,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,6.625,33629.78,732.56,341.89,0.0,3.19
9,MN,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,108.867,46953.76,894.28,285.31,0.0,2.5100000000000002
10,MN,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,46.995,85220.79,900.37,321.49,0.0,1.43
11,MN,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.829,1034.1,942.48,0.0,0.0,91.14
12,MN,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,2.274,63038.5,0.0,2450.94,0.0,3.8899999999999997
13,MN,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,5.041,71831.66,0.0,2792.84,0.0,3.8899999999999997
14,MN,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.178,0.0,0.0,0.0,0.0,
15,MN,OWNER,1940-59,1 ATTACHED,OTHER,400%+,2.937,0.0,0.0,0.0,0.0,
16,MN,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.076,0.0,0.0,0.0,0.0,
17,MN,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.042,0.0,0.0,0.0,0.0,
18,MN,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.042,0.0,0.0,0.0,0.0,
19,MN,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,0.192,0.0,0.0,0.0,0.0,
20,MN,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.322,0.0,0.0,0.0,0.0,
21,MN,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,109.08,9831.9,684.49,384.43,0.0,10.870000000000001
22,MN,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,89.043,13294.6,714.65,1.03,0.0,5.38
23,MN,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,152.807,26183.25,705.84,1354.58,119.37,8.33
24,MN,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,519.473,48369.6,780.25,677.44,92.87,3.2099999999999995
25,MN,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,601.897,122773.49,530.18,711.73,13.96,1.02
26,MN,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,27.071,13981.16,4080.41,0.0,882.91,35.5
27,MN,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,0.228,0.0,0.0,0.0,0.0,
28,MN,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,0.319,2110.37,0.0,0.0,3.22,0.15
29,MN,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,5.458,21268.86,0.0,0.0,32.64,0.15
30,MN,OWNER,1940-59,1 ATTACHED,WOOD,400%+,4.559,76355.95,1786.12,0.0,272.32,2.7
31,MN,OWNER,1940-59,1 ATTACHED,COAL,0-100%,0.083,0.0,0.0,0.0,0.0,
32,MN,OWNER,1940-59,1 ATTACHED,COAL,100-150%,0.236,0.0,0.0,0.0,0.0,
33,MN,OWNER,1940-59,1 ATTACHED,COAL,150-200%,0.187,0.0,0.0,0.0,0.0,
34,MN,OWNER,1940-59,1 ATTACHED,COAL,200-400%,0.302,0.0,0.0,0.0,0.0,
35,MN,OWNER,1940-59,1 ATTACHED,COAL,400%+,0.263,0.0,0.0,0.0,0.0,
36,MN,OWNER,1940-59,1 ATTACHED,NONE,0-100%,2.234,0.0,0.0,0.0,0.0,
37,MN,OWNER,1940-59,1 ATTACHED,NONE,100-150%,0.292,0.0,0.0,0.0,0.0,
38,MN,OWNER,1940-59,1 ATTACHED,NONE,150-200%,0.493,0.0,0.0,0.0,0.0,
39,MN,OWNER,1940-59,1 ATTACHED,NONE,200-400%,2.213,0.0,0.0,0.0,0.0,
40,MN,OWNER,1940-59,1 ATTACHED,NONE,400%+,0.529,0.0,0.0,0.0,0.0,
41,MN,OWNER,1940-59,1 ATTACHED,FUEL OIL,0-100%,6.034,13177.54,531.69,0.0,839.56,10.41
42,MN,OWNER,1940-59,1 ATTACHED,FUEL OIL,100-150%,8.362,15107.86,833.54,0.0,809.55,10.879999999999999
43,MN,OWNER,1940-59,1 ATTACHED,FUEL OIL,150-200%,0.948,0.0,0.0,0.0,0.0,
44,MN,OWNER,1940-59,1 ATTACHED,FUEL OIL,200-400%,24.842,15276.7,932.91,40.0,705.06,10.979999999999999
45,MN,OWNER,1940-59,1 ATTACHED,FUEL OIL,400%+,6.162,17095.37,833.24,217.9,766.66,10.63
46,MN,OWNER,1940-59,1 DETACHED,BOTTLED GAS,0-100%,1050.505,9863.63,1713.95,1789.84,157.84,37.12
47,MN,OWNER,1940-59,1 DETACHED,BOTTLED GAS,100-150%,1329.418,22092.25,1664.4,1827.29,194.93,16.689999999999998
48,MN,OWNER,1940-59,1 DETACHED,BOTTLED GAS,150-200%,1748.699,30458.59,1716.33,1735.4,228.36,12.08
49,MN,OWNER,1940-59,1 DETACHED,BOTTLED GAS,200-400%,7051.991,55589.68,1737.51,1912.93,189.14,6.909999999999999
50,MN,OWNER,1940-59,1 DETACHED,BOTTLED GAS,400%+,8192.524,118156.23,1956.5,1774.81,140.65,3.2800000000000002
51,MN,OWNER,1940-59,1 DETACHED,ELECTRICITY,0-100%,979.268,9857.82,1768.26,361.88,28.07,21.89
52,MN,OWNER,1940-59,1 DETACHED,ELECTRICITY,100-150%,1167.813,21099.94,1777.96,390.29,48.07,10.5
53,MN,OWNER,1940-59,1 DETACHED,ELECTRICITY,150-200%,1326.058,33525.37,1945.64,424.95,23.32,7.140000000000001
54,MN,OWNER,1940-59,1 DETACHED,ELECTRICITY,200-400%,5220.88,59719.63,1908.45,361.56,53.89,3.8899999999999997
55,MN,OWNER,1940-59,1 DETACHED,ELECTRICITY,400%+,7761.849,125579.0,1959.4,401.3,30.54,1.9
56,MN,OWNER,1940-59,1 DETACHED,OTHER,0-100%,31.143,7300.4,1182.67,432.08,850.86,33.77
57,MN,OWNER,1940-59,1 DETACHED,OTHER,100-150%,113.112,16527.77,575.53,18.47,422.0,6.15
58,MN,OWNER,1940-59,1 DETACHED,OTHER,150-200%,94.199,26235.58,855.19,30.18,199.26,4.130000000000001
59,MN,OWNER,1940-59,1 DETACHED,OTHER,200-400%,461.637,43552.82,1489.94,221.46,938.02,6.08
60,MN,OWNER,1940-59,1 DETACHED,OTHER,400%+,451.749,76107.37,1341.72,183.05,277.01,2.37
61,MN,OWNER,1940-59,1 DETACHED,SOLAR,0-100%,1.882,0.0,0.0,0.0,0.0,
62,MN,OWNER,1940-59,1 DETACHED,SOLAR,100-150%,0.922,0.0,0.0,0.0,0.0,
63,MN,OWNER,1940-59,1 DETACHED,SOLAR,150-200%,1.562,0.0,0.0,0.0,0.0,
64,MN,OWNER,1940-59,1 DETACHED,SOLAR,200-400%,14.369,24354.04,1100.02,922.92,0.0,8.309999999999999
65,MN,OWNER,1940-59,1 DETACHED,SOLAR,400%+,1.944,0.0,0.0,0.0,0.0,
66,MN,OWNER,1940-59,1 DETACHED,UTILITY GAS,0-100%,7260.561,10018.86,1063.08,806.52,21.83,18.88
67,MN,OWNER,1940-59,1 DETACHED,UTILITY GAS,100-150%,9697.457,23132.74,1022.37,822.42,48.79,8.19
68,MN,OWNER,1940-59,1 DETACHED,UTILITY GAS,150-200%,12540.813,32177.85,1040.58,781.8,51.95,5.82
69,MN,OWNER,1940-59,1 DETACHED,UTILITY GAS,200-400%,59133.925,57274.6,1089.78,801.44,31.4,3.36
70,MN,OWNER,1940-59,1 DETACHED,UTILITY GAS,400%+,98297.62,131302.65,1119.91,842.56,20.75,1.51
71,MN,OWNER,1940-59,1 DETACHED,WOOD,0-100%,254.741,9493.71,1812.18,167.51,493.78,26.05
72,MN,OWNER,1940-59,1 DETACHED,WOOD,100-150%,312.364,21244.37,1789.06,109.1,401.85,10.83
73,MN,OWNER,1940-59,1 DETACHED,WOOD,150-200%,413.111,35279.47,2097.52,374.8,642.77,8.83
