,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,MO,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,2.545,6419.89,1195.96,1203.68,0.0,37.38
2,MO,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,0.43,0.0,0.0,0.0,0.0,
3,MO,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,0.232,0.0,0.0,0.0,0.0,
4,MO,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,19.176,48639.49,2659.45,1999.32,0.0,9.58
5,MO,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,16.987,149739.93,3299.2,717.1,373.58,2.93
6,MO,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,30.268,3812.94,536.8,57.13,0.0,15.58
7,MO,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,7.064,16072.76,0.0,0.0,0.0,0.0
8,MO,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,39.109,24549.57,2464.75,1495.46,0.0,16.13
9,MO,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,130.96,49087.29,1706.8,94.03,0.0,3.6700000000000004
10,MO,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,211.311,107244.07,1510.07,99.28,0.0,1.5
11,MO,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.033,0.0,0.0,0.0,0.0,
12,MO,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.002,0.0,0.0,0.0,0.0,
13,MO,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.065,0.0,0.0,0.0,0.0,
14,MO,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,9.68,40415.53,1822.98,0.0,356.97,5.390000000000001
15,MO,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.048,0.0,0.0,0.0,0.0,
16,MO,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.094,0.0,0.0,0.0,0.0,
17,MO,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.01,0.0,0.0,0.0,0.0,
18,MO,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.001,0.0,0.0,0.0,0.0,
19,MO,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,0.006,0.0,0.0,0.0,0.0,
20,MO,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.054,0.0,0.0,0.0,0.0,
21,MO,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,96.368,9285.26,1635.36,701.34,7.01,25.240000000000002
22,MO,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,74.04,19718.88,1944.68,910.85,0.0,14.48
23,MO,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,103.011,29952.79,1444.69,1118.88,0.0,8.559999999999999
24,MO,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,437.157,46665.66,1369.76,1034.26,36.82,5.2299999999999995
25,MO,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,339.966,90510.98,1069.86,831.99,0.43,2.1
26,MO,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,20.204,12147.98,1439.91,0.0,0.0,11.85
27,MO,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,17.978,15479.13,1732.31,0.0,27.81,11.37
28,MO,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,9.279,15425.49,1736.97,0.0,30.04,11.459999999999999
29,MO,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,1.461,0.0,0.0,0.0,0.0,
30,MO,OWNER,1940-59,1 ATTACHED,WOOD,400%+,4.334,0.0,0.0,0.0,0.0,
31,MO,OWNER,1940-59,1 ATTACHED,COAL,0-100%,0.267,0.0,0.0,0.0,0.0,
32,MO,OWNER,1940-59,1 ATTACHED,COAL,100-150%,0.223,0.0,0.0,0.0,0.0,
33,MO,OWNER,1940-59,1 ATTACHED,COAL,150-200%,0.01,0.0,0.0,0.0,0.0,
34,MO,OWNER,1940-59,1 ATTACHED,COAL,200-400%,0.322,0.0,0.0,0.0,0.0,
35,MO,OWNER,1940-59,1 ATTACHED,COAL,400%+,0.176,0.0,0.0,0.0,0.0,
36,MO,OWNER,1940-59,1 ATTACHED,NONE,0-100%,0.167,0.0,0.0,0.0,0.0,
37,MO,OWNER,1940-59,1 ATTACHED,NONE,100-150%,0.047,0.0,0.0,0.0,0.0,
38,MO,OWNER,1940-59,1 ATTACHED,NONE,150-200%,0.217,0.0,0.0,0.0,0.0,
