,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,MT,Tenure,OWNER,286553.0,82327.41,1727.2,862.8,198.47,3.39
2,MT,Tenure,RENTER,136687.0,39671.03,1089.74,388.33,63.16,3.8899999999999997
3,MT,Year Built,1940-59,61123.026,60762.77,1349.21,668.93,123.75,3.53
4,MT,Year Built,1960-79,115463.552,61416.27,1527.31,663.05,154.03,3.82
5,MT,Year Built,1980-99,105531.927,73133.97,1670.64,742.57,163.92,3.52
6,MT,Year Built,2000-09,62474.048,87412.34,1588.44,856.79,143.84,2.96
7,MT,Year Built,2010+,21923.129,81401.4,1377.56,431.85,101.67,2.35
8,MT,Year Built,BEFORE 1940,56724.318,57202.84,1398.49,731.84,205.22,4.08
9,MT,Building Type,1 ATTACHED,16520.082,65110.6,949.95,327.75,32.21,2.01
10,MT,Building Type,1 DETACHED,298425.056,81010.23,1733.21,849.06,187.66,3.42
11,MT,Building Type,MOBILE_TRAILER,43758.17,41592.79,1555.86,764.87,194.6,6.05
12,MT,Building Type,10-19 UNIT,8882.703,24835.33,586.91,62.64,0.23,2.62
13,MT,Building Type,2 UNIT,11340.337,34953.56,857.68,217.47,14.95,3.1199999999999997
14,MT,Building Type,3-4 UNIT,18316.399,35746.14,876.51,182.9,9.9,2.9899999999999998
15,MT,Building Type,5-9 UNIT,11412.941,28362.54,617.02,86.17,0.21,2.48
16,MT,Building Type,BOAT_RV_VAN,586.004,19922.52,903.34,599.25,133.54,8.21
17,MT,Building Type,50+ UNIT,6623.207,25721.62,185.05,24.64,3.4,0.83
18,MT,Building Type,20-49 UNIT,7375.1,22383.32,418.75,24.75,0.0,1.9800000000000002
19,MT,Heating Fuel,BOTTLED GAS,51715.0,76649.52,2027.97,2102.35,236.2,5.7
20,MT,Heating Fuel,ELECTRICITY,101656.0,53620.27,1799.48,168.08,82.28,3.82
21,MT,Heating Fuel,OTHER,4082.0,60479.74,1522.65,354.91,766.1,4.37
22,MT,Heating Fuel,SOLAR,262.0,61194.22,826.5,124.71,3.86,1.5599999999999998
23,MT,Heating Fuel,UTILITY GAS,225942.0,74872.97,1220.41,705.8,43.66,2.63
24,MT,Heating Fuel,WOOD,33334.0,63830.54,1943.49,372.16,741.43,4.79
25,MT,Heating Fuel,COAL,498.0,52556.11,2150.61,107.5,949.56,6.1
26,MT,Heating Fuel,NONE,1781.0,32236.5,900.47,47.86,40.73,3.0700000000000003
27,MT,Heating Fuel,FUEL OIL,3970.0,52332.0,1624.94,254.92,1680.32,6.800000000000001
28,MT,Percent of FPL,0-100%,48436.298,9106.63,1247.75,538.2,143.07,21.18
29,MT,Percent of FPL,100-150%,40906.32,20408.22,1317.17,577.71,140.97,9.98
30,MT,Percent of FPL,150-200%,41028.87,29555.89,1413.88,631.92,162.09,7.470000000000001
31,MT,Percent of FPL,200-400%,137015.701,51665.29,1510.82,680.81,159.92,4.55
32,MT,Percent of FPL,400%+,155852.812,124772.63,1697.47,843.15,155.57,2.16
