,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,ND,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,0.791,22930.86,2595.72,580.69,2152.25,23.24
2,ND,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,1.846,36933.88,4174.15,947.98,3468.0,23.26
3,ND,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,0.001,0.0,0.0,0.0,0.0,
4,ND,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,15.92,62579.71,1256.76,1326.38,0.0,4.130000000000001
5,ND,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,7.089,27310.4,489.22,476.83,0.0,3.54
6,ND,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,0.093,0.0,0.0,0.0,0.0,
7,ND,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,0.122,0.0,0.0,0.0,0.0,
8,ND,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,0.023,0.0,0.0,0.0,0.0,
9,ND,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,52.566,50555.78,2215.8,0.0,0.0,4.38
10,ND,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,11.652,58049.86,781.32,0.0,0.0,1.35
11,ND,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.017,0.0,0.0,0.0,0.0,
12,ND,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.0,0.0,0.0,0.0,0.0,
13,ND,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.0,0.0,0.0,0.0,0.0,
14,ND,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.002,0.0,0.0,0.0,0.0,
15,ND,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.16,0.0,0.0,0.0,0.0,
16,ND,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.0,0.0,0.0,0.0,0.0,
17,ND,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.0,0.0,0.0,0.0,0.0,
18,ND,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.0,0.0,0.0,0.0,0.0,
19,ND,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,0.015,0.0,0.0,0.0,0.0,
20,ND,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.0,0.0,0.0,0.0,0.0,
21,ND,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,2.919,0.0,0.0,0.0,0.0,
22,ND,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,1.659,0.0,0.0,0.0,0.0,
23,ND,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,0.056,0.0,0.0,0.0,0.0,
24,ND,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,3.732,0.0,0.0,0.0,0.0,
25,ND,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,13.1,127745.12,1197.26,750.41,0.0,1.52
26,ND,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,0.001,0.0,0.0,0.0,0.0,
27,ND,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,0.0,0.0,0.0,0.0,0.0,
28,ND,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,0.0,0.0,0.0,0.0,0.0,
29,ND,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,2.168,131385.28,3987.57,0.0,1253.42,3.9899999999999998
30,ND,OWNER,1940-59,1 ATTACHED,WOOD,400%+,2.679,131388.53,4034.38,0.0,1255.4,4.03
31,ND,OWNER,1940-59,1 ATTACHED,COAL,0-100%,0.003,0.0,0.0,0.0,0.0,
32,ND,OWNER,1940-59,1 ATTACHED,COAL,100-150%,0.0,0.0,0.0,0.0,0.0,
33,ND,OWNER,1940-59,1 ATTACHED,COAL,150-200%,0.0,0.0,0.0,0.0,0.0,
34,ND,OWNER,1940-59,1 ATTACHED,COAL,200-400%,0.91,0.0,0.0,0.0,0.0,
35,ND,OWNER,1940-59,1 ATTACHED,COAL,400%+,0.0,0.0,0.0,0.0,0.0,
36,ND,OWNER,1940-59,1 ATTACHED,NONE,0-100%,0.015,0.0,0.0,0.0,0.0,
37,ND,OWNER,1940-59,1 ATTACHED,NONE,100-150%,0.005,0.0,0.0,0.0,0.0,
38,ND,OWNER,1940-59,1 ATTACHED,NONE,150-200%,0.0,0.0,0.0,0.0,0.0,
39,ND,OWNER,1940-59,1 ATTACHED,NONE,200-400%,0.0,0.0,0.0,0.0,0.0,
40,ND,OWNER,1940-59,1 ATTACHED,NONE,400%+,0.0,0.0,0.0,0.0,0.0,
41,ND,OWNER,1940-59,1 ATTACHED,FUEL OIL,0-100%,0.008,0.0,0.0,0.0,0.0,
42,ND,OWNER,1940-59,1 ATTACHED,FUEL OIL,100-150%,0.009,0.0,0.0,0.0,0.0,
43,ND,OWNER,1940-59,1 ATTACHED,FUEL OIL,150-200%,0.001,0.0,0.0,0.0,0.0,
44,ND,OWNER,1940-59,1 ATTACHED,FUEL OIL,200-400%,1.388,44469.13,805.55,0.0,2681.41,7.84
45,ND,OWNER,1940-59,1 ATTACHED,FUEL OIL,400%+,0.051,0.0,0.0,0.0,0.0,
46,ND,OWNER,1940-59,1 DETACHED,BOTTLED GAS,0-100%,382.48,7344.25,1892.38,2968.45,125.22,67.89
