,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,NJ,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,12.697,15012.1,659.83,525.01,214.07,9.32
2,NJ,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,16.962,31737.57,0.0,0.0,247.34,0.7799999999999999
3,NJ,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,10.916,20436.34,786.65,354.84,0.0,5.59
4,NJ,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,88.177,73120.25,975.21,521.5,0.0,2.0500000000000003
5,NJ,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,107.846,105132.77,723.72,367.32,37.2,1.0699999999999998
6,NJ,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,257.63,7061.94,2074.76,336.61,10.42,34.29
7,NJ,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,219.902,17663.07,1900.1,178.56,38.26,11.99
8,NJ,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,194.861,27641.77,1931.69,174.74,168.39,8.23
9,NJ,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,869.782,42426.46,1489.16,196.73,13.27,4.0
10,NJ,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,724.501,104269.05,1748.43,526.01,8.38,2.19
11,NJ,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,8.895,614.97,641.48,692.72,0.0,216.95000000000002
12,NJ,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,2.781,0.0,0.0,0.0,0.0,
13,NJ,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,1.215,0.0,0.0,0.0,0.0,
14,NJ,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,4.347,0.0,0.0,0.0,0.0,
15,NJ,OWNER,1940-59,1 ATTACHED,OTHER,400%+,48.479,207252.94,1004.98,412.66,916.18,1.13
16,NJ,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,1.843,0.0,0.0,0.0,0.0,
17,NJ,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,1.739,0.0,0.0,0.0,0.0,
18,NJ,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.679,0.0,0.0,0.0,0.0,
19,NJ,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,4.426,73459.04,410.53,185.45,2731.12,4.53
20,NJ,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,19.704,101416.25,443.95,204.37,3127.61,3.7199999999999998
21,NJ,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,994.418,11555.64,936.11,575.39,0.0,13.08
22,NJ,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,849.902,21126.29,1053.87,648.34,0.0,8.06
23,NJ,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,1051.819,30589.32,969.87,601.56,0.0,5.140000000000001
24,NJ,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,3674.74,57186.15,1193.39,836.01,33.02,3.61
25,NJ,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,4831.027,132630.19,1335.46,924.59,27.13,1.72
26,NJ,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,0.707,0.0,0.0,0.0,0.0,
27,NJ,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,0.555,0.0,0.0,0.0,0.0,
28,NJ,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,0.213,0.0,0.0,0.0,0.0,
29,NJ,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,1.97,0.0,0.0,0.0,0.0,
30,NJ,OWNER,1940-59,1 ATTACHED,WOOD,400%+,3.368,73280.62,2125.22,596.43,1512.22,5.779999999999999
31,NJ,OWNER,1940-59,1 ATTACHED,COAL,0-100%,0.511,0.0,0.0,0.0,0.0,
32,NJ,OWNER,1940-59,1 ATTACHED,COAL,100-150%,0.427,0.0,0.0,0.0,0.0,
33,NJ,OWNER,1940-59,1 ATTACHED,COAL,150-200%,0.174,0.0,0.0,0.0,0.0,
34,NJ,OWNER,1940-59,1 ATTACHED,COAL,200-400%,0.739,0.0,0.0,0.0,0.0,
35,NJ,OWNER,1940-59,1 ATTACHED,COAL,400%+,1.678,0.0,0.0,0.0,0.0,
36,NJ,OWNER,1940-59,1 ATTACHED,NONE,0-100%,14.973,10810.81,249.58,298.49,0.0,5.07
37,NJ,OWNER,1940-59,1 ATTACHED,NONE,100-150%,12.918,11315.4,206.54,244.99,0.0,3.9899999999999998
38,NJ,OWNER,1940-59,1 ATTACHED,NONE,150-200%,6.648,0.0,0.0,0.0,0.0,
39,NJ,OWNER,1940-59,1 ATTACHED,NONE,200-400%,19.92,3564.41,94.39,0.0,0.0,2.65
40,NJ,OWNER,1940-59,1 ATTACHED,NONE,400%+,6.431,43571.38,494.58,438.75,0.0,2.1399999999999997
