,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,TX,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,19.761,12655.13,1064.11,387.94,46.87,11.84
2,TX,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,9.873,13112.56,1114.46,694.51,0.0,13.8
3,TX,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,11.079,17065.39,1324.44,522.83,1.6,10.83
4,TX,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,36.949,46881.44,1627.01,1035.83,86.21,5.86
5,TX,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,44.034,130024.23,939.34,1106.03,0.0,1.5699999999999998
6,TX,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,380.249,7988.06,1349.09,113.83,0.0,18.310000000000002
7,TX,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,265.702,22638.79,1521.85,254.33,0.67,7.85
8,TX,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,314.322,32205.3,1672.06,241.6,8.63,5.970000000000001
9,TX,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,1050.964,53548.19,1823.5,301.76,3.1,3.9699999999999998
10,TX,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,1038.45,105015.37,1779.86,133.63,2.52,1.82
11,TX,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,1.279,0.0,0.0,0.0,0.0,
12,TX,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.61,0.0,0.0,0.0,0.0,
13,TX,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.809,0.0,0.0,0.0,0.0,
14,TX,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.267,0.0,0.0,0.0,0.0,
15,TX,OWNER,1940-59,1 ATTACHED,OTHER,400%+,3.402,81180.88,1844.61,1034.49,0.0,3.55
16,TX,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.959,1961.32,219.16,276.65,35.23,27.08
17,TX,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.622,4041.16,451.57,570.01,72.59,27.08
18,TX,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.189,0.0,0.0,0.0,0.0,
19,TX,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,3.135,71455.37,333.96,0.0,0.0,0.47000000000000003
20,TX,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,5.875,79246.4,370.38,0.0,0.0,0.47000000000000003
21,TX,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,512.437,9066.13,1029.67,393.66,2.7,15.73
22,TX,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,421.851,23638.8,1372.41,573.24,2.23,8.24
23,TX,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,379.416,35884.72,1637.63,600.56,16.58,6.279999999999999
24,TX,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,1534.972,52238.27,1435.46,536.23,19.66,3.81
25,TX,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,1157.316,124886.72,1634.95,589.29,9.32,1.79
26,TX,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,1.102,0.0,0.0,0.0,0.0,
27,TX,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,3.239,8526.31,425.02,120.97,38.88,6.859999999999999
28,TX,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,3.217,37232.3,566.48,795.58,36.45,3.7600000000000002
29,TX,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,6.678,33458.75,319.19,760.19,12.76,3.26
