,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,VT,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,0.723,0.0,0.0,0.0,0.0,
2,VT,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,0.917,0.0,0.0,0.0,0.0,
3,VT,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,0.0,0.0,0.0,0.0,0.0,
4,VT,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,4.573,32620.77,1309.86,4579.98,3660.79,29.28
5,VT,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,0.235,0.0,0.0,0.0,0.0,
6,VT,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,0.014,0.0,0.0,0.0,0.0,
7,VT,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,0.0,0.0,0.0,0.0,0.0,
8,VT,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,0.0,0.0,0.0,0.0,0.0,
9,VT,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,0.0,0.0,0.0,0.0,0.0,
10,VT,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,0.0,0.0,0.0,0.0,0.0,
11,VT,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.0,0.0,0.0,0.0,0.0,
12,VT,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.0,0.0,0.0,0.0,0.0,
13,VT,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.0,0.0,0.0,0.0,0.0,
14,VT,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.0,0.0,0.0,0.0,0.0,
15,VT,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.0,0.0,0.0,0.0,0.0,
16,VT,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.0,0.0,0.0,0.0,0.0,
17,VT,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.0,0.0,0.0,0.0,0.0,
