,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,WV,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,0.001,0.0,0.0,0.0,0.0,
2,WV,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,0.0,0.0,0.0,0.0,0.0,
3,WV,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,1.714,0.0,0.0,0.0,0.0,
4,WV,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,8.776,31378.69,581.99,0.0,1595.0,6.94
5,WV,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,2.358,0.0,0.0,0.0,0.0,
6,WV,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,8.314,0.0,0.0,0.0,0.0,
7,WV,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,25.871,25927.64,1006.18,0.0,0.0,3.88
8,WV,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,38.405,35857.2,1404.77,0.0,133.34,4.29
9,WV,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,124.183,52351.56,2470.79,402.43,52.25,5.59
10,WV,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,26.982,93464.4,1658.38,582.11,419.03,2.85
11,WV,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.001,0.0,0.0,0.0,0.0,
12,WV,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.0,0.0,0.0,0.0,0.0,
13,WV,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.0,0.0,0.0,0.0,0.0,
14,WV,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.001,0.0,0.0,0.0,0.0,
15,WV,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.0,0.0,0.0,0.0,0.0,
16,WV,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.173,0.0,0.0,0.0,0.0,
17,WV,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.0,0.0,0.0,0.0,0.0,
18,WV,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.0,0.0,0.0,0.0,0.0,
19,WV,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,0.0,0.0,0.0,0.0,0.0,
20,WV,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.0,0.0,0.0,0.0,0.0,
21,WV,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,30.924,6577.62,499.01,643.39,0.0,17.37
22,WV,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,42.369,21099.05,632.96,693.56,0.0,6.29
23,WV,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,61.165,24328.92,1069.57,675.7,0.0,7.17
24,WV,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,214.616,50331.18,1070.33,753.37,0.0,3.62
25,WV,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,65.067,114063.07,900.3,753.39,0.0,1.4500000000000002
26,WV,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,1.216,0.0,0.0,0.0,0.0,
27,WV,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,0.043,0.0,0.0,0.0,0.0,
28,WV,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,4.901,31835.07,609.48,0.0,1044.36,5.2
29,WV,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,3.918,31809.39,643.76,0.0,1047.71,5.319999999999999
30,WV,OWNER,1940-59,1 ATTACHED,WOOD,400%+,0.358,0.0,0.0,0.0,0.0,
31,WV,OWNER,1940-59,1 ATTACHED,COAL,0-100%,0.024,0.0,0.0,0.0,0.0,
32,WV,OWNER,1940-59,1 ATTACHED,COAL,100-150%,0.0,0.0,0.0,0.0,0.0,
33,WV,OWNER,1940-59,1 ATTACHED,COAL,150-200%,0.0,0.0,0.0,0.0,0.0,
34,WV,OWNER,1940-59,1 ATTACHED,COAL,200-400%,0.65,75573.47,655.91,0.0,1050.43,2.26
35,WV,OWNER,1940-59,1 ATTACHED,COAL,400%+,0.0,0.0,0.0,0.0,0.0,
36,WV,OWNER,1940-59,1 ATTACHED,NONE,0-100%,0.001,0.0,0.0,0.0,0.0,
37,WV,OWNER,1940-59,1 ATTACHED,NONE,100-150%,0.051,0.0,0.0,0.0,0.0,
38,WV,OWNER,1940-59,1 ATTACHED,NONE,150-200%,0.0,0.0,0.0,0.0,0.0,
39,WV,OWNER,1940-59,1 ATTACHED,NONE,200-400%,0.179,0.0,0.0,0.0,0.0,
40,WV,OWNER,1940-59,1 ATTACHED,NONE,400%+,0.559,0.0,0.0,0.0,0.0,
41,WV,OWNER,1940-59,1 ATTACHED,FUEL OIL,0-100%,0.011,0.0,0.0,0.0,0.0,
42,WV,OWNER,1940-59,1 ATTACHED,FUEL OIL,100-150%,0.0,0.0,0.0,0.0,0.0,
43,WV,OWNER,1940-59,1 ATTACHED,FUEL OIL,150-200%,0.0,0.0,0.0,0.0,0.0,
44,WV,OWNER,1940-59,1 ATTACHED,FUEL OIL,200-400%,0.001,0.0,0.0,0.0,0.0,
45,WV,OWNER,1940-59,1 ATTACHED,FUEL OIL,400%+,0.0,0.0,0.0,0.0,0.0,
46,WV,OWNER,1940-59,1 DETACHED,BOTTLED GAS,0-100%,391.218,11500.54,1151.47,1282.64,164.88,22.6
47,WV,OWNER,1940-59,1 DETACHED,BOTTLED GAS,100-150%,527.203,18824.98,1037.5,1555.52,152.22,14.580000000000002
48,WV,OWNER,1940-59,1 DETACHED,BOTTLED GAS,150-200%,557.599,28520.64,1243.82,1594.61,188.52,10.61
49,WV,OWNER,1940-59,1 DETACHED,BOTTLED GAS,200-400%,990.182,49244.28,1201.42,1736.96,300.66,6.58
