,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,WY,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,0.04,0.0,0.0,0.0,0.0,
2,WY,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,0.001,0.0,0.0,0.0,0.0,
3,WY,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,0.0,0.0,0.0,0.0,0.0,
4,WY,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,0.011,0.0,0.0,0.0,0.0,
5,WY,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,0.006,0.0,0.0,0.0,0.0,
6,WY,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,0.092,0.0,0.0,0.0,0.0,
7,WY,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,0.006,0.0,0.0,0.0,0.0,
8,WY,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,12.974,32367.59,325.37,0.0,0.0,1.01
9,WY,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,3.465,31993.37,321.63,0.0,0.0,1.01
10,WY,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,0.051,0.0,0.0,0.0,0.0,
11,WY,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.0,0.0,0.0,0.0,0.0,
12,WY,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.003,0.0,0.0,0.0,0.0,
13,WY,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.002,0.0,0.0,0.0,0.0,
14,WY,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.0,0.0,0.0,0.0,0.0,
15,WY,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.0,0.0,0.0,0.0,0.0,
16,WY,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.018,0.0,0.0,0.0,0.0,
17,WY,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.01,0.0,0.0,0.0,0.0,
