,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,16001000100,2413,42486,778,0.018311914513016052,684.4,72.2,21.4
1,16001000201,1470,125959,1332,0.010574869600425535,946.5,361.1,24.7
2,16001000202,2319,127246,1534,0.012055388774499787,1034.6,466.7,32.8
3,16001000302,1344,59807,1333,0.022288360894209706,931.8,365.0,36.5
4,16001000303,1086,79803,1282,0.01606455897647958,919.6,351.3,11.0
5,16001000304,2901,74223,1401,0.01887555070530698,943.5,439.3,18.6
6,16001000400,2598,65880,1196,0.018154219793564057,898.7,269.6,27.4
7,16001000500,2640,97727,1383,0.014151667400002047,945.8,402.6,34.2
8,16001000600,2564,92426,1285,0.013903014303334559,906.9,360.4,17.3
9,16001000701,2428,93039,1180,0.01268285342705747,859.9,264.3,56.1
10,16001000702,1282,149497,1626,0.010876472437573998,1159.0,443.5,23.8
11,16001000802,2391,67116,1356,0.0202038262113356,997.3,335.3,23.6
12,16001000803,1799,86570,1466,0.016934272842786185,1037.4,404.0,24.7
13,16001000804,3357,63302,1037,0.01638178888502733,787.5,239.2,10.5
14,16001000805,1246,151365,1651,0.010907409242559377,1167.1,455.4,28.3
15,16001000900,2022,43297,1259,0.029078227128900385,917.8,315.9,25.4
16,16001001000,3115,51502,1059,0.020562308259873402,775.0,256.7,27.3
17,16001001100,1835,42437,1336,0.031481961495864456,936.2,353.9,46.3
18,16001001201,1383,70113,1523,0.021722077218204898,995.6,484.1,43.1
19,16001001202,3276,49853,1099,0.02204481174653481,784.2,294.0,21.0
20,16001001400,2560,44518,1151,0.025854710454198303,889.9,222.6,38.4
21,16001001500,1605,72653,1292,0.017783161053225607,904.3,350.0,37.5
22,16001001600,1820,63866,1343,0.021028403219240283,955.1,360.6,27.1
23,16001001700,2458,47654,1205,0.025286439753221136,902.8,285.5,16.8
24,16001001800,1858,66594,1284,0.019281016307775477,892.9,364.4,27.1
25,16001001900,1987,66751,1385,0.020748752827672995,964.3,388.9,31.4
26,16001002000,1996,41640,1205,0.02893852065321806,966.0,222.2,16.5
27,16001002100,793,83059,1501,0.018071491349522628,1064.3,408.1,28.4
28,16001002221,3490,80073,1543,0.01926991620146616,1048.2,461.3,33.7
29,16001002222,2411,87355,1453,0.01663327800354874,959.5,480.4,13.2
30,16001002223,1538,113210,1649,0.014565851073226747,1108.6,493.9,46.5
31,16001002224,2227,93267,1507,0.01615791223047809,989.6,482.1,35.1
32,16001002302,3310,57804,1372,0.02373538163448896,951.9,398.7,21.1
33,16001002310,3924,66297,1467,0.02212769808588624,1009.6,428.5,28.5
34,16001002312,2200,51701,1248,0.024138798089011818,903.2,320.3,24.8
35,16001002313,1616,76792,1379,0.017957599749973956,947.8,411.8,19.3
36,16001002410,2638,85752,1496,0.017445657244145908,1035.6,432.7,28.1
