,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,18001030100,1796,78963,2273,0.02878563377784532,1622.4,610.5,40.0
1,18001030200,2349,43682,1605,0.03674282313080903,1147.1,442.8,14.6
2,18001030300,2303,54128,1862,0.03439994088087496,1396.3,443.6,21.9
3,18001030400,1209,77318,2484,0.03212705967562534,1630.8,784.4,69.0
4,18001030500,1442,70114,2296,0.03274666970933052,1579.2,505.4,211.8
5,18001030600,1354,55249,1832,0.0331589712030987,1359.7,439.3,32.6
6,18001030700,2023,54545,1972,0.03615363461362178,1383.6,446.9,141.5
7,18003000100,1160,49433,1041,0.02105880686990472,578.7,450.4,11.4
8,18003000300,1283,68208,1238,0.01815036359371335,703.0,524.5,10.3
9,18003000400,1216,54690,1086,0.019857377948436644,617.2,461.6,7.3
10,18003000500,1284,38199,915,0.02395350663629938,563.9,342.7,8.7
11,18003000600,715,34343,1194,0.034766910287394814,689.4,494.6,9.8
12,18003000701,1260,49306,1188,0.024094430698089482,669.7,508.6,9.3
13,18003000704,1243,43793,935,0.021350444134907404,621.3,306.5,7.5
14,18003000800,1801,45801,1079,0.02355843758869894,616.1,451.3,11.4
15,18003000900,1283,40102,1145,0.0285521919106279,663.1,465.1,16.9
16,18003001000,458,42380,1151,0.02715903728173667,746.9,396.7,7.3
17,18003001100,937,49197,926,0.018822285911742585,557.6,354.2,13.7
18,18003001200,683,40213,587,0.014597269539701092,477.8,101.4,7.5
19,18003001300,583,38613,786,0.02035583870717116,624.4,158.5,3.1
20,18003001600,842,32443,1182,0.03643312887217581,679.2,488.9,13.5
21,18003001700,723,28850,1154,0.04,782.6,368.7,2.5
22,18003002000,1294,39755,1109,0.027895862155703686,648.1,455.4,5.1
23,18003002100,818,35991,1355,0.037648300964129924,826.7,498.3,29.6
24,18003002200,1745,51445,1165,0.022645543784624356,655.7,497.5,11.5
25,18003002300,1867,30024,1228,0.04090061284305889,733.3,481.0,14.2
26,18003002500,1356,54948,1167,0.021238261629176677,610.1,548.8,8.3
27,18003002600,1225,57056,1275,0.0223464666292765,725.2,542.7,7.4
28,18003002800,777,38027,1320,0.03471217818918137,773.2,532.3,14.9
29,18003002900,894,36315,1266,0.03486162742668319,730.3,522.6,13.2
30,18003003000,1269,42401,1317,0.031060588193674677,771.7,533.7,11.9
31,18003003100,1061,36819,1255,0.03408566229392433,713.6,520.1,20.8
32,18003003200,2109,62242,1187,0.01907072394845924,662.0,510.1,14.4
33,18003003301,1195,51045,1009,0.019766872367518857,535.6,466.3,6.9
34,18003003304,1645,47715,1039,0.021775123126899297,716.6,316.9,6.0
35,18003003400,1851,68437,1151,0.01681838771424814,633.3,493.7,24.1
36,18003003500,1738,39396,885,0.022464209564422785,675.6,202.5,6.4
37,18003003600,2739,41139,817,0.019859500717081115,529.7,284.2,3.5
38,18003003700,1069,50058,1135,0.022673698509728713,684.5,436.5,13.8
39,18003003800,1620,36689,903,0.024612281610291914,595.8,299.7,7.2
40,18003003901,1525,57272,1130,0.019730409275038413,668.0,431.5,30.2
41,18003003902,1322,46190,1048,0.022688893699935053,709.8,332.1,6.5
42,18003004000,1184,42669,1244,0.029154655604771613,743.6,489.2,11.3
43,18003004101,925,53370,1026,0.019224283305227657,647.6,370.0,8.4
44,18003004103,2687,46555,835,0.017935774889915154,665.1,167.4,2.4
45,18003004300,999,30278,1140,0.03765109980844177,672.0,458.2,9.9
46,18003004400,1238,31016,1315,0.04239747227237555,789.0,519.0,7.3
47,18003010100,1556,81161,1962,0.024174172324145832,1377.0,492.5,92.1
48,18003010201,2407,108509,2404,0.022154844298629607,1718.3,673.6,11.7
49,18003010202,2106,85615,2334,0.027261577994510306,1690.9,617.8,25.5
50,18003010304,2831,93443,1523,0.016298706163115483,1014.1,498.3,10.2
51,18003010305,1957,149021,2152,0.014440917723005483,1902.0,242.3,7.2
52,18003010306,1957,102863,1693,0.01645878498585497,1444.0,237.6,11.7
53,18003010307,1742,97364,1465,0.015046629144242225,985.1,470.5,9.3
54,18003010308,2207,108384,1749,0.016137068201948625,1195.8,544.8,8.8
55,18003010400,1363,101907,2830,0.02777041812633087,1964.7,819.6,45.3
56,18003010500,1112,84236,2734,0.032456431929341376,1776.2,910.7,47.1
57,18003010601,1423,74600,1478,0.019812332439678285,947.3,518.0,12.9
58,18003010602,1597,56759,1369,0.02411952289504748,896.5,465.1,7.7
59,18003010603,675,67051,1460,0.021774470179415667,985.5,459.8,14.7
60,18003010604,1147,33345,1217,0.03649722597091018,690.6,509.4,17.3
61,18003010705,2171,70569,1046,0.014822372429820459,621.9,418.1,6.4
62,18003010706,1913,71129,1091,0.015338328951623107,637.0,447.8,6.1
63,18003010707,2441,83501,988,0.011832193626423636,607.6,372.1,8.8
64,18003010803,1990,74082,1161,0.0156718231149267,716.8,433.3,10.4
65,18003010804,1739,69599,1049,0.015072055632983233,590.4,448.8,9.8
66,18003010807,1745,58498,1123,0.019197237512393585,705.2,410.3,7.6
67,18003010808,1908,91192,1166,0.01278620931660672,698.7,457.9,9.3
68,18003010809,2114,72652,1167,0.016062875075703354,724.0,433.4,10.0
69,18003010811,2220,76576,1134,0.014808817384036775,698.3,427.9,8.2
70,18003010812,1806,71820,1184,0.01648565859092175,722.3,454.6,6.9
71,18003010813,1694,73771,1557,0.02110585460411273,1072.0,475.6,9.6
72,18003010815,1826,98010,1732,0.01767166615651464,1164.9,556.9,9.9
73,18003010816,1899,99227,1200,0.012093482620657684,708.8,481.3,9.6
74,18003010817,1566,81308,1087,0.013368918187632214,646.8,431.2,8.8
75,18003010819,2288,58515,914,0.015619926514568915,651.5,254.6,8.3
76,18003010821,1898,48624,1031,0.02120352089503126,646.5,376.1,8.4
77,18003010900,2039,80001,2568,0.032099598755015564,1553.8,947.9,66.2
78,18003011000,960,67910,2646,0.03896333382417906,1486.1,1090.7,69.6
79,18003011100,1177,55418,1978,0.035692374318813384,1370.7,592.7,14.7
80,18003011201,811,36459,1904,0.052223045064318824,1414.4,475.8,13.4
81,18003011202,1152,55323,1980,0.03578981617048967,1334.0,636.8,8.9
82,18003011204,1168,63917,1922,0.03007024735203467,1375.7,537.7,9.1
83,18003011205,1373,62192,1760,0.028299459737586827,1278.3,475.7,5.8
84,18003011302,2083,39991,1170,0.029256582731114502,939.8,226.2,4.3
85,18003011303,759,40574,1295,0.03191699117661557,887.6,395.9,11.3
86,18003011304,2053,49136,1248,0.025398892868772387,819.1,415.2,14.1
87,18003011501,1939,45523,874,0.019199086176218613,604.0,264.8,5.1
88,18003011502,1328,68763,1097,0.015953347003475706,702.2,385.6,9.4
