,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,21001970100,612,45266,1172,0.025891397516900103,966.9,150.2,55.2
1,21001970200,770,53262,2020,0.03792572565806766,1831.9,155.4,33.1
2,21001970300,1129,49802,1983,0.0398176780048994,1837.0,103.9,41.7
3,21001970401,1896,46905,1374,0.02929325231851615,1325.6,30.7,18.1
4,21001970402,1268,62009,1636,0.02638326694512087,1572.6,40.7,22.5
5,21001970500,841,46920,1666,0.035507246376811595,1464.6,145.1,56.2
6,21001970600,504,44964,1943,0.0432123476559025,1865.9,45.3,32.1
7,21003920100,1237,70027,3159,0.04511117140531509,2789.6,339.4,29.6
8,21003920200,927,63733,2478,0.038880956490358214,2123.2,311.2,43.6
9,21003920300,1987,48499,2142,0.04416585908987814,1840.6,280.6,21.0
10,21003920400,1790,45843,2312,0.05043299958554196,2031.1,252.9,28.4
11,21003920500,556,48393,2516,0.05199099043250057,2176.3,298.4,41.7
12,21003920600,1200,45848,2373,0.05175798290001745,2057.5,275.7,40.1
13,21005950100,3163,68396,2080,0.03041113515410258,1789.9,275.5,14.3
14,21005950201,2110,60354,1902,0.031514067004672436,1626.1,260.7,14.9
15,21005950202,1527,63789,1889,0.02961325620404772,1683.0,184.0,22.0
16,21005950300,902,73655,2305,0.031294548910460934,2004.2,262.8,37.7
17,21005950400,925,61874,2203,0.035604615832175064,1923.0,252.2,27.5
18,21007950100,1718,65101,2431,0.0373419763137279,1927.8,479.9,23.5
19,21007950200,515,70591,2839,0.040217591477667125,2268.5,547.7,22.4
20,21007950300,852,53933,2578,0.04780004820796173,2081.5,465.2,31.2
21,21009950100,1378,67058,2178,0.032479346237585374,1689.1,455.0,33.8
22,21009950200,1565,49324,1981,0.040163003811531914,1561.9,390.6,28.7
23,21009950300,1225,39214,2345,0.05980007140307033,2019.7,283.0,42.5
24,21009950400,2329,39193,1573,0.04013471793432501,1236.7,323.0,13.6
25,21009950500,1587,45933,1614,0.03513813598066749,1206.9,386.2,20.6
26,21009950600,2624,35921,1624,0.0452103226524874,1153.7,445.9,24.2
27,21009950700,2319,64442,1814,0.028149343595791566,1319.1,456.3,38.5
28,21009950800,1214,58428,2318,0.03967275963579106,1859.9,405.8,52.5
29,21009950900,1428,63078,2486,0.03941152224230318,2031.2,403.2,52.0
30,21009951000,1296,55302,2573,0.0465263462442588,2128.8,393.6,50.7
31,21011970100,761,45380,2318,0.05107977082415161,1770.5,486.6,60.4
32,21011970200,2452,58179,2175,0.03738462331769195,1785.0,341.1,49.0
33,21011970300,1411,48769,2189,0.04488507043408723,1820.8,315.9,52.5
34,21013960100,950,27297,2114,0.07744440781038209,1955.3,115.1,43.8
35,21013960200,1911,34360,1952,0.05681024447031432,1783.0,143.2,25.8
36,21013960300,938,44092,1928,0.04372675315249932,1808.7,87.6,31.5
37,21013960400,746,34187,1977,0.05782899932722965,1873.0,65.4,38.4
38,21013960500,954,35968,1721,0.0478480871886121,1580.3,110.6,29.6
39,21013960600,1612,24026,1935,0.08053775076999917,1713.5,200.4,21.1
40,21013960700,1200,48062,1954,0.04065581956639341,1598.7,341.5,13.7
41,21013960800,1551,43057,1895,0.04401142671342639,1729.2,134.5,30.8
42,21013961100,1078,34530,1889,0.054706052707790324,1730.7,128.8,29.1
43,21015070100,2476,54319,1175,0.021631473333456067,891.2,271.3,12.4
44,21015070200,2962,48045,975,0.020293474867311895,718.3,244.4,12.6
45,21015070301,1979,36051,1221,0.03386868602812682,1046.8,148.9,25.2
46,21015070305,2622,81385,1459,0.017927136450205813,1256.5,190.3,11.9
47,21015070307,3933,110924,1869,0.016849374346399337,1386.9,466.9,14.9
48,21015070308,4868,87544,1475,0.016848670382893175,1143.0,324.3,7.3
49,21015070309,2061,119520,1914,0.016014056224899598,1380.0,512.6,21.9
50,21015070311,1038,48748,1651,0.033868056125379506,1178.5,437.1,35.2
51,21015070312,1365,57148,1020,0.01784839364457199,799.4,191.9,29.1
52,21015070313,1101,97019,1709,0.01761510631938074,1284.8,411.4,12.3
53,21015070314,1631,100718,1762,0.017494390277805357,1343.0,411.1,7.8
54,21015070401,3152,136000,1924,0.014147058823529412,1358.1,551.2,14.7
55,21015070402,2882,97855,1899,0.019406264370752643,1437.4,428.1,33.8
56,21015070502,1644,77975,2161,0.027714010900929786,1474.1,584.0,102.6
57,21015070503,2647,82349,1553,0.01885875966921274,1259.2,280.1,13.3
58,21015070504,2519,92647,1777,0.019180329638304534,1310.9,453.7,12.8
59,21015070601,1004,112125,2317,0.020664437012263098,1539.7,703.3,74.3
60,21015070604,1088,95715,2104,0.021981925508018595,1470.3,573.1,60.6
61,21015070605,2370,136689,1913,0.013995273943038577,1386.0,514.0,12.5
62,21015070606,1399,77057,1788,0.023203602527998753,1449.0,310.4,28.3
63,21015070607,1663,104516,1727,0.01652378583183436,1255.4,458.1,13.9
64,21017030100,1585,54868,2153,0.039239629656630456,1662.5,461.2,29.0
65,21017030200,2526,61192,1816,0.02967708197149954,1393.1,405.3,18.0
66,21017030300,1159,86871,2255,0.025958029722231817,1772.3,411.0,71.9
67,21017030400,1033,76369,2183,0.028584897013185978,1694.7,420.9,67.0
68,21017030500,948,60952,2329,0.038210395064969156,1934.0,315.7,79.4
69,21017030600,877,58068,2368,0.04077977543569608,1803.8,482.4,82.2
70,21019030200,713,27491,1000,0.036375541086173656,862.8,135.3,1.7
71,21019030300,759,40714,2547,0.06255833374269293,2015.2,520.4,11.4
72,21019030400,712,48486,2687,0.055418058821103,2140.3,517.8,28.6
73,21019030500,1774,64374,2342,0.036381147668313296,1713.1,616.4,13.0
74,21019030600,1640,73113,2551,0.03489119582016878,1927.0,603.2,21.2
75,21019030700,1423,62091,2434,0.03920052825691324,1877.9,546.0,10.4
76,21019030800,1730,35278,1962,0.055615397698282214,1542.3,402.4,17.8
77,21019030900,2148,50002,2449,0.04897804087836487,1975.4,454.7,18.9
78,21019031001,560,70803,2505,0.03537985678572942,2287.1,191.3,27.0
79,21019031002,2087,74026,2628,0.03550104017507362,2211.2,393.7,23.1
80,21019031100,2935,68912,2767,0.04015265846296726,2439.2,287.8,40.2
81,21019031200,1358,70468,2674,0.03794630186751433,2297.6,341.7,35.1
82,21019031300,959,42825,2388,0.05576182136602452,1960.9,411.4,15.9
83,21021930100,1983,68401,1842,0.02692943085627403,1480.4,346.8,15.1
84,21021930200,1662,80120,2102,0.026235646530204694,1716.6,370.2,14.7
85,21021930300,941,48241,1473,0.030534192906448872,1126.2,338.4,8.8
