,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,27001770100,1117,63355,5365,0.08468155630968353,3702.6,1444.2,218.4
1,27001770200,1113,54738,4858,0.08875004567211078,3286.5,1334.5,236.5
2,27001770300,1554,48367,989,0.020447825997064115,239.6,626.5,123.2
3,27001770400,1493,56124,5259,0.09370322856531965,3473.1,1573.8,211.8
4,27001790501,913,58844,5390,0.09159812385289919,3558.5,1580.9,251.0
5,27001790502,1523,62704,2379,0.03794016330696606,646.5,1516.6,215.7
6,27003050107,1009,76546,1345,0.01757113369738458,1115.6,205.2,24.4
7,27003050108,1712,92610,1363,0.014717633084980024,1196.8,129.8,36.7
8,27003050109,1834,103086,1283,0.012445918941466348,1206.3,48.9,27.9
9,27003050110,983,98267,1246,0.012679739892334152,1161.4,66.2,18.3
10,27003050111,1411,109883,1283,0.01167605544078702,1169.8,77.1,36.6
11,27003050114,1057,118724,1290,0.010865536875442202,1171.6,93.1,25.8
12,27003050115,1931,103218,1321,0.012798155360499138,1201.9,68.4,50.5
13,27003050116,1445,109813,2309,0.02102665440339486,1332.1,863.2,114.0
14,27003050208,1163,118558,1187,0.010011977260075237,1120.9,30.0,36.5
15,27003050210,1496,106234,1148,0.010806333188997872,1027.8,88.2,32.4
16,27003050215,1515,113733,1052,0.009249734026184134,1020.5,18.8,13.0
17,27003050216,1904,136997,1214,0.008861507916231743,1166.3,37.1,10.2
18,27003050217,972,119565,1326,0.011090201982185422,1234.2,55.5,36.2
19,27003050218,1181,109501,1283,0.011716787974539046,1155.3,86.3,41.3
20,27003050219,1094,110534,1003,0.009074131036604122,946.3,28.2,28.2
21,27003050220,2354,115832,1190,0.01027349955107397,1173.8,0.0,16.0
22,27003050221,2171,124834,1331,0.010662159347613632,1284.0,22.2,24.6
23,27003050222,1693,127544,1228,0.00962804992786803,1198.7,20.6,9.0
24,27003050223,931,129303,1364,0.010548865842246506,1289.8,38.0,36.3
25,27003050224,1165,113477,1341,0.011817372683451273,1239.7,51.7,49.7
26,27003050225,2197,119689,1247,0.01041866838222393,1216.9,0.0,30.5
27,27003050226,1100,103403,945,0.009138999835594712,933.4,0.0,11.2
28,27003050227,1620,101390,942,0.009290857086497682,914.9,13.7,13.7
29,27003050228,1971,93540,2122,0.02268548214667522,2076.9,24.0,20.8
30,27003050229,1566,121571,1043,0.008579348693356146,1005.6,26.7,10.5
31,27003050230,738,165215,1269,0.0076809006446145935,1211.1,46.4,11.0
32,27003050232,1322,115984,1948,0.016795420057939027,1206.7,732.7,8.6
33,27003050233,1158,99981,1081,0.01081205429031516,1021.8,39.0,20.5
34,27003050234,1090,122185,1233,0.01009125506404223,1203.3,13.4,16.7
35,27003050235,1082,84175,1135,0.013483813483813483,1096.8,19.9,18.3
36,27003050236,1384,159795,1163,0.007278075033636847,1154.6,0.0,8.6
37,27003050237,1989,118684,1021,0.008602676013615989,1002.6,8.0,10.0
38,27003050401,1030,74750,1041,0.013926421404682273,812.1,215.2,13.5
39,27003050402,1606,59391,761,0.012813389234059032,692.5,34.3,34.7
40,27003050501,1475,56360,698,0.012384669978708305,627.7,34.7,35.6
41,27003050504,1133,62225,764,0.012278023302531136,714.7,9.2,39.9
42,27003050505,1832,66455,925,0.013919193439169362,814.9,80.7,29.2
43,27003050602,898,74583,869,0.011651448721558532,834.3,7.1,27.4
44,27003050605,2252,83783,844,0.010073642624398745,800.2,19.9,23.5
45,27003050606,802,68415,783,0.011444858583643937,755.8,14.1,12.7
46,27003050607,1730,64182,854,0.013305911314698824,797.1,38.7,18.6
47,27003050608,1978,62492,795,0.01272162836843116,787.5,2.1,5.3
48,27003050609,1449,87479,859,0.009819499537031744,846.8,0.0,12.0
49,27003050610,2489,85018,830,0.009762638500082335,814.6,0.0,15.4
50,27003050702,1176,82920,892,0.01075735648818138,852.5,22.2,17.2
51,27003050704,1774,80027,1031,0.012883151936221525,919.8,91.8,19.3
52,27003050706,1306,57106,777,0.013606276048050992,759.8,8.2,9.5
53,27003050707,2157,115138,915,0.007946985356702392,892.6,11.3,11.0
54,27003050709,1117,85464,808,0.00945427314424787,791.7,0.0,16.1
55,27003050710,1415,68766,843,0.012258965186283919,800.8,35.6,6.9
56,27003050711,1706,101874,951,0.009335060957653572,919.5,18.1,13.1
57,27003050712,1729,76210,873,0.011455189607663036,832.2,27.8,12.9
58,27003050805,2361,98263,1160,0.011805053784232111,1044.2,105.7,10.2
59,27003050806,2298,82155,1149,0.013985758626985575,1034.0,98.4,16.6
60,27003050807,1379,70271,1189,0.016920208905522906,1064.0,109.9,15.0
61,27003050808,858,65410,973,0.014875401314783673,867.0,90.6,15.2
62,27003050809,2233,75076,1089,0.01450530129468805,959.8,116.1,13.5
63,27003050810,1835,59620,866,0.014525327071452532,773.7,83.2,9.3
64,27003050811,1179,71493,1087,0.01520428573426769,939.1,128.9,19.4
